...1,es_score,brier_score,location,target_date,X22F_50_CI,X24A_50_CI,recombinant_50_CI,X23H_50_CI,other_50_CI,X22F_95_CI,X24A_95_CI,recombinant_95_CI,X23H_95_CI,other_95_CI
36,NA,NA,AK,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1.04534374387777,0.756514023591635,AL,2024-02-05,1,0,1,1,0,1,1,1,1,1
45,NA,NA,AL,2024-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1.22532127116497,0.877955537331925,AL,2024-02-07,0,0,1,1,1,0,0,1,1,1
47,0.0224852177857658,0.01246546189338345,AL,2024-02-08,1,1,1,1,1,1,1,1,1,1
48,NA,NA,AL,2024-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2024-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0.00903782873799262,0.00566301707951995,AL,2024-02-15,1,1,1,1,1,1,1,1,1,1
55,NA,NA,AL,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2024-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,0.00572965795530656,0.003167399657719565,AL,2024-02-20,1,1,1,1,1,1,1,1,1,1
60,NA,NA,AL,2024-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2024-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.00951354254249512,0.001557156122317715,AL,2024-02-26,1,1,1,1,1,1,1,1,1,1
66,NA,NA,AL,2024-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2024-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0.00165290453094574,0.00108795786287722,AL,2024-02-29,1,1,1,1,1,1,1,1,1,1
69,NA,NA,AL,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.00113912074296462,6.7296701131901e-4,AL,2024-03-04,1,1,1,1,1,1,1,1,1,1
73,0.00354308595124914,5.96650102747255e-4,AL,2024-03-05,1,1,1,1,1,1,1,1,1,1
74,NA,NA,AL,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1.28321207148741,0.3237537030643965,AL,2024-03-13,1,0,1,1,0,1,0,1,1,0
82,NA,NA,AL,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,0.00661112312507248,0.0097403634984504,AR,2024-02-05,1,1,1,1,1,1,0,1,1,0
87,0.00744475959126129,0.00870317894089675,AR,2024-02-06,1,1,1,1,1,1,1,1,1,1
88,0.00629153914500233,0.0077715696536942,AR,2024-02-07,1,1,1,1,1,1,1,1,1,1
89,0.0215811263390647,0.00693559529906095,AR,2024-02-08,1,1,1,1,1,1,1,1,1,1
90,0.0180813010843139,0.0061861212093686,AR,2024-02-09,1,1,1,1,1,1,0,1,1,0
91,NA,NA,AR,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.003079520743998,0.00437650220754519,AR,2024-02-12,1,1,1,1,1,1,1,1,1,1
94,1.1687776338463,0.442762394004907,AR,2024-02-13,1,0,1,1,0,1,1,1,1,1
95,0.0100090924095425,0.003467291444127085,AR,2024-02-14,1,1,1,1,1,1,1,1,1,1
96,NA,NA,AR,2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.00548924204316732,0.001925580025359135,AR,2024-02-19,1,1,1,1,1,1,1,1,1,1
101,0.00483565040289095,0.001710484028596225,AR,2024-02-20,1,1,1,1,1,1,1,1,1,1
102,NA,NA,AR,2024-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.00227300514592081,8.3703518664381e-4,AR,2024-02-26,1,1,1,1,1,1,1,1,1,1
108,NA,NA,AR,2024-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2024-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1.37351692253726,0.953687998229535,AR,2024-02-29,1,0,1,1,0,1,0,1,1,0
111,2.8243259096057e-4,5.1850468704809e-4,AR,2024-03-01,1,1,1,1,1,1,1,1,1,1
112,NA,NA,AR,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.00206414193182354,3.618200573145e-4,AR,2024-03-04,1,1,1,1,1,1,1,1,1,1
115,NA,NA,AR,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1.2635998158276e-4,2.23905441129165e-4,AR,2024-03-08,1,1,1,1,1,1,1,1,1,1
119,NA,NA,AR,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.0547948259676899,0.00270425238213133,AZ,2024-02-04,1,1,1,1,1,1,1,1,1,1
128,2.40772978696819,0.161948371178774,AZ,2024-02-05,1,0,1,1,0,1,0,0,1,0
129,1.00339616217823,0.04157738572904595,AZ,2024-02-06,0,1,1,1,1,0,1,1,0,1
130,0.476793013589206,0.00179620991823343,AZ,2024-02-07,1,1,1,1,1,1,1,1,1,1
131,0.00252500760916274,0.001566133261892995,AZ,2024-02-08,1,1,1,1,1,1,1,1,1,1
132,1.22757608485428,0.3190151434419365,AZ,2024-02-09,1,0,1,0,1,1,1,0,0,1
133,0.0074066163587052,0.001189622499937115,AZ,2024-02-10,1,1,1,1,1,1,1,1,1,1
134,0.828726528484468,0.118134693602926,AZ,2024-02-11,1,1,1,1,0,1,0,1,1,0
135,0.0876531731538962,9.0279846035437e-4,AZ,2024-02-12,1,1,1,1,1,1,0,1,1,0
136,0.974898050539465,0.065175789162113,AZ,2024-02-13,1,1,0,1,1,1,0,0,1,1
137,0.202519786820636,6.84647170332545e-4,AZ,2024-02-14,1,1,1,1,1,1,0,1,1,0
138,7.9963877645594e-4,5.96096878550105e-4,AZ,2024-02-15,1,1,1,1,1,1,1,1,1,1
139,0.00643513976570396,5.1894508826729e-4,AZ,2024-02-16,1,1,1,1,1,1,1,1,1,1
140,0.0373120320119583,4.5174128784357e-4,AZ,2024-02-17,1,1,1,1,1,1,1,1,1,1
141,0.687115784412962,0.050983885378795,AZ,2024-02-18,1,1,1,1,1,1,0,1,1,0
142,0.11395708857288,3.42257548575485e-4,AZ,2024-02-19,1,1,1,1,1,1,1,1,1,1
143,1.47256941395792,0.0673576731103105,AZ,2024-02-20,1,0,0,1,1,1,1,0,0,1
144,0.95195286283914,0.03525243108182605,AZ,2024-02-21,1,1,0,1,1,1,0,0,1,0
145,1.31999319927702,0.245497877802028,AZ,2024-02-22,1,0,0,1,1,1,0,0,1,1
146,0.00284429194014896,1.9643069048412e-4,AZ,2024-02-23,1,1,1,1,1,1,1,1,1,1
147,0.0011687626591278,1.70982444106855e-4,AZ,2024-02-24,1,1,1,1,1,1,1,1,1,1
148,2.17208521470427,0.218006844423854,AZ,2024-02-25,1,0,0,1,0,1,0,0,1,0
149,0.00873733287525025,1.2957353669839e-4,AZ,2024-02-26,1,1,1,1,1,1,1,1,1,1
150,1.24112557406726,0.089781475920959,AZ,2024-02-27,1,0,0,1,1,1,0,0,1,1
151,0.0030807937486674,9.822661900915e-5,AZ,2024-02-28,1,1,1,1,1,1,1,1,1,1
152,0.0012212835602857,8.5537334489985e-5,AZ,2024-02-29,1,1,1,1,1,1,1,1,1,1
153,1.4259515333495e-4,7.449658000474e-5,AZ,2024-03-01,1,1,1,1,1,1,1,1,1,1
154,0.00136970312597672,6.488979523118e-5,AZ,2024-03-02,1,1,1,1,1,1,1,1,1,1
155,0.00108556915139766,5.653027664596e-5,AZ,2024-03-03,1,1,1,1,1,1,1,1,1,1
156,0.00419269481558512,4.92555891568382e-5,AZ,2024-03-04,1,1,1,1,1,1,1,1,1,1
157,0.00220212243699826,4.292443289759325e-5,AZ,2024-03-05,1,1,1,1,1,1,1,1,1,1
158,4.8099332564843e-4,3.74139089946002e-5,AZ,2024-03-06,1,1,1,1,1,1,1,1,1,1
159,4.43073108291718e-5,3.261713473025125e-5,AZ,2024-03-07,1,1,1,1,1,1,1,1,1,1
160,NA,NA,AZ,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,3.5146035527975e-4,2.48051776654694e-5,AZ,2024-03-09,1,1,1,1,1,1,1,1,1,1
162,1.38463039373787,0.331251700567745,AZ,2024-03-10,1,0,0,1,1,1,0,0,1,1
163,3.7860737123383e-4,1.888123360326e-5,AZ,2024-03-11,1,1,1,1,1,1,1,1,1,1
164,1.37993247407833,0.3307629184745615,AZ,2024-03-12,1,0,1,1,0,1,0,1,1,0
165,0.00191592170739271,1.438616388077735e-5,AZ,2024-03-13,1,1,1,1,1,1,1,1,1,1
166,2.4269318977525e-4,1.25624120825019e-5,AZ,2024-03-14,1,1,1,1,1,1,1,1,1,1
167,NA,NA,AZ,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,NA,NA,AZ,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,0.401566595957662,0.034621556505829,CA,2024-02-04,1,1,1,1,1,1,0,1,1,0
170,1.38275935614801,0.0640645656361435,CA,2024-02-05,1,1,0,1,1,1,0,0,1,1
171,6.35896713087331,0.107256335035778,CA,2024-02-06,1,0,0,1,0,1,0,0,1,0
172,3.69864488259552,0.085207685992072,CA,2024-02-07,1,0,0,1,0,1,0,0,1,0
173,0.938143284454914,0.0333799377683844,CA,2024-02-08,1,1,1,1,1,1,0,1,1,0
174,6.73220974184868,0.1179811314329955,CA,2024-02-09,1,0,0,1,1,1,0,0,1,0
175,4.96125463359097,0.146930103867224,CA,2024-02-10,1,0,0,1,0,1,0,0,1,0
176,0.0144353492690383,8.25961187196225e-4,CA,2024-02-11,1,1,1,1,1,1,1,1,1,1
177,4.42026099996676,0.1096864712993865,CA,2024-02-12,1,0,0,1,1,1,0,0,1,0
178,3.20865253495403,0.087882206476749,CA,2024-02-13,1,0,0,0,1,1,0,0,0,0
179,1.34327722558625,0.03853706621194405,CA,2024-02-14,1,1,0,1,1,1,0,0,0,0
180,6.74359945173637,0.117081122217462,CA,2024-02-15,1,0,0,0,0,1,0,0,0,0
181,1.48121380601999,0.0363383845503822,CA,2024-02-16,1,1,0,1,1,1,0,0,0,0
182,0.753560065114202,0.0327526960451604,CA,2024-02-17,1,1,0,1,1,1,0,0,1,1
183,1.20918195916355,0.054166680955305,CA,2024-02-18,1,0,0,1,1,1,0,0,1,1
184,0.991246900741542,0.0383677359292702,CA,2024-02-19,1,1,1,1,1,1,0,0,1,0
185,0.0734446277596977,2.6446982286268e-4,CA,2024-02-20,1,1,1,1,1,1,1,1,1,1
186,4.86059508958296,0.086234019427219,CA,2024-02-21,1,0,0,0,0,1,0,0,0,0
187,3.32773228352091,0.0641555616708245,CA,2024-02-22,1,0,1,0,0,1,0,1,0,0
188,3.15491985408735,0.064251750839971,CA,2024-02-23,1,0,0,1,0,1,0,0,1,0
189,2.03577570658559,0.057831359974516,CA,2024-02-24,1,0,0,1,1,1,0,0,1,1
190,0.118897161807399,1.4229436132216e-4,CA,2024-02-25,1,1,1,1,1,1,0,1,1,0
191,4.9007554534793,0.077896407038397,CA,2024-02-26,1,0,0,1,0,1,0,0,1,0
192,8.26056669851518,0.1155959866264035,CA,2024-02-27,1,0,0,1,0,1,0,0,1,0
193,5.09775555144642,0.076954481116716,CA,2024-02-28,1,0,0,1,1,1,0,0,1,0
194,0.00542730262607069,8.7438511896165e-5,CA,2024-02-29,1,1,1,1,1,1,1,1,1,1
195,0.00662917146148816,7.752326517981e-5,CA,2024-03-01,1,1,1,1,1,1,1,1,1,1
196,0.0580146395661863,6.8772527904895e-5,CA,2024-03-02,1,1,1,1,1,1,1,1,1,1
197,1.09829328873459,0.0449381040014956,CA,2024-03-03,1,0,0,1,1,1,0,0,1,1
198,4.11939777403105,0.0898133942369515,CA,2024-03-04,1,0,0,1,0,1,0,0,1,0
199,6.59164403304263,0.1162714840183395,CA,2024-03-05,1,0,0,1,0,1,0,0,1,0
200,2.92143482123076,0.059358827257932,CA,2024-03-06,1,0,0,1,0,1,0,0,1,1
201,5.85625027747444,0.123683996305364,CA,2024-03-07,1,0,0,1,0,1,0,0,1,0
202,1.98524854562076,0.0521939854143595,CA,2024-03-08,1,0,1,0,0,1,0,1,0,1
203,2.64299744430311,0.141504381184649,CA,2024-03-09,1,0,1,1,0,1,0,1,1,0
204,2.59835009182349,0.1166037149099,CA,2024-03-10,1,0,1,1,0,1,0,1,1,0
205,2.70966731566237,0.1983137915770435,CA,2024-03-11,1,0,1,1,0,1,0,1,1,0
206,3.41997947218167,0.1102427825723005,CA,2024-03-12,1,0,0,1,0,1,0,0,1,0
207,5.28778991234112,0.113440887434509,CA,2024-03-13,1,0,1,1,0,1,0,1,1,0
208,4.73995153506275,0.120365297382407,CA,2024-03-14,1,0,0,1,0,1,0,0,1,0
209,1.18503983371435,0.0354858837930559,CA,2024-03-15,1,0,0,1,1,1,0,0,1,1
210,2.3115465165849,0.1528762732894195,CA,2024-03-16,1,0,0,1,0,1,0,0,1,0
211,NA,NA,CO,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.00215063699486553,6.98724060279085e-4,CO,2024-02-05,1,1,1,1,1,1,1,1,1,1
213,0.00169462383097369,6.08799458435485e-4,CO,2024-02-06,1,1,1,1,1,1,1,1,1,1
214,0.00151798855684909,5.30478146925365e-4,CO,2024-02-07,1,1,1,1,1,1,1,1,1,1
215,0.00534268856982167,4.62272150240575e-4,CO,2024-02-08,1,1,1,1,1,1,1,1,1,1
216,0.005501908537452,4.02881082566375e-4,CO,2024-02-09,1,1,1,1,1,1,1,1,1,1
217,1.32259468634957,0.487811634232218,CO,2024-02-10,1,0,0,1,1,1,0,0,1,1
218,NA,NA,CO,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,0.00371695240231587,2.6694497905794e-4,CO,2024-02-12,1,1,1,1,1,1,1,1,1,1
220,1.33269075570896,0.489830164939997,CO,2024-02-13,1,0,0,1,1,1,1,1,1,1
221,NA,NA,CO,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,0.00060184686718035005,1.7721656702739e-4,CO,2024-02-15,1,1,1,1,1,1,1,1,1,1
223,NA,NA,CO,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,NA,NA,CO,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,NA,NA,CO,2024-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,3.086238262631e-4,9.0068387000595e-5,CO,2024-02-20,1,1,1,1,1,1,1,1,1,1
228,0.00374920847352156,7.8751743480055e-5,CO,2024-02-21,1,1,1,1,1,1,1,1,1,1
229,NA,NA,CO,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,1.36607692601255,0.4944045939633105,CO,2024-02-23,1,0,0,1,1,1,0,0,1,1
231,NA,NA,CO,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,0.0012412336607081,4.05091814377522e-5,CO,2024-02-26,1,1,1,1,1,1,1,1,1,1
234,7.62119687303317e-5,3.55173994639938e-5,CO,2024-02-27,1,1,1,1,1,1,1,1,1,1
235,9.32390999955797e-5,3.11571106386866e-5,CO,2024-02-28,1,1,1,1,1,1,1,1,1,1
236,3.2846524264231e-4,2.73469677146065e-5,CO,2024-02-29,1,1,1,1,1,1,1,1,1,1
237,NA,NA,CO,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,NA,NA,CO,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,CO,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,1.2336184882839e-4,1.632389909336425e-5,CO,2024-03-04,1,1,1,1,1,1,1,1,1,1
241,NA,NA,CO,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,NA,NA,CO,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,NA,NA,CO,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,4.39113310259052e-5,9.8418692156059e-6,CO,2024-03-08,1,1,1,1,1,1,1,1,1,1
245,NA,NA,CO,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,CO,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,NA,NA,CO,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,7.29451354011829e-5,5.9987253585818e-6,CO,2024-03-12,1,1,1,1,1,1,1,1,1,1
249,1.4608826091154e-5,5.30984657883325e-6,CO,2024-03-13,1,1,1,1,1,1,1,1,1,1
250,NA,NA,CO,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,1.16248354773826e-5,4.16957218543781e-6,CO,2024-03-15,1,1,1,1,1,1,1,1,1,1
252,NA,NA,CO,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,0.00183942515782698,0.00110841854343801,CT,2024-02-04,1,1,1,1,1,1,1,1,1,1
254,0.011632885506856,9.624683803097e-4,CT,2024-02-05,1,1,1,1,1,1,1,1,1,1
255,1.05967394860477,0.189359000571482,CT,2024-02-06,1,0,1,1,0,1,1,1,1,1
256,0.0158389380541687,7.25193588444655e-4,CT,2024-02-07,1,1,1,1,1,1,0,1,0,1
257,1.27300765552317,0.475742343974227,CT,2024-02-08,1,0,1,1,0,1,0,1,1,0
258,0.00689560013128723,5.45999339554865e-4,CT,2024-02-09,1,1,1,1,1,1,1,1,1,1
259,NA,NA,CT,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,8.1527997836751e-4,4.1084179532571e-4,CT,2024-02-11,1,1,1,1,1,1,1,1,1,1
261,0.0168486885796532,3.5632050454715e-4,CT,2024-02-12,1,1,1,1,1,1,1,1,1,1
262,NA,NA,CT,2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,3.8004161138684e-4,2.67954350960155e-4,CT,2024-02-14,1,1,1,1,1,1,1,1,1,1
264,2.8260229651579e-4,2.3234241137472e-4,CT,2024-02-15,1,1,1,1,1,1,1,1,1,1
265,NA,NA,CT,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,2.5373819769625e-4,1.7466713243595e-4,CT,2024-02-17,1,1,1,1,1,1,1,1,1,1
267,NA,NA,CT,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,8.1051880788033e-4,1.31299340479555e-4,CT,2024-02-19,1,1,1,1,1,1,1,1,1,1
269,NA,NA,CT,2024-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,0.00133003333110839,9.8701833979305e-5,CT,2024-02-21,1,1,1,1,1,1,1,1,1,1
271,1.36418968235649,0.4909536355171405,CT,2024-02-22,1,0,1,1,0,1,0,1,1,0
272,3.5080981695443e-4,7.420581021699e-5,CT,2024-02-23,1,1,1,1,1,1,1,1,1,1
273,NA,NA,CT,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,7.1256374707563e-4,5.580021630368e-5,CT,2024-02-25,1,1,1,1,1,1,1,1,1,1
275,6.8207519978724e-5,4.83923887676655e-5,CT,2024-02-26,1,1,1,1,1,1,1,1,1,1
276,2.494431227992e-4,4.197120979753555e-5,CT,2024-02-27,1,1,1,1,1,1,1,1,1,1
277,5.65261159764588e-5,3.64051499111913e-5,CT,2024-02-28,1,1,1,1,1,1,1,1,1,1
