...1,es_score,brier_score,location,target_date,X22F_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,recombinant_50_CI,other_50_CI,X23A_50_CI,X22F_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,recombinant_95_CI,other_95_CI,X23A_95_CI
25,NA,NA,AK,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2023-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1.01205113075117,0.2967925908459855,AK,2023-06-06,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
39,NA,NA,AK,2023-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.386235031472242,0.2769376255038945,AK,2023-06-08,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
41,NA,NA,AK,2023-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.677580488760864,0.354871097762125,AL,2023-05-03,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
47,NA,NA,AL,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2023-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2023-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,0.47376564860486,0.315215621560331,AL,2023-05-19,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
63,NA,NA,AL,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.214934354954139,0.1542263995858165,AL,2023-05-23,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
67,NA,NA,AL,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2023-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.794563393250897,0.2270142494692065,AL,2023-05-31,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
75,NA,NA,AL,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.400964956679459,0.2867461722622875,AL,2023-06-07,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
82,0.43519311096037,0.3132301966743655,AL,2023-06-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,NA,NA,AL,2023-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.335411670876447,0.0387046582396613,AR,2023-04-30,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
86,NA,NA,AR,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,1.10902194803155,0.78673962532998,AR,2023-05-02,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
88,0.0657943201436185,0.04697206198858175,AR,2023-05-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,NA,NA,AR,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.889779530709521,0.635846091077615,AR,2023-05-08,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
94,0.298206283797118,0.068728221272074,AR,2023-05-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,1.85913803264106,0.518886196539985,AR,2023-05-10,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
96,NA,NA,AR,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,1.0019661388754,0.1542263995858165,AR,2023-05-23,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
109,NA,NA,AR,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.246307806018514,0.1795961672775265,AR,2023-05-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,NA,NA,AR,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.536035433367473,0.3847275072747725,AR,2023-05-29,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
115,0.527693906800638,0.3730999133504825,AR,2023-05-30,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
116,0.311718138976832,0.2270142494692065,AR,2023-05-31,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
117,NA,NA,AR,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,0.428638018966663,0.30195617682938253,AR,2023-06-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,0.44040096654544,0.3132301966743655,AR,2023-06-08,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
125,0.452696464525827,0.324596850046265,AR,2023-06-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,NA,NA,AR,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.37867358438041,0.200843210973591,AZ,2023-04-30,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0
128,2.98700451049308,0.1055132886203195,AZ,2023-05-01,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0
129,3.11118197844415,0.206500857605519,AZ,2023-05-02,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0
130,2.85797827942081,0.149257856327954,AZ,2023-05-03,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0
131,2.12894346686305,0.0949477218684225,AZ,2023-05-04,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
132,1.2002599266188,0.243366557796357,AZ,2023-05-05,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
133,1.42773489874453,0.056905738773725,AZ,2023-05-06,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0
134,1.98694685086814,0.29441176983915,AZ,2023-05-07,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0
135,5.23301654472993,0.292530872606404,AZ,2023-05-08,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
136,7.50831907518065,0.1283307340349565,AZ,2023-05-09,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0
137,4.80826930939506,0.163142538807036,AZ,2023-05-10,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0
138,0.331307924372653,0.077765256965981,AZ,2023-05-11,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
139,1.50044146258914,0.175329935727194,AZ,2023-05-12,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0
140,NA,NA,AZ,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,1.08568972951228,0.3300282864344285,AZ,2023-05-14,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
142,4.72330158749825,0.225259396551979,AZ,2023-05-15,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
143,3.64232436651731,0.2194336311116315,AZ,2023-05-16,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0
144,2.65568259216742,0.201002620493672,AZ,2023-05-17,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
145,0.932084115876011,0.2511492447500735,AZ,2023-05-18,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
146,0.744787426617478,0.531060424089535,AZ,2023-05-19,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
147,1.55860351762173,0.52379474608055,AZ,2023-05-20,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0
148,2.80459338231456,0.239376156001143,AZ,2023-05-21,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0
149,3.02915553541774,0.2343370359250025,AZ,2023-05-22,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1
150,3.00274735579719,0.233841087091802,AZ,2023-05-23,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0
151,1.66961008471969,0.2873274435236835,AZ,2023-05-24,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0
152,1.06422259658773,0.170868594608111,AZ,2023-05-25,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
153,1.17801866804939,0.3020262394092635,AZ,2023-05-26,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
154,1.16831344089677,0.1885867834134585,AZ,2023-05-27,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
155,2.81174272605832,0.313639877905213,AZ,2023-05-28,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0
156,2.89071141179502,0.349790009047588,AZ,2023-05-29,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0
157,1.65356836934593,0.3583242461024775,AZ,2023-05-30,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0
158,3.67308995375094,0.323115754366419,AZ,2023-05-31,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
159,1.9362068693042,0.4037611043630045,AZ,2023-06-01,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0
160,1.07212292970988,0.360381261440757,AZ,2023-06-02,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
161,2.27449880130252,0.3139426587154445,AZ,2023-06-03,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0
162,1.58861773136713,0.278601686907928,AZ,2023-06-04,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
163,1.8772650781655,0.307871846643122,AZ,2023-06-05,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0
164,1.48753469971082,0.4108034413729355,AZ,2023-06-06,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
165,1.91494016673554,0.35771582220094,AZ,2023-06-07,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0
166,1.73163327432258,0.3790750158455255,AZ,2023-06-08,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0
167,1.52552516887755,0.415761255122934,AZ,2023-06-09,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0
168,1.18325932253057,0.4777518286328105,AZ,2023-06-10,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0
169,2.77024774836455,0.1886222229396555,CA,2023-04-30,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0
170,5.27930003658125,0.250034876392775,CA,2023-05-01,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0
171,6.8998257381964,0.2792213555279175,CA,2023-05-02,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
172,2.54713045611118,0.1920352357195405,CA,2023-05-03,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0
173,1.58280663497632,0.2326863807090395,CA,2023-05-04,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
174,4.99194903647908,0.2057493724151745,CA,2023-05-05,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0
175,2.43178452263944,0.1935977662541435,CA,2023-05-06,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0
176,1.05190479223436,0.269192678561836,CA,2023-05-07,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
177,9.18101970992769,0.3615766035731915,CA,2023-05-08,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
178,6.45216847686848,0.1973938372893995,CA,2023-05-09,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0
179,3.41512373840183,0.285438786486401,CA,2023-05-10,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
180,3.27779522238192,0.287234652449834,CA,2023-05-11,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
181,1.90382824991803,0.227150331951737,CA,2023-05-12,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1
182,1.49851631805183,0.4042315808321415,CA,2023-05-13,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1
183,4.7333025253216,0.54170783055599,CA,2023-05-14,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
184,4.02326545389903,0.3441641516201395,CA,2023-05-15,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0
185,1.62073236793985,0.2370405415769355,CA,2023-05-16,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0
186,2.17194756226491,0.3227592901932395,CA,2023-05-17,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1
187,1.21561361113682,0.318929153182924,CA,2023-05-18,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
188,2.65237622456724,0.251818073087467,CA,2023-05-19,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0
189,1.2543636755723,0.131354165138751,CA,2023-05-20,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
190,1.01072087098259,0.436305539136977,CA,2023-05-21,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
191,1.51750363695404,0.2884868891613465,CA,2023-05-22,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0
192,1.65541689183095,0.2865363610288675,CA,2023-05-23,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
193,1.58721083805483,0.2825085272596065,CA,2023-05-24,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0
194,3.28577716643635,0.2947987910246965,CA,2023-05-25,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0
195,2.36101015379482,0.3356569632364835,CA,2023-05-26,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0
196,1.05296711570315,0.311309671504796,CA,2023-05-27,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
197,1.30964576097662,0.4005756823608945,CA,2023-05-28,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
198,1.71675607102973,0.46588319893024,CA,2023-05-29,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0
199,3.82050818013488,0.309698903667218,CA,2023-05-30,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0
200,3.08519047044834,0.334522182779029,CA,2023-05-31,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
201,3.35783672407786,0.3365049530475525,CA,2023-06-01,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0
202,1.77591695071876,0.3818567848205485,CA,2023-06-02,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0
203,1.82673227665902,0.3250104559277875,CA,2023-06-03,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0
204,2.16605319212058,0.4242194006443505,CA,2023-06-04,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1
205,2.43399837901681,0.3333381431746315,CA,2023-06-05,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0
206,2.76389399450393,0.4307615651393475,CA,2023-06-06,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1
207,1.46493824004852,0.386584985386313,CA,2023-06-07,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1
208,1.41724941985026,0.371848824527986,CA,2023-06-08,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
209,3.70991771069321,0.4725642130784395,CA,2023-06-09,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
210,1.31260794747537,0.61226765109411,CA,2023-06-10,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0
211,0.188096756308287,0.0387046582396613,CO,2023-04-30,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
212,0.751267837360125,0.04128905481506505,CO,2023-05-01,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
213,0.491124116476147,0.1694394207728265,CO,2023-05-02,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
214,0.0631984887247206,0.04697206198858175,CO,2023-05-03,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
215,0.415447549702074,0.0500871093438825,CO,2023-05-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
