...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23H_50_CI,X23I_50_CI,X24A_50_CI,other_50_CI,X23F_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23H_95_CI,X23I_95_CI,X24A_95_CI,other_95_CI,X23F_95_CI
39,NA,NA,AK,2024-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.0229799521072001,0.0163472871967291,AK,2024-01-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0.969867194625852,0.296995102437284,AK,2024-01-05,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
42,NA,NA,AK,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.247390994678669,0.1759909790697685,AL,2023-11-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
45,NA,NA,AL,2023-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2023-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,AL,2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0.282218082553909,0.1998486244961245,AL,2023-12-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
49,NA,NA,AL,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0.7700746116983,0.548428534756655,AL,2023-12-03,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
51,NA,NA,AL,2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2023-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0.798357185856995,0.56594774771321,AL,2023-12-07,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
55,NA,NA,AL,2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.445142046799459,0.316019774229648,AL,2023-12-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,NA,NA,AL,2023-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2023-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2023-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1.09331842451886,0.525671418649635,AL,2023-12-15,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
63,NA,NA,AL,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.957012275804288,0.679188095683705,AL,2023-12-18,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
66,NA,NA,AL,2023-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2023-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2023-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2023-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2023-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2023-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,0.912899122329828,0.653511265281905,AL,2023-12-28,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
76,NA,NA,AL,2023-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,0.0321458520308359,0.02155262013208925,AL,2024-01-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1.81833597280498,0.803407138685355,AL,2024-01-03,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1
82,0.0247820420208944,0.0163472871967291,AL,2024-01-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
83,NA,NA,AL,2024-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,0.758082787773035,0.53198185917087,AR,2023-11-27,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
87,1.00182032049947,0.442261164763965,AR,2023-11-28,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0
88,1.56382455184983,0.536580526482475,AR,2023-11-29,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
89,NA,NA,AR,2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,0.563419006225041,0.3978891648069335,AR,2023-12-01,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
91,NA,NA,AR,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,0.333907871091598,0.235738910168704,AR,2023-12-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
95,NA,NA,AR,2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1.63589492215761,0.569272364062475,AR,2023-12-07,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
97,NA,NA,AR,2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,0.416047615048084,0.3003879069865595,AR,2023-12-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
100,NA,NA,AR,2023-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,0.785954768139666,0.403066553052385,AR,2023-12-12,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
102,0.846804210932404,0.598924306880295,AR,2023-12-13,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
103,2.11745881428254,0.3803632534185545,AR,2023-12-14,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
104,0.245193009747341,0.1680432459969275,AR,2023-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,NA,NA,AR,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,2.43355157920733,0.620578632492215,AR,2023-12-18,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0
108,1.72393796695965,0.534176150538565,AR,2023-12-19,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1
109,NA,NA,AR,2023-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,2.64325666015258,0.556581258671945,AR,2023-12-21,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0
111,1.55435340249318,0.530327669393555,AR,2023-12-22,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
112,NA,NA,AR,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2023-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2023-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,0.848335587560733,0.397304561712253,AR,2023-12-27,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
117,2.51885066194959,0.500539125182725,AR,2023-12-28,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
118,NA,NA,AR,2023-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,0.0330884960793334,0.02155262013208925,AR,2024-01-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,0.190484020496041,0.01878572457948755,AR,2024-01-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,1.46127101313405,0.3478954997706795,AR,2024-01-04,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1
125,0.0221633286286346,0.0142037943426301,AR,2024-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,NA,NA,AR,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,3.21851419102599,0.4467155526341435,AZ,2023-11-26,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0
128,2.70086181254813,0.3325087778257425,AZ,2023-11-27,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0
129,3.5914082889675,0.3510217872473525,AZ,2023-11-28,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
130,3.58261995247758,0.3524421794851745,AZ,2023-11-29,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
131,0.964891615840662,0.371708462222166,AZ,2023-11-30,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0
132,1.29155033947553,0.3532767540310385,AZ,2023-12-01,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0
133,1.09716527118527,0.3119414565896265,AZ,2023-12-02,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1
134,3.62842425349588,0.344573168113627,AZ,2023-12-03,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
135,2.47802702517162,0.367224536404824,AZ,2023-12-04,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0
136,6.35564696996031,0.3261127147757625,AZ,2023-12-05,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0
137,4.38134964676452,0.4230323632425535,AZ,2023-12-06,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
138,2.39102639717051,0.326474577892215,AZ,2023-12-07,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0
139,1.09897662567943,0.37170007889568,AZ,2023-12-08,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
140,1.52977198928772,0.285640936196408,AZ,2023-12-09,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0
141,1.27594837101079,0.50513548241281,AZ,2023-12-10,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0
142,3.12160315548239,0.4354413821919805,AZ,2023-12-11,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0
143,5.38302998344796,0.54343568619787,AZ,2023-12-12,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0
144,5.67962559247659,0.4936858040106865,AZ,2023-12-13,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
145,3.32951316776204,0.4878045710779085,AZ,2023-12-14,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0
146,1.90285526646222,0.4364307355237345,AZ,2023-12-15,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1
147,1.55987754084559,0.3781595700761045,AZ,2023-12-16,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1
148,3.42562167573236,0.354561816521157,AZ,2023-12-17,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
149,11.9565422597728,0.4667926207667505,AZ,2023-12-18,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
150,2.40018033464434,0.3551291762788755,AZ,2023-12-19,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0
151,1.34016166768604,0.3585422851875035,AZ,2023-12-20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1
152,3.95721880694504,0.495970615188379,AZ,2023-12-21,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0
153,1.64797330500115,0.4377244835493215,AZ,2023-12-22,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0
154,2.40029983724394,0.489264275450463,AZ,2023-12-23,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1
155,2.48543982984764,0.3365770501384605,AZ,2023-12-24,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0
156,1.51944216814968,0.3211353996867835,AZ,2023-12-25,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1
157,3.04610728138775,0.304085713153024,AZ,2023-12-26,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1
158,2.62538440409531,0.335807469745317,AZ,2023-12-27,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0
159,2.08137788284346,0.364246751426949,AZ,2023-12-28,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
160,1.16232878393093,0.385921391523768,AZ,2023-12-29,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0
161,0.151627779330201,0.0321902245787846,AZ,2023-12-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
162,0.384599054327674,0.1416932998899555,AZ,2023-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,6.53205037571715,0.331310928109028,AZ,2024-01-01,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0
164,10.3070069525497,0.333847125761182,AZ,2024-01-02,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
165,2.2393769191699,0.364474859508168,AZ,2024-01-03,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1
166,0.817831684261998,0.2214728142960935,AZ,2024-01-04,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
167,0.701316779916173,0.272280819420097,AZ,2024-01-05,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
168,0.417824695321044,0.1110550380433155,AZ,2024-01-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
169,1.34742024029336,0.2691651594862625,CA,2023-11-26,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0
170,1.98166844052659,0.370374614834539,CA,2023-11-27,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1
171,3.22002368258313,0.3560174288090495,CA,2023-11-28,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0
172,3.99498483218968,0.336984283995349,CA,2023-11-29,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0
173,3.97577047228172,0.3034726926368715,CA,2023-11-30,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
174,1.90760371465916,0.324041400346276,CA,2023-12-01,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
175,0.930578636397104,0.3536792754025435,CA,2023-12-02,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
176,1.88190103799008,0.3104212534102925,CA,2023-12-03,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
177,5.78396854631629,0.396458144001394,CA,2023-12-04,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0
178,3.70512953023125,0.350493027657484,CA,2023-12-05,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0
179,2.67452952662966,0.405772246413341,CA,2023-12-06,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
180,2.20068365617115,0.488563801106117,CA,2023-12-07,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0
181,1.3252569046429,0.425696090527627,CA,2023-12-08,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1
182,1.55031445222324,0.4194535275134635,CA,2023-12-09,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0
183,2.72718693371686,0.4138852666436275,CA,2023-12-10,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0
184,5.86315587035872,0.375686109777336,CA,2023-12-11,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
185,3.76725731060624,0.357352678236515,CA,2023-12-12,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0
