...1,es_score,brier_score,location,target_date,X24B_50_CI,X24C_50_CI,X24D_50_CI,X24G_50_CI,recombinant_50_CI,other_50_CI,X24A_50_CI,X24B_95_CI,X24C_95_CI,X24D_95_CI,X24G_95_CI,recombinant_95_CI,other_95_CI,X24A_95_CI
35,NA,NA,AK,2024-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2024-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.665675598704975,0.45890990450365,AK,2024-06-10,1,0,1,1,1,1,1,1,0,1,1,1,1,0
38,NA,NA,AK,2024-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2024-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.711731683671641,0.5021116364852,AK,2024-06-13,1,1,1,1,1,1,0,1,1,1,1,1,1,1
41,NA,NA,AK,2024-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2024-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1.66943042855466,0.478000077616618,AL,2024-05-06,1,0,1,1,1,1,1,0,0,1,1,1,1,1
45,NA,NA,AL,2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2024-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,AL,2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2024-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2024-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2024-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2024-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2024-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2024-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2024-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2024-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2024-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2024-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2024-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2024-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2024-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2024-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2024-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,0.182468565344589,0.1305846186338445,AR,2024-05-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,NA,NA,AR,2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2024-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2024-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2024-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2024-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2024-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2024-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2024-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.677860363759859,0.478312347986676,AR,2024-06-10,1,1,1,1,1,1,0,1,1,1,1,1,1,1
122,NA,NA,AR,2024-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,NA,AZ,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,1.52977329712275,0.11469429542041,AZ,2024-05-06,0,1,1,1,1,1,0,0,1,1,1,1,1,0
129,1.20196240275625,0.122461756174111,AZ,2024-05-07,1,1,1,1,1,1,0,0,1,1,1,1,1,0
130,2.11030551363505,0.1640853017637975,AZ,2024-05-08,0,1,1,1,1,1,0,0,0,0,1,1,1,0
131,0.331867230824432,0.2323181555902915,AZ,2024-05-09,1,1,1,1,1,1,1,0,1,1,1,1,1,0
132,1.25942406383242,0.356454277227531,AZ,2024-05-10,1,1,1,1,1,1,0,0,0,1,1,1,1,0
133,1.05486750877922,0.505154235981195,AZ,2024-05-11,1,0,1,1,1,1,0,0,0,1,1,1,1,0
134,0.242158814561115,0.1665231647841515,AZ,2024-05-12,1,1,1,1,1,1,1,0,1,1,1,1,1,0
135,1.56284505739501,0.449637790998803,AZ,2024-05-13,0,1,0,0,1,1,1,0,1,0,0,0,1,1
136,0.921783608931567,0.3220522256398395,AZ,2024-05-14,1,0,1,1,1,1,1,1,1,1,0,1,1,0
137,0.938529483774462,0.326418999754089,AZ,2024-05-15,1,0,1,1,1,1,1,1,0,1,1,1,1,0
138,0.839082633175403,0.578196263542535,AZ,2024-05-16,1,0,1,1,1,1,1,1,0,1,1,1,1,0
139,0.445354037424796,0.323491301037288,AZ,2024-05-17,1,1,1,1,1,1,1,0,1,1,1,1,1,0
140,0.331541170481501,0.229397134708042,AZ,2024-05-18,1,1,1,1,1,1,1,0,1,1,1,1,1,0
141,0.337427056616244,0.240672464457204,AZ,2024-05-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,0.795236822570519,0.550368302482615,AZ,2024-05-20,1,0,1,1,1,1,1,1,0,1,1,1,1,0
143,0.889314500281873,0.263672121227007,AZ,2024-05-21,1,1,1,1,1,1,0,1,1,1,1,1,1,1
144,0.792676551152595,0.406549221061402,AZ,2024-05-22,1,0,1,1,1,1,1,1,1,1,1,1,1,1
145,NA,NA,AZ,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,0.42090910143091,0.29884491547445,AZ,2024-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,NA,NA,AZ,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,0.647026824259546,0.3320948555599075,AZ,2024-05-26,1,1,1,1,1,1,1,1,0,1,0,1,1,0
149,1.98521543902196,0.469605092751166,AZ,2024-05-27,0,1,0,1,1,1,1,0,0,0,1,1,1,0
150,2.65005193729754,0.425490994185292,AZ,2024-05-28,0,0,1,1,1,1,1,0,0,1,1,1,1,1
151,1.02723984951891,0.433042257297141,AZ,2024-05-29,1,1,1,1,1,0,1,1,0,1,0,1,0,1
152,0.318168819586498,0.231356154977963,AZ,2024-05-30,1,1,1,1,1,1,1,0,1,1,1,1,1,0
153,NA,NA,AZ,2024-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,0.428056154697793,0.3078825116715945,AZ,2024-06-01,1,1,1,1,1,1,1,1,1,1,0,1,1,0
155,2.2881276258233,0.4839587694253095,AZ,2024-06-02,0,0,1,1,1,1,1,0,0,1,1,1,1,0
156,1.60229945401367,0.3592385991585915,AZ,2024-06-03,1,0,1,1,1,1,1,0,0,1,1,0,1,0
157,2.53185390610341,0.4378344851665715,AZ,2024-06-04,0,0,1,1,1,1,1,0,0,0,0,1,1,0
158,0.915185410358674,0.332067350745008,AZ,2024-06-05,1,1,1,1,1,1,1,0,0,1,0,1,1,0
159,3.65953686389693,0.4028559344295755,AZ,2024-06-06,0,1,1,0,1,1,0,0,1,1,0,1,1,0
160,1.43169204032991,0.467128009258228,AZ,2024-06-07,1,0,1,1,1,1,1,1,0,1,1,1,1,0
161,3.14783246050562,0.488488517032142,AZ,2024-06-08,0,1,1,1,0,1,0,0,0,1,1,0,1,0
162,1.41688097827592,0.3983455922608265,AZ,2024-06-09,1,0,1,1,1,0,1,0,0,1,1,0,0,0
163,9.50656844397476,0.445754262504144,AZ,2024-06-10,0,0,1,0,1,1,0,0,0,0,0,1,1,0
164,5.1149703695584,0.405016642812827,AZ,2024-06-11,0,1,1,1,1,1,0,0,1,0,0,1,1,0
165,10.6300636873266,0.437751610833251,AZ,2024-06-12,0,0,0,0,1,0,0,0,0,0,0,1,0,0
166,3.73086623317053,0.467493522969309,AZ,2024-06-13,0,0,1,1,1,1,0,0,1,0,0,1,1,0
167,3.00288726619653,0.4618291032972215,AZ,2024-06-14,0,0,1,1,1,1,1,0,0,1,0,1,1,0
168,0.719553529190356,0.51642941385604,AZ,2024-06-15,1,1,1,1,1,1,0,0,1,1,1,1,1,0
169,1.41461201132112,0.1529788457543765,CA,2024-05-05,1,1,1,1,1,1,0,0,0,0,1,1,1,0
170,2.86472860682938,0.2402666336928395,CA,2024-05-06,0,1,0,1,1,1,0,0,0,0,1,1,1,0
171,10.2295746963934,0.458695985823433,CA,2024-05-07,0,0,1,0,1,1,0,0,0,1,0,0,1,0
172,2.15249377506462,0.2718621461923395,CA,2024-05-08,0,1,0,1,1,1,1,0,1,0,0,1,1,1
173,2.6938376494266,0.310271413818855,CA,2024-05-09,1,0,1,1,1,1,1,0,0,0,1,1,1,0
174,2.13195119994884,0.333701918574635,CA,2024-05-10,1,1,1,0,1,1,0,0,0,1,1,0,1,0
175,4.62061968401826,0.4063497795441925,CA,2024-05-11,1,0,1,1,1,1,0,1,0,0,1,0,1,0
176,5.89742299417457,0.3955925121039795,CA,2024-05-12,1,0,1,1,1,1,0,0,0,1,1,1,1,0
177,3.1412880494341,0.4121219759808275,CA,2024-05-13,0,0,1,0,0,1,1,0,1,1,0,0,1,0
178,9.55447622204256,0.403977762612242,CA,2024-05-14,0,0,0,1,1,1,1,0,0,0,0,0,1,0
179,2.79027764266732,0.3416130936917525,CA,2024-05-15,1,0,1,0,0,1,1,0,1,1,0,0,1,0
180,3.78773259170618,0.301930960758978,CA,2024-05-16,0,0,1,0,1,1,0,0,0,1,0,0,1,1
181,3.32639506117438,0.2950685393306705,CA,2024-05-17,0,1,1,1,1,1,0,0,0,1,1,0,1,0
182,3.85843874050902,0.2665595764240705,CA,2024-05-18,0,1,1,1,1,1,0,0,1,1,1,1,1,0
183,5.19208377932025,0.4021188121469255,CA,2024-05-19,0,0,1,0,1,1,1,0,0,0,0,0,1,1
184,4.57947079237785,0.2696407550580865,CA,2024-05-20,1,0,1,0,1,1,0,0,0,0,1,1,1,0
185,8.84556500848501,0.337293464463387,CA,2024-05-21,0,1,1,0,0,1,0,0,0,1,1,0,1,0
186,8.49142132307133,0.3348337375757215,CA,2024-05-22,0,1,1,1,1,1,0,0,0,0,0,1,1,0
187,3.30784552752709,0.319828146130057,CA,2024-05-23,1,0,1,0,1,1,1,0,0,1,0,1,1,0
188,5.69945609390394,0.3819733395743685,CA,2024-05-24,0,1,1,1,0,1,0,0,0,1,0,0,1,0
189,2.06744611688771,0.332219490938759,CA,2024-05-25,1,1,1,0,1,0,1,0,0,1,0,1,0,0
190,8.01093583766065,0.4156504872234735,CA,2024-05-26,0,1,0,0,1,0,1,0,0,0,0,0,0,0
191,5.22961440892501,0.3641533626022005,CA,2024-05-27,0,1,1,0,0,1,0,0,0,0,0,0,1,0
192,7.23024638411425,0.367336057514992,CA,2024-05-28,0,0,1,0,0,1,0,0,0,0,0,0,1,0
193,4.29192214620968,0.3609499008817095,CA,2024-05-29,0,0,1,0,1,1,0,0,0,0,0,0,1,0
194,6.56979497375656,0.396510592472634,CA,2024-05-30,0,0,0,1,0,0,0,0,0,0,1,0,0,0
195,20.3969251351036,0.407711789827273,CA,2024-05-31,0,0,1,1,1,0,0,0,0,0,0,0,0,0
196,3.30289416032893,0.372794249466329,CA,2024-06-01,1,0,1,1,1,1,0,0,0,0,1,0,1,0
197,5.08477243418977,0.3972925251548965,CA,2024-06-02,0,0,1,1,1,0,1,0,0,0,0,0,0,0
198,9.82161851551282,0.405622211337355,CA,2024-06-03,0,0,1,1,0,1,0,0,0,0,0,0,1,0
199,11.9646070416062,0.410297193388177,CA,2024-06-04,0,0,1,1,1,0,0,0,0,0,0,0,0,0
200,24.0326444409775,0.4259321003349025,CA,2024-06-05,0,0,1,0,0,0,0,0,0,1,0,0,0,0
201,22.4917238596212,0.402253593471502,CA,2024-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,7.06377395717569,0.350454798196696,CA,2024-06-07,1,0,0,0,1,1,0,0,0,0,0,1,1,0
203,9.32574875325257,0.463211771211012,CA,2024-06-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,12.1972018261442,0.4383759813587315,CA,2024-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,14.8600018531493,0.412299320699004,CA,2024-06-10,0,0,1,0,1,1,0,0,0,0,0,0,1,0
206,18.6836039706028,0.4317807548241185,CA,2024-06-11,0,0,0,1,1,0,0,0,0,0,1,0,0,0
207,17.7214719305403,0.445246294652492,CA,2024-06-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
208,16.6439587019698,0.456367132051771,CA,2024-06-13,0,0,1,0,0,1,0,0,0,0,0,0,1,0
209,11.4664578425724,0.476974126881283,CA,2024-06-14,0,1,1,1,0,0,0,0,0,0,0,0,0,0
210,5.8700903702607,0.4443393142560135,CA,2024-06-15,0,1,1,0,1,0,0,0,0,0,0,1,0,0
211,NA,NA,CO,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.642374605926136,0.4591301583069665,CO,2024-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,NA,NA,CO,2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,NA,CO,2024-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,NA,CO,2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,0.209011444715353,0.147879849350039,CO,2024-05-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,NA,NA,CO,2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,0.243097442241995,0.1763220628308465,CO,2024-05-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220,NA,NA,CO,2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,0.268572731797901,0.196796514419118,CO,2024-05-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
222,NA,NA,CO,2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,NA,NA,CO,2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,NA,NA,CO,2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,0.831940628404965,0.578470514865935,CO,2024-05-20,1,1,1,0,1,1,1,0,1,1,0,1,1,1
227,NA,NA,CO,2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,0.790543830835039,0.406549221061402,CO,2024-05-22,1,0,1,1,1,1,1,0,0,1,1,1,1,1
229,NA,NA,CO,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,0.429145820628833,0.29884491547445,CO,2024-05-24,1,1,1,1,1,1,1,0,1,1,1,1,1,0
231,NA,NA,CO,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,NA,NA,CO,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
