...1,es_score,brier_score,location,target_date,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23G_50_CI,X23H_50_CI,X23I_50_CI,X24A_50_CI,other_50_CI,X23F_50_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23G_95_CI,X23H_95_CI,X23I_95_CI,X24A_95_CI,other_95_CI,X23F_95_CI
34,NA,NA,AK,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.93312045289208,0.620628119467035,AK,2023-11-30,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
41,NA,NA,AK,2023-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1.18965333306874,0.3744578480670545,AL,2023-10-22,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
44,0.898511378207752,0.301325064805968,AL,2023-10-23,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0
45,0.822967132278519,0.59026133414863,AL,2023-10-24,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
46,1.07552279200803,0.172969765947535,AL,2023-10-25,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
47,1.099857903639,0.53402989485317,AL,2023-10-26,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
48,NA,NA,AL,2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.840690099061434,0.597181952488895,AL,2023-10-30,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
52,0.230982850468809,0.1646052728668715,AL,2023-10-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,0.232562498743127,0.163747252219566,AL,2023-11-01,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
54,NA,NA,AL,2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,0.519329180702406,0.3225557354952325,AL,2023-11-03,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
56,NA,NA,AL,2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.237773338345402,0.1628901159411445,AL,2023-11-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,NA,NA,AL,2023-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2023-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,0.234204839116946,0.166256585779686,AL,2023-11-09,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
62,NA,NA,AL,2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.263304701512591,0.1779925685046695,AL,2023-11-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
66,NA,NA,AL,2023-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2023-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2023-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.861897702255881,0.60175540761356,AL,2023-11-21,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,NA,NA,AL,2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.560915423868586,0.350487119296647,AL,2023-11-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
80,NA,NA,AL,2023-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2023-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,0.716942254544469,0.444561256590232,AL,2023-12-01,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
84,NA,NA,AL,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,3.4370445227871,0.52543437459494,AR,2023-10-23,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0
87,0.244640716953091,0.174787360769678,AR,2023-10-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,1.1238988965904,0.54601793691541,AR,2023-10-25,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
89,NA,NA,AR,2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,0.502294640901917,0.316959205544173,AR,2023-10-27,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
91,NA,NA,AR,2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.71885178225754,0.50956823961784,AR,2023-10-30,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
94,NA,NA,AR,2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,0.854384339101415,0.60826071339851,AR,2023-11-01,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
96,NA,NA,AR,2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,0.738039266201576,0.51594463462017,AR,2023-11-03,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
98,NA,NA,AR,2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1.60510008294808,0.342455041153779,AR,2023-11-06,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
101,0.742702409177363,0.52123603450538,AR,2023-11-07,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
102,0.703622880109516,0.493667512561181,AR,2023-11-08,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,NA,NA,AR,2023-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2023-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2023-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0.280538831256758,0.1882440713781265,AR,2023-11-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
110,NA,NA,AR,2023-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.366004197468376,0.2322896480231095,AR,2023-11-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,0.648710747198549,0.3744456220661075,AR,2023-11-21,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
116,NA,NA,AR,2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.866036878988591,0.583014151795465,AR,2023-11-27,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
122,1.53023287774568,0.537303041152795,AR,2023-11-28,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0
123,1.79022289249608,0.60727135390143006,AR,2023-11-29,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0
124,NA,NA,AR,2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0.146353242057863,0.138322937656249,AR,2023-12-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,NA,NA,AR,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.32139890533522,0.3343596874636065,AZ,2023-10-22,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0
128,4.80666749415396,0.3831588728396775,AZ,2023-10-23,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
129,2.74656720994354,0.2976217242798245,AZ,2023-10-24,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0
130,1.15169812525747,0.3237770856474985,AZ,2023-10-25,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0
131,0.240202999642867,0.1712567842222205,AZ,2023-10-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,1.58160444818567,0.3464196490555245,AZ,2023-10-27,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
133,1.84367310589642,0.456075125247911,AZ,2023-10-28,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0
134,1.95464626572777,0.32996340201026,AZ,2023-10-29,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
135,2.78119408333147,0.3671132631925985,AZ,2023-10-30,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0
136,2.12576503406441,0.3615590635728295,AZ,2023-10-31,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0
137,1.45986502824675,0.331247216741885,AZ,2023-11-01,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0
138,2.37307254798456,0.351770139245764,AZ,2023-11-02,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
139,1.83572884473484,0.3983854485114445,AZ,2023-11-03,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0
140,0.87739937324623,0.385476064267606,AZ,2023-11-04,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
141,2.97841655646542,0.3792515416709155,AZ,2023-11-05,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0
142,4.10132353870964,0.3548290968071245,AZ,2023-11-06,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
143,1.99748105320021,0.3197724935464685,AZ,2023-11-07,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0
144,2.80841141256346,0.3829383631003345,AZ,2023-11-08,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
145,1.06852892859865,0.3501061475384785,AZ,2023-11-09,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0
146,1.77399191452836,0.39262558473742,AZ,2023-11-10,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0
147,1.69823600452676,0.3608024996359825,AZ,2023-11-11,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1
148,6.71704464034459,0.340868686804589,AZ,2023-11-12,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
149,6.16743075309697,0.3257903053524815,AZ,2023-11-13,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
150,3.52689418285244,0.389192626208575,AZ,2023-11-14,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1
151,2.98447300149264,0.3235101535712755,AZ,2023-11-15,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
152,1.74743334107201,0.194766593329536,AZ,2023-11-16,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
153,0.727316062670016,0.514906018657615,AZ,2023-11-17,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
154,1.51231289559843,0.446306489131359,AZ,2023-11-18,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0
155,4.6741285734547,0.421835330718659,AZ,2023-11-19,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0
156,4.79934027678072,0.3144202324388165,AZ,2023-11-20,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
157,6.43002487963333,0.419527899922348,AZ,2023-11-21,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0
158,2.69996130043924,0.4371250441675795,AZ,2023-11-22,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0
159,0.616941439621835,0.366278350824925,AZ,2023-11-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
160,3.82667929555962,0.4225046876980795,AZ,2023-11-24,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1
161,3.58842094771052,0.4343616889103535,AZ,2023-11-25,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
162,3.32613883141574,0.4383188084767345,AZ,2023-11-26,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0
163,8.32235167249738,0.434743840693497,AZ,2023-11-27,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0
164,16.3410155307556,0.422135323081424,AZ,2023-11-28,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0
165,10.1064522544073,0.4779405465295795,AZ,2023-11-29,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0
166,2.06950201469229,0.51041659854417,AZ,2023-11-30,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
167,2.98157069331289,0.52950890011111,AZ,2023-12-01,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0
168,2.7861025787618,0.4004199581539295,AZ,2023-12-02,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0
169,0.629143034660186,0.3744578480670545,CA,2023-10-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,2.60742968203904,0.351104531359441,CA,2023-10-23,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0
171,1.68934083443258,0.33151083797294,CA,2023-10-24,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0
172,2.32089613586106,0.423532562679735,CA,2023-10-25,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0
173,3.99563097362488,0.3703598314990945,CA,2023-10-26,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0
174,2.00188151524526,0.409010776026318,CA,2023-10-27,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1
175,1.51890653830805,0.4073593061446915,CA,2023-10-28,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
176,1.50674948484811,0.1668371434509615,CA,2023-10-29,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0
177,3.57769374492527,0.4451071093247175,CA,2023-10-30,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
178,1.39814781341484,0.338696099073604,CA,2023-10-31,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0
179,2.10389619612351,0.4745010946110595,CA,2023-11-01,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0
180,1.39298437824347,0.3118435896930985,CA,2023-11-02,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0
181,2.33680242582843,0.262190945294813,CA,2023-11-03,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0
182,1.71496350270759,0.611952668152855,CA,2023-11-04,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1
183,1.14364538211818,0.4238954929162815,CA,2023-11-05,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1
184,2.77985483459299,0.3177813708008085,CA,2023-11-06,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0
185,2.66217321370343,0.37604895027444,CA,2023-11-07,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
