...1,es_score,brier_score,location,target_date,X22F_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X23A_50_CI,X22F_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI,X23A_95_CI
19,NA,NA,AK,2023-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2023-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2023-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,AK,2023-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2023-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.763695575284167,0.539190859701645,AK,2023-08-18,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
28,NA,NA,AK,2023-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2023-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.453672286231449,0.3251188338411785,AK,2023-08-23,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
33,NA,NA,AK,2023-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.379927936120949,0.2762399297281545,AK,2023-08-29,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
39,NA,NA,AK,2023-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2023-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.653200071568816,0.466192403722795,AL,2023-07-23,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
44,0.432222018244252,0.3037271377497565,AL,2023-07-24,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
45,0.857030238709475,0.4152130270998665,AL,2023-07-25,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
46,0.824026217747055,0.435503913222027,AL,2023-07-26,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
47,NA,NA,AL,2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.884680405349524,0.4542721687401865,AL,2023-07-31,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0
52,1.13477002169835,0.478609803862109,AL,2023-08-01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,0.747204059321432,0.3946389066450435,AL,2023-08-02,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0
54,0.655911642218814,0.4637811474565125,AL,2023-08-03,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
55,0.741766115146675,0.52488725190095,AL,2023-08-04,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
56,NA,NA,AL,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2023-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,0.750965164235955,0.527880970399575,AL,2023-08-08,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
60,0.70003171124034,0.489004666530376,AL,2023-08-09,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
61,0.697579026520652,0.4930145274034875,AL,2023-08-10,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
62,NA,NA,AL,2023-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.427506492781797,0.306748043631824,AL,2023-08-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,NA,NA,AL,2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,0.745901101050486,0.4017295857149615,AL,2023-08-16,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
68,0.798643814891904,0.415737182003344,AL,2023-08-17,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0
69,0.859942407655136,0.3218330443328495,AL,2023-08-18,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,1.02202599558349,0.3156707824583845,AL,2023-08-19,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
71,1.06637524459522,0.366774853858452,AL,2023-08-20,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
72,NA,NA,AL,2023-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.459650265962923,0.32256471597119,AL,2023-08-22,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
74,0.718129523244293,0.3917019571843715,AL,2023-08-23,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
75,1.69844022901599,0.485703141437765,AL,2023-08-24,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0
76,0.711717628906893,0.389049560323991,AL,2023-08-25,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
77,0.687682444789923,0.482287065957807,AL,2023-08-26,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
78,NA,NA,AL,2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.869764321303222,0.3625453611746195,AL,2023-08-28,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
80,0.682970030622802,0.4778048891561165,AL,2023-08-29,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
81,1.10795796712661,0.465527246189507,AL,2023-08-30,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0
82,NA,NA,AL,2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,0.433825574332478,0.306545102539474,AL,2023-09-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,0.504305473330024,0.3575783713083715,AL,2023-09-02,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
85,NA,NA,AR,2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,0.671832717626856,0.377526375780084,AR,2023-07-26,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
89,NA,NA,AR,2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,0.883029909022607,0.3661092215033585,AR,2023-07-28,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0
91,NA,NA,AR,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.425278144802234,0.298655899073772,AR,2023-07-31,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
94,1.52893077430945,0.4259783656418545,AR,2023-08-01,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
95,1.29256537508071,0.356107371538381,AR,2023-08-02,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0
96,NA,NA,AR,2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,0.599619422912828,0.4293819516096225,AR,2023-08-04,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
98,NA,NA,AR,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.550753366307337,0.396817114498615,AR,2023-08-07,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
101,1.63744814275024,0.3547724275157555,AR,2023-08-08,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1
102,1.30843412204801,0.429704036986608,AR,2023-08-09,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0
103,0.692380617877048,0.4930145274034875,AR,2023-08-10,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
104,0.751376148919103,0.399952045170494,AR,2023-08-11,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1
105,NA,NA,AR,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.780347239556032,0.4076540363768305,AR,2023-08-14,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
108,0.523633555755598,0.331497054587203,AR,2023-08-15,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
109,1.5363028949236,0.460388891736465,AR,2023-08-16,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
110,1.63775432177515,0.3637269075883925,AR,2023-08-17,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1
111,1.5344019967347,0.4555845593759275,AR,2023-08-18,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
112,0.664740096613368,0.4628687031496365,AR,2023-08-19,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
113,NA,NA,AR,2023-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1.84424383453404,0.3862440466451405,AR,2023-08-21,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0
115,0.452045997208514,0.3158739953884885,AR,2023-08-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,1.69180109131917,0.338962683759592,AR,2023-08-23,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
117,1.86435196494503,0.4573307423131985,AR,2023-08-24,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
118,0.475609383145163,0.3306094693538875,AR,2023-08-25,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
119,NA,NA,AR,2023-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,0.471976862472463,0.336606784234337,AR,2023-08-27,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
121,2.4015244515852,0.3828041188886895,AR,2023-08-28,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0
122,3.11063730890394,0.367999616280893,AR,2023-08-29,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1
123,1.52752014375758,0.415999955662664,AR,2023-08-30,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1
124,0.99168820088949,0.49035029394245,AR,2023-08-31,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1
125,NA,NA,AR,2023-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.691839840972921,0.385564851946719,AZ,2023-07-23,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
128,4.56213161595176,0.411112844470448,AZ,2023-07-24,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0
129,3.89423120368803,0.426916943960364,AZ,2023-07-25,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0
130,1.48854836307221,0.413441229915433,AZ,2023-07-26,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
131,1.49889825052946,0.4419049945346085,AZ,2023-07-27,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0
132,1.14046826717275,0.398146057754508,AZ,2023-07-28,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
133,0.712131426581659,0.3871518521280955,AZ,2023-07-29,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
134,6.27754141388819,0.407135991341036,AZ,2023-07-30,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
135,1.95483447643839,0.4121096566672635,AZ,2023-07-31,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0
136,2.73601390906088,0.4067619503079465,AZ,2023-08-01,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
137,2.89526481552999,0.3932788199982695,AZ,2023-08-02,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
138,2.50291333198468,0.3900260013673775,AZ,2023-08-03,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0
139,0.724583749230266,0.4019314617635565,AZ,2023-08-04,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
140,1.86409237489666,0.3802542054592465,AZ,2023-08-05,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0
141,1.13894883038848,0.39769841252413,AZ,2023-08-06,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
142,3.57917767391137,0.3971909671735255,AZ,2023-08-07,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
143,6.60916051417525,0.4153399492187375,AZ,2023-08-08,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0
144,1.74690355028567,0.4095956319195935,AZ,2023-08-09,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0
145,0.896340126516401,0.424053007692262,AZ,2023-08-10,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
146,0.858148946713015,0.4345206876524285,AZ,2023-08-11,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1
147,0.423133192916117,0.304075770401473,AZ,2023-08-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,2.58952941179381,0.3984118693857125,AZ,2023-08-13,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
149,9.14581293418489,0.44574374625093,AZ,2023-08-14,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
150,3.21852715628801,0.3805757506588465,AZ,2023-08-15,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
151,3.08908819736094,0.3767766830666715,AZ,2023-08-16,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1
152,1.96576449594196,0.4635583475873885,AZ,2023-08-17,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1
153,1.71828352610733,0.4325594674274985,AZ,2023-08-18,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1
154,1.34275966082097,0.425607378959144,AZ,2023-08-19,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0
155,2.20889131157033,0.408717437409562,AZ,2023-08-20,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1
156,3.2225739069789,0.3750587776105475,AZ,2023-08-21,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
157,3.16662027064105,0.365917774608224,AZ,2023-08-22,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0
158,2.82182587015025,0.348733773931527,AZ,2023-08-23,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0
159,2.99068040086753,0.4484413886490105,AZ,2023-08-24,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0
160,0.975027244266673,0.4420992395357575,AZ,2023-08-25,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0
161,1.55676408603765,0.420708170315604,AZ,2023-08-26,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0
162,3.04060937967668,0.4246644257710075,AZ,2023-08-27,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
163,5.01186071835412,0.3731709380581315,AZ,2023-08-28,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
164,1.54123853553672,0.4233528970395015,AZ,2023-08-29,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0
165,1.59762976247987,0.3746563938614015,AZ,2023-08-30,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
166,1.30608631300373,0.513684532382125,AZ,2023-08-31,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1
167,0.351362589902955,0.25931164350181,AZ,2023-09-01,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
168,NA,NA,AZ,2023-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,1.83789484518987,0.4196077164675585,CA,2023-07-23,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0
170,4.70018859254919,0.4690398110393515,CA,2023-07-24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
171,3.87622578562776,0.423044161129584,CA,2023-07-25,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
172,3.08594818283935,0.406721545642064,CA,2023-07-26,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0
173,2.87791798558528,0.413733934567171,CA,2023-07-27,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0
174,2.83260879371679,0.396752904321975,CA,2023-07-28,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0
175,2.63323181301256,0.3955121450373405,CA,2023-07-29,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0
176,4.35286320266044,0.4335397815909875,CA,2023-07-30,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
177,3.22760916848174,0.409247216636694,CA,2023-07-31,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0
178,5.65911632951979,0.4157167573025705,CA,2023-08-01,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
179,8.69811717509075,0.426080524517657,CA,2023-08-02,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
180,3.96858294920813,0.414676548585565,CA,2023-08-03,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0
181,4.1455770874344,0.419579697601612,CA,2023-08-04,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
182,4.82269694124359,0.4300561024595235,CA,2023-08-05,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
183,0.940505743480582,0.4320977037085345,CA,2023-08-06,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
184,2.49118872462888,0.413632874576676,CA,2023-08-07,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
185,2.68204651283567,0.4086133968528335,CA,2023-08-08,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0
186,1.77323842590243,0.4088081481998175,CA,2023-08-09,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
187,4.29237113449497,0.4204142521750055,CA,2023-08-10,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
188,2.07871421494053,0.396826905979781,CA,2023-08-11,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
189,2.64449706347434,0.411802829304967,CA,2023-08-12,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0
190,1.93438304247316,0.4337936669411705,CA,2023-08-13,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0
191,3.85737748193702,0.413215643601238,CA,2023-08-14,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
192,3.78995501181514,0.4120307399157335,CA,2023-08-15,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
193,9.80201215169465,0.4354120033467045,CA,2023-08-16,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
194,9.49072022285888,0.4368489198658645,CA,2023-08-17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
195,9.27262889100209,0.410146605706711,CA,2023-08-18,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0
196,2.98707917946248,0.4188116630861145,CA,2023-08-19,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0
197,2.43387399015139,0.434084360277819,CA,2023-08-20,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0
198,7.35387624605479,0.405941214597474,CA,2023-08-21,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
199,5.89240106103272,0.434315332693119,CA,2023-08-22,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
200,5.30569450643623,0.4077722189932895,CA,2023-08-23,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0
201,6.09099271768131,0.4086067289138705,CA,2023-08-24,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0
202,3.67032648859138,0.406180365440229,CA,2023-08-25,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0
203,3.0156174604762,0.4051551204976395,CA,2023-08-26,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0
204,1.85680536522744,0.3804343014949895,CA,2023-08-27,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0
205,8.9352818647341,0.4234399355466155,CA,2023-08-28,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
206,4.25589547641988,0.393213642678844,CA,2023-08-29,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
207,17.4826837360676,0.410457062286825,CA,2023-08-30,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
208,5.48429860263419,0.396719922691159,CA,2023-08-31,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
209,4.26212277729589,0.3915837790947425,CA,2023-09-01,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
210,1.50488338578232,0.410673876322946,CA,2023-09-02,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1
211,0.615126952427032,0.358409943696853,CO,2023-07-23,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
212,NA,NA,CO,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,0.737042275090674,0.392354392811519,CO,2023-07-25,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
214,0.653291330772675,0.4614696432089775,CO,2023-07-26,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
215,1.404331422523,0.443203823529581,CO,2023-07-27,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0
216,0.838633036170868,0.440474890928376,CO,2023-07-28,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
217,NA,NA,CO,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
