...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,X23H_50_CI,recombinant_50_CI,other_50_CI,X23B_50_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,X23H_95_CI,recombinant_95_CI,other_95_CI,X23B_95_CI
26,1.05098503676153,0.518669755809735,AK,2023-10-19,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0
27,NA,NA,AK,2023-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.602397681427299,0.160096277265766,AK,2023-10-24,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
32,NA,NA,AK,2023-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2023-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2023-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.341975662540082,0.24020233435092,AL,2023-09-26,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
46,0.555439193106998,0.3870404563753025,AL,2023-09-27,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
47,NA,NA,AL,2023-09-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,0.301847706226504,0.2164241541009995,AL,2023-10-03,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
53,NA,NA,AL,2023-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2023-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2023-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2023-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2023-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2023-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2023-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2023-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2023-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1.18340917384717,0.2305559089934545,AL,2023-10-17,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
67,0.642551216334552,0.173213131011353,AL,2023-10-18,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
68,2.37045126418118,0.492683850773893,AL,2023-10-19,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0
69,1.14921366536665,0.2586551439896945,AL,2023-10-20,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
70,0.234894353026462,0.166295331292966,AL,2023-10-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,1.26970645084085,0.3813382356798985,AL,2023-10-22,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
72,0.894238243936762,0.3006305868505345,AL,2023-10-23,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
73,0.840793916437658,0.59713995538549,AL,2023-10-24,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
74,1.02086201510966,0.158201613726534,AL,2023-10-25,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
75,1.15298190316715,0.55556882242467,AL,2023-10-26,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0
76,NA,NA,AL,2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.859862083156296,0.607733917338805,AL,2023-10-30,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
80,0.208433102053571,0.148831319258064,AL,2023-10-31,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
81,0.208835643801242,0.147630502301627,AL,2023-11-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,NA,NA,AL,2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,0.537186245138363,0.326057800997577,AL,2023-11-03,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
84,NA,NA,AL,2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2023-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,0.547216573624268,0.3842195306686885,AR,2023-09-26,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
88,0.332866232144431,0.2367041606292825,AR,2023-09-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,0.581838898582692,0.3437824070986085,AR,2023-09-28,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
90,2.27963606469475,0.3602035464838585,AR,2023-09-29,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
91,NA,NA,AR,2023-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,3.48549778903825,0.4017338470881205,AR,2023-10-02,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0
94,1.96808985940816,0.4047808619557035,AR,2023-10-03,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
95,1.99897212906747,0.483193440908256,AR,2023-10-04,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0
96,3.91978509237029,0.409352289793781,AR,2023-10-05,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0
97,0.582345327339932,0.414112084498897,AR,2023-10-06,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
98,0.588672561230522,0.417280564139748,AR,2023-10-07,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
99,0.594863860920982,0.420475300571819,AR,2023-10-08,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
100,2.05898510781747,0.423694557873351,AR,2023-10-09,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
101,2.05840616850196,0.426936557117683,AR,2023-10-10,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
102,2.43948364117083,0.3825176414161025,AR,2023-10-11,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0
103,0.911112536661893,0.314893284624364,AR,2023-10-12,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
104,2.91847567730703,0.4646450876548485,AR,2023-10-13,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
105,NA,NA,AR,2023-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,4.6030016381617,0.4660761542948915,AR,2023-10-16,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0
108,0.712193226401221,0.500024795773075,AR,2023-10-17,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
109,NA,NA,AR,2023-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,2.9559570378102,0.4568266112908565,AR,2023-10-19,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0
111,0.645988854949781,0.46019078555265,AR,2023-10-20,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
112,0.667513736880264,0.4635561935926305,AR,2023-10-21,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
113,NA,NA,AR,2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,3.57977079895239,0.540681180633755,AR,2023-10-23,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
115,0.229304730488487,0.160096277265766,AR,2023-10-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
116,1.16069425802746,0.55982919409244,AR,2023-10-25,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
117,NA,NA,AR,2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,0.508007720269062,0.319174688613601,AR,2023-10-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,NA,NA,AR,2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.752350230600877,0.533447139569765,AR,2023-10-30,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
122,NA,NA,AR,2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,0.92140097821255,0.65173884967856,AR,2023-11-01,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
124,NA,NA,AR,2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0.75816645257826,0.54339887865727,AR,2023-11-03,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
126,NA,NA,AR,2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.58256199922986,0.367810179576527,AZ,2023-09-24,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0
128,3.58644409714169,0.4015395550405645,AZ,2023-09-25,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
129,3.90950412740254,0.397867015467233,AZ,2023-09-26,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
130,1.92430355790926,0.356143269156471,AZ,2023-09-27,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
131,0.980283015445954,0.35915571849677,AZ,2023-09-28,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0
132,0.736634427109611,0.390547184645011,AZ,2023-09-29,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0
133,1.10340327338394,0.3664014253334315,AZ,2023-09-30,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
134,7.94703605703173,0.393504106830962,AZ,2023-10-01,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0
135,8.67523367841339,0.42148107977198,AZ,2023-10-02,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0
136,1.20568256929099,0.3275404998465455,AZ,2023-10-03,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
137,2.61148322110856,0.476441950845163,AZ,2023-10-04,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
138,2.27818323521515,0.3749855240051525,AZ,2023-10-05,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0
139,2.25940475976938,0.402243158144055,AZ,2023-10-06,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
140,1.40229680540155,0.544090416287735,AZ,2023-10-07,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
141,3.37343694995494,0.364978217665291,AZ,2023-10-08,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0
142,2.59133804758803,0.35494409454303,AZ,2023-10-09,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0
143,2.52423020633401,0.362695389997984,AZ,2023-10-10,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
144,0.961466807940427,0.3191350859362855,AZ,2023-10-11,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0
145,0.618858186018837,0.4334814645049595,AZ,2023-10-12,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
146,1.27912555597505,0.61127103901991,AZ,2023-10-13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
147,1.13026008477759,0.337892668824742,AZ,2023-10-14,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
148,2.21744557089853,0.4146468223550975,AZ,2023-10-15,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0
149,2.5232389976292,0.343290949574787,AZ,2023-10-16,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0
150,2.55382097063996,0.3910239064302205,AZ,2023-10-17,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0
151,2.60967190761962,0.4144309057136185,AZ,2023-10-18,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0
152,3.43917401436717,0.4329239257185545,AZ,2023-10-19,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
153,1.24441341466273,0.303440842114796,AZ,2023-10-20,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0
154,1.63823316006155,0.3153217048943035,AZ,2023-10-21,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0
155,2.45039451491629,0.335578164958247,AZ,2023-10-22,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
156,5.69629231324645,0.385847445762533,AZ,2023-10-23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
157,2.70408104430146,0.2959518649678715,AZ,2023-10-24,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0
158,1.23776893667175,0.3255146036486495,AZ,2023-10-25,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1
159,0.22180231339398301,0.1563972842281515,AZ,2023-10-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,1.00858741607658,0.319174688613601,AZ,2023-10-27,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0
161,1.82145800757223,0.4539349167128,AZ,2023-10-28,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0
162,1.78682121458029,0.327662982617559,AZ,2023-10-29,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0
163,2.57878128982423,0.3664843905928915,AZ,2023-10-30,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0
164,2.48195397457716,0.3648673620754605,AZ,2023-10-31,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1
165,1.56632188474854,0.3353728073007825,AZ,2023-11-01,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
166,2.39512281128669,0.3517717289303335,AZ,2023-11-02,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
167,1.96898829725643,0.4035647999419315,AZ,2023-11-03,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0
168,0.929348963759311,0.392166243678722,AZ,2023-11-04,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0
169,1.7580719173271,0.355891403782237,CA,2023-09-24,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0
170,3.29450083619577,0.343660994359144,CA,2023-09-25,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
171,4.00420759027544,0.345207484500358,CA,2023-09-26,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1
172,3.30212809905346,0.386788528143533,CA,2023-09-27,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0
173,2.92991739295183,0.3670887136291545,CA,2023-09-28,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0
174,1.82552668242579,0.4100458710911955,CA,2023-09-29,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
175,0.972054242674893,0.365822294254274,CA,2023-09-30,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
176,1.07910113205997,0.392223369103208,CA,2023-10-01,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0
177,3.41722764769546,0.339119687201547,CA,2023-10-02,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0
178,3.74182328490287,0.353667365858162,CA,2023-10-03,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0
179,4.99892432737628,0.345943085278785,CA,2023-10-04,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0
180,4.92978666062312,0.427866307956857,CA,2023-10-05,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0
181,2.37545715123207,0.4091640517897225,CA,2023-10-06,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1
182,1.86895794391592,0.2489165887632405,CA,2023-10-07,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0
183,0.717530824062671,0.299959612078918,CA,2023-10-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
184,2.06055092212005,0.343881365828837,CA,2023-10-09,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0
185,3.37850377943548,0.3887942776222805,CA,2023-10-10,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0
186,2.90988557672023,0.3757080524437455,CA,2023-10-11,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
187,1.64322237888889,0.333350558168386,CA,2023-10-12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
