...1,es_score,brier_score,location,target_date,X22F_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,recombinant_50_CI,other_50_CI,X23A_50_CI,X22F_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,recombinant_95_CI,other_95_CI,X23A_95_CI
63,NA,NA,AL,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.928623294120268,0.469923828328109,AL,2023-07-31,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0
66,1.20719410705286,0.4946860242791395,AL,2023-08-01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
67,0.810720837417517,0.406795896436181,AL,2023-08-02,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
68,0.705079916236002,0.4922721727780825,AL,2023-08-03,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
69,0.764702410507714,0.54274153444966,AL,2023-08-04,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
70,NA,NA,AL,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.778194927112364,0.54802084900575,AL,2023-08-08,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
74,0.730605707347775,0.518076634504035,AL,2023-08-09,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
75,0.744693735148304,0.522201936690275,AL,2023-08-10,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
76,NA,NA,AL,2023-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.430843796334381,0.307536574480105,AL,2023-08-14,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
80,NA,NA,AL,2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.741482662173588,0.3969568260956195,AL,2023-08-16,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
82,0.841332715459093,0.4332764712739545,AL,2023-08-17,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1
83,0.792242706346472,0.311782030663242,AL,2023-08-18,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
84,1.04827033590963,0.323247647153238,AL,2023-08-19,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
85,NA,NA,AR,2023-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1.4051422165629,0.447574268595185,AR,2023-07-10,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0
87,NA,NA,AR,2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,0.550447203187788,0.383105175292476,AR,2023-07-13,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
90,NA,NA,AR,2023-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.57932381779578,0.40625697274527,AR,2023-07-17,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
94,NA,NA,AR,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,0.94590317697441,0.4743560266191405,AR,2023-07-19,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0
96,NA,NA,AR,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,0.399504286452864,0.2898946162808375,AR,2023-07-21,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
98,NA,NA,AR,2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,0.60495101365935,0.3599546663787885,AR,2023-07-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,NA,NA,AR,2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,0.816789518803195,0.357385216008484,AR,2023-07-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,NA,NA,AR,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.406639771689766,0.2858790537374605,AR,2023-07-31,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
108,1.60055946961209,0.4326980426253645,AR,2023-08-01,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
109,1.32562611702418,0.3588710940403945,AR,2023-08-02,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0
110,NA,NA,AR,2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.627265487838124,0.4503300258853445,AR,2023-08-04,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
112,NA,NA,AR,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.508138359875083,0.3655676052739765,AR,2023-08-07,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
115,1.66863656738033,0.360821298377226,AR,2023-08-08,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
116,1.26552081793641,0.4237973266369325,AR,2023-08-09,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0
117,0.733078516340892,0.522201936690275,AR,2023-08-10,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
118,0.784559193142527,0.413208426969117,AR,2023-08-11,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
119,NA,NA,AR,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.809372606365716,0.4229267457261775,AR,2023-08-14,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0
122,0.465911256957158,0.3127588845424575,AR,2023-08-15,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
123,1.60959258636439,0.4692381773512875,AR,2023-08-16,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
124,1.68210981642981,0.3748683957393895,AR,2023-08-17,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1
125,1.66021014180594,0.4768394135097525,AR,2023-08-18,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
126,0.679319238317444,0.481704565108981,AR,2023-08-19,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
127,3.04050943413823,0.3775301382693245,AZ,2023-07-09,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0
128,2.78211285444135,0.391173144005819,AZ,2023-07-10,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
129,3.73903586684451,0.40138878580228,AZ,2023-07-11,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0
130,3.89381673330071,0.402654375185575,AZ,2023-07-12,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0
131,4.05305461340048,0.409329497648481,AZ,2023-07-13,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0
132,1.14411824618521,0.397473320012935,AZ,2023-07-14,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0
133,2.02918270931728,0.431481999499958,AZ,2023-07-15,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0
134,2.86874483448838,0.3794312299738985,AZ,2023-07-16,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0
135,5.82080403369522,0.4091583272758515,AZ,2023-07-17,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0
136,2.40742664614797,0.4043277636030175,AZ,2023-07-18,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0
137,3.65791556766764,0.401848352942526,AZ,2023-07-19,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0
138,1.01627764888179,0.3878915677619995,AZ,2023-07-20,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
139,1.44240565701189,0.333610416698646,AZ,2023-07-21,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0
140,1.78409633206484,0.4088361061829005,AZ,2023-07-22,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
141,0.645716613618374,0.3685829992036,AZ,2023-07-23,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
142,4.8451779370642,0.413351864772997,AZ,2023-07-24,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0
143,4.52247208526977,0.432404571217961,AZ,2023-07-25,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0
144,1.67199351095047,0.416679607376991,AZ,2023-07-26,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1
145,1.65335037944984,0.4497928442108895,AZ,2023-07-27,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0
146,1.23978045044146,0.412323626417886,AZ,2023-07-28,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0
147,0.761075812436074,0.3972501401033695,AZ,2023-07-29,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
148,5.73496993312189,0.3957254903730875,AZ,2023-07-30,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0
149,1.91616355850546,0.41131439798836,AZ,2023-07-31,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0
150,2.93883611467863,0.410541723808987,AZ,2023-08-01,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
151,2.77243968473604,0.391316285290175,AZ,2023-08-02,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0
152,2.5971381776388,0.3914966450257175,AZ,2023-08-03,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0
153,0.759573720312009,0.404856153470024,AZ,2023-08-04,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1
154,1.96938514014064,0.3898709305336,AZ,2023-08-05,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0
155,1.23291644212477,0.40335972620083,AZ,2023-08-06,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0
156,3.83448358541892,0.399648155418001,AZ,2023-08-07,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0
157,6.48163776892142,0.4136968687488145,AZ,2023-08-08,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0
158,2.15231356716472,0.4146363354192945,AZ,2023-08-09,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0
159,0.963523413167697,0.438461784075579,AZ,2023-08-10,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
160,0.858705577860184,0.4356098659271605,AZ,2023-08-11,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1
161,0.425730806208652,0.30243091419622947,AZ,2023-08-12,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
162,2.85667471376534,0.4036026445978155,AZ,2023-08-13,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0
163,10.4858124954487,0.45539010371389,AZ,2023-08-14,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
164,3.05632275460226,0.377571273553911,AZ,2023-08-15,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0
165,3.15498375736574,0.378183205345342,AZ,2023-08-16,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0
166,2.18351792562256,0.480599765770446,AZ,2023-08-17,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0
167,1.96262503507087,0.444249497606729,AZ,2023-08-18,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1
168,1.40717308985661,0.4320683112315795,AZ,2023-08-19,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0
169,0.773455094805845,0.405912961049609,CA,2023-07-09,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0
170,3.05467956290383,0.403572046369621,CA,2023-07-10,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0
171,1.86160771430261,0.4131874135131265,CA,2023-07-11,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0
172,1.59849348236775,0.3995166006606325,CA,2023-07-12,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1
173,2.22116680374201,0.4051900291126725,CA,2023-07-13,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0
174,1.51100571675277,0.39584036510716,CA,2023-07-14,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
175,1.08902560441919,0.40655277016304,CA,2023-07-15,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1
176,1.75322129420157,0.3854459153654435,CA,2023-07-16,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
177,1.68887757445406,0.419595705693635,CA,2023-07-17,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1
178,2.29164121854475,0.4111037923505815,CA,2023-07-18,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0
179,2.81803982142986,0.402118262311324,CA,2023-07-19,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0
180,2.10981081497014,0.410281540744243,CA,2023-07-20,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0
181,2.24919773632796,0.381398325083226,CA,2023-07-21,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
182,2.02534962134367,0.398625643391351,CA,2023-07-22,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1
183,1.92645250662025,0.423827507250187,CA,2023-07-23,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0
184,4.65027109963519,0.468582734106531,CA,2023-07-24,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0
185,4.49612762988557,0.432242142184692,CA,2023-07-25,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0
186,3.44934836588225,0.412777571690462,CA,2023-07-26,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0
187,3.09929385426565,0.4147844003639595,CA,2023-07-27,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0
