"","es_score","brier_score","location","target_date","X24B_50_CI","X24C_50_CI","recombinant_50_CI","other_50_CI","X24A_50_CI","X24B_95_CI","X24C_95_CI","recombinant_95_CI","other_95_CI","X24A_95_CI"
"29",NA,NA,"AK",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,"AK",2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,"AK",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,"AK",2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,"AK",2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,"AK",2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,"AK",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,"AK",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,"AK",2024-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,"AK",2024-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,"AK",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,"AK",2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,"AK",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,"AK",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,"AL",2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",0.00656804613518616,0.00290245269127378,"AL",2024-03-18,1,1,1,1,1,1,1,1,1,1
"45",NA,NA,"AL",2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,"AL",2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,"AL",2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,"AL",2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,"AL",2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,"AL",2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,"AL",2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",0.00344229480518096,0.00689750998112499,"AL",2024-03-26,1,1,1,1,1,1,1,1,1,1
"53",NA,NA,"AL",2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,"AL",2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,"AL",2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,"AL",2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,"AL",2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",0.00725920062873621,0.0145913865889823,"AL",2024-04-01,1,1,1,1,1,1,1,1,1,1
"59",NA,NA,"AL",2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,"AL",2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,"AL",2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,"AL",2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,"AL",2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,"AL",2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,"AL",2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,"AL",2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,"AL",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,"AL",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,"AL",2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,"AL",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,"AL",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,"AL",2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,"AL",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,"AL",2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,"AL",2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,"AL",2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,"AL",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"AL",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,"AL",2024-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,"AL",2024-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,"AL",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,"AL",2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,"AL",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,"AL",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,"AR",2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,"AR",2024-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,"AR",2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,"AR",2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",0.00841548237193784,0.00393934303881893,"AR",2024-03-21,1,1,1,1,1,1,1,1,1,1
"90",NA,NA,"AR",2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,"AR",2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"AR",2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,"AR",2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,"AR",2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",0.00387665635702894,0.0077693017695023,"AR",2024-03-27,1,1,1,1,1,1,1,1,1,1
"96",NA,NA,"AR",2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,"AR",2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,"AR",2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,"AR",2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,"AR",2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,"AR",2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,"AR",2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,"AR",2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,"AR",2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,"AR",2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,"AR",2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,"AR",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,"AR",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,"AR",2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,"AR",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,"AR",2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,"AR",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",NA,NA,"AR",2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,"AR",2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,"AR",2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,"AR",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,"AR",2024-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,"AR",2024-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,"AR",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,"AR",2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,"AR",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,"AR",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,"AZ",2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",0.00170542842280582,0.00290245269127378,"AZ",2024-03-18,1,1,1,1,1,1,1,1,1,1
"129",0.0376419401855277,0.00320443748963388,"AZ",2024-03-19,1,1,1,1,1,1,1,1,1,1
"130",1.16285646044953,0.189926345074513,"AZ",2024-03-20,1,1,0,1,0,1,1,0,1,0
"131",0.10513251853257,0.00393934303881893,"AZ",2024-03-21,1,1,1,1,1,1,1,1,1,1
"132",0.0336815490586574,0.00438511612330984,"AZ",2024-03-22,1,1,1,1,1,1,1,1,1,1
"133",0.0218701488281736,0.00489348837149811,"AZ",2024-03-23,1,1,1,1,1,1,1,1,1,1
"134",0.0103524404699143,0.00547392725250038,"AZ",2024-03-24,1,1,1,1,1,1,1,1,1,1
"135",0.0130083015422191,0.00613756045508705,"AZ",2024-03-25,1,1,1,1,1,1,1,1,1,1
"136",0.0134847639619786,0.00689750998112499,"AZ",2024-03-26,1,1,1,1,1,1,1,1,1,1
"137",0.0355244249755546,0.0077693017695023,"AZ",2024-03-27,1,1,1,1,1,1,0,1,1,0
"138",0.0388239508685015,0.00877136829899717,"AZ",2024-03-28,1,1,1,1,1,1,1,1,1,1
"139",0.99233633836824,0.584747983186455,"AZ",2024-03-29,0,1,1,1,0,1,1,1,1,1
"140",2.22744488269424,0.618419764440105,"AZ",2024-03-30,1,1,0,1,0,1,1,0,1,0
"141",NA,NA,"AZ",2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",0.462050853751975,0.200002064859435,"AZ",2024-04-01,1,1,1,1,1,0,0,1,1,0
"143",0.71938596925107,0.210325010595237,"AZ",2024-04-02,1,0,1,1,1,0,0,1,1,0
"144",0.12619343246912,0.0191058717228861,"AZ",2024-04-03,1,1,1,1,1,1,1,1,1,1
"145",0.801629317910238,0.360821622883458,"AZ",2024-04-04,1,0,1,1,1,1,0,1,1,0
"146",0.832651383851443,0.54944661574916,"AZ",2024-04-05,0,1,1,1,1,1,1,1,1,1
"147",0.187134518828643,0.029213136688172,"AZ",2024-04-06,1,1,1,1,1,1,1,1,1,1
"148",0.756591855933466,0.433528656856813,"AZ",2024-04-07,1,0,1,1,1,1,0,1,1,0
"149",0.931118826325854,0.374434827980383,"AZ",2024-04-08,1,1,1,0,1,1,0,1,0,1
"150",0.0256336955730938,0.0457534037297879,"AZ",2024-04-09,1,1,1,1,1,1,1,1,1,1
"151",NA,NA,"AZ",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",NA,NA,"AZ",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",0.132712887837257,0.0730203447523124,"AZ",2024-04-12,1,1,1,1,1,1,1,1,1,1
"154",0.287788062436363,0.0855169872754304,"AZ",2024-04-13,1,1,1,1,1,1,1,1,1,1
"155",NA,NA,"AZ",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",1.13820427377888,0.453234602858819,"AZ",2024-04-15,0,1,1,1,1,1,0,1,1,0
"157",0.700459007446294,0.324037230964292,"AZ",2024-04-16,1,1,1,1,1,0,1,1,1,0
"158",0.883436631310807,0.345792424923091,"AZ",2024-04-17,1,1,1,1,1,0,0,1,1,0
"159",0.105131830023511,0.185196574522118,"AZ",2024-04-18,1,1,1,1,1,0,1,1,1,0
"160",0.121051518952979,0.214078128909325,"AZ",2024-04-19,1,1,1,1,1,1,1,1,1,1
"161",NA,NA,"AZ",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",0.397526273743259,0.481436034433893,"AZ",2024-04-21,1,1,1,1,1,1,0,1,1,0
"163",1.73754597346766,0.551889894240973,"AZ",2024-04-22,1,0,0,1,1,0,0,0,1,0
"164",1.28649775653046,0.360612324810692,"AZ",2024-04-23,1,1,1,1,0,0,1,1,1,0
"165",NA,NA,"AZ",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",0.652047634744935,0.449157072835896,"AZ",2024-04-25,1,1,1,1,1,1,0,1,1,0
"167",NA,NA,"AZ",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",0.313979297089096,0.543943548009626,"AZ",2024-04-27,1,1,1,1,1,1,1,1,1,1
"169",5.42531593050324,0.424982396831248,"CA",2024-03-17,0,1,1,1,0,0,1,1,1,0
"170",2.75094648999844,0.239148766670161,"CA",2024-03-18,1,0,0,1,0,0,0,0,1,0
"171",0.962077150633853,0.149725533906785,"CA",2024-03-19,1,1,1,0,1,0,1,1,0,1
"172",7.04452689252886,0.543123482792963,"CA",2024-03-20,1,0,0,0,0,0,0,0,0,0
"173",1.09678094737604,0.180792578718203,"CA",2024-03-21,1,1,0,1,0,0,1,1,1,0
"174",5.17255157805213,0.464022300734042,"CA",2024-03-22,0,0,0,1,0,0,0,0,1,0
"175",4.8023267679031,0.540178065742547,"CA",2024-03-23,0,1,0,1,0,0,1,0,1,0
"176",0.174642050311239,0.00547392725250038,"CA",2024-03-24,1,1,1,1,1,1,1,1,1,1
"177",3.01522572724378,0.37086984780657,"CA",2024-03-25,0,1,0,1,0,1,1,0,1,0
"178",2.41261917042725,0.319135000737954,"CA",2024-03-26,0,1,1,1,0,0,1,1,0,1
"179",4.43231037744155,0.529635689231097,"CA",2024-03-27,0,1,0,1,0,0,1,0,1,0
"180",4.06981791236363,0.449327001479533,"CA",2024-03-28,0,1,1,0,0,0,1,1,0,0
"181",0.960223351310676,0.214317465001376,"CA",2024-03-29,1,1,1,0,1,1,0,1,0,1
"182",1.41369091930876,0.404181127126458,"CA",2024-03-30,1,1,1,0,0,1,1,1,0,0
"183",0.843439009555652,0.434965294339345,"CA",2024-03-31,0,1,1,1,1,0,1,1,1,0
"184",1.8290263195254,0.381382605111294,"CA",2024-04-01,0,1,0,1,0,0,0,0,1,0
"185",0.949143084237782,0.272581663651308,"CA",2024-04-02,1,1,1,0,1,1,0,1,0,1
"186",3.03294250885009,0.585831613921391,"CA",2024-04-03,0,1,1,0,0,0,0,0,0,0
"187",2.81495552232481,0.687200601087142,"CA",2024-04-04,0,1,1,0,0,0,0,1,0,0
"188",4.92110429559753,0.435094194161869,"CA",2024-04-05,1,1,0,1,0,1,0,0,1,0
"189",0.965389180829887,0.201365508425736,"CA",2024-04-06,1,1,1,0,1,0,1,1,0,1
"190",1.80421124723645,0.340841420735185,"CA",2024-04-07,1,1,1,0,1,0,0,1,0,0
"191",1.38943622408968,0.373785747037578,"CA",2024-04-08,1,1,0,0,1,1,1,0,0,0
"192",0.761847069135475,0.415724278744972,"CA",2024-04-09,1,1,1,1,1,1,0,1,1,0
"193",2.63246015910245,0.685042342706753,"CA",2024-04-10,0,1,1,1,0,0,1,1,1,0
"194",1.78056588589328,0.486207298225028,"CA",2024-04-11,0,1,1,1,0,0,1,1,1,0
"195",1.23780394337466,0.517394976107419,"CA",2024-04-12,0,1,1,1,1,0,1,1,1,0
"196",1.2599934477335,0.30053954293123,"CA",2024-04-13,1,1,1,0,1,1,0,1,0,0
"197",0.584701313549111,0.30468125784037,"CA",2024-04-14,1,1,1,1,1,1,0,1,1,0
"198",1.93880554335634,0.448324997773676,"CA",2024-04-15,0,0,1,0,1,0,0,1,0,0
"199",2.22262897024632,0.368442333169125,"CA",2024-04-16,1,0,0,1,1,0,0,0,1,1
"200",5.1122065640311,0.525906010223809,"CA",2024-04-17,0,0,0,0,1,0,0,0,0,0
"201",3.29787868583602,0.486524304936419,"CA",2024-04-18,0,0,0,1,1,0,0,0,1,0
"202",2.80894164381295,0.443331043496743,"CA",2024-04-19,1,0,0,1,1,0,0,0,1,0
"203",0.141474007295721,0.246180879077605,"CA",2024-04-20,1,1,1,1,1,1,1,1,1,1
"204",2.37400983202448,0.612326643772851,"CA",2024-04-21,0,0,1,0,1,0,0,0,0,0
"205",5.52378975629643,0.78446025418977,"CA",2024-04-22,0,0,0,0,1,0,0,0,0,0
"206",2.07702554476715,0.634059880553913,"CA",2024-04-23,1,0,1,0,1,1,0,1,0,0
"207",6.46462760318952,0.812164693572525,"CA",2024-04-24,0,0,0,1,1,1,0,0,1,0
"208",7.1547082087998,0.74222457375666,"CA",2024-04-25,1,0,1,0,1,1,0,1,0,1
"209",2.70077969299523,0.676203737185483,"CA",2024-04-26,0,0,1,1,1,0,0,1,1,0
"210",6.49080209745631,0.908921563887938,"CA",2024-04-27,0,0,1,0,1,0,1,1,0,0
"211",NA,NA,"CO",2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",0.00172965390128571,0.00290245269127378,"CO",2024-03-18,1,1,1,1,1,1,1,1,1,1
"213",NA,NA,"CO",2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,NA,"CO",2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,"CO",2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,"CO",2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,"CO",2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,"CO",2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",1.33588556231151,1.87906075381908,"CO",2024-03-25,1,1,1,0,0,1,1,1,0,0
"220",NA,NA,"CO",2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,"CO",2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",0.00419631104744758,0.00877136829899717,"CO",2024-03-28,1,1,1,1,1,1,1,1,1,1
"223",NA,NA,"CO",2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,"CO",2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,"CO",2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,NA,"CO",2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",0.0313335952789411,0.0166747540855057,"CO",2024-04-02,1,1,1,1,1,1,1,1,1,1
"228",NA,NA,"CO",2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",1.00645201413997,0.821568726274906,"CO",2024-04-04,0,1,1,1,0,0,1,1,1,0
"230",NA,NA,"CO",2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",0.0150283242372434,0.029213136688172,"CO",2024-04-06,1,1,1,1,1,1,1,1,1,1
"232",NA,NA,"CO",2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,NA,"CO",2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,NA,"CO",2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,NA,"CO",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,"CO",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,"CO",2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,NA,"CO",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,"CO",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",0.750969518568542,0.705266498351997,"CO",2024-04-15,0,1,1,1,1,0,0,1,1,1
"241",NA,NA,"CO",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",0.560115359219078,0.650353024577747,"CO",2024-04-17,1,1,1,1,1,1,0,1,1,0
"243",NA,NA,"CO",2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",NA,NA,"CO",2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",NA,NA,"CO",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,NA,"CO",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",0.187090498115549,0.319668225959129,"CO",2024-04-22,1,1,1,1,1,0,1,1,1,0
"248",0.214649999050243,0.360612324810692,"CO",2024-04-23,1,1,1,1,1,1,1,1,1,1
"249",NA,NA,"CO",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",NA,NA,"CO",2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,"CO",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,NA,"CO",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,NA,"CT",2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",NA,NA,"CT",2024-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",NA,NA,"CT",2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",NA,NA,"CT",2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",0.00224997135585209,0.00393934303881893,"CT",2024-03-21,1,1,1,1,1,1,1,1,1,1
"258",0.00267202925006532,0.00438511612330984,"CT",2024-03-22,1,1,1,1,1,1,1,1,1,1
"259",0.00251551823538634,0.00489348837149811,"CT",2024-03-23,1,1,1,1,1,1,1,1,1,1
"260",0.00308951923322856,0.00547392725250038,"CT",2024-03-24,1,1,1,1,1,1,1,1,1,1
"261",NA,NA,"CT",2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",0.0144095659820443,0.00689750998112499,"CT",2024-03-26,1,1,1,1,1,1,1,1,1,1
"263",NA,NA,"CT",2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",NA,NA,"CT",2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",NA,NA,"CT",2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",NA,NA,"CT",2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",NA,NA,"CT",2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",NA,NA,"CT",2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",NA,NA,"CT",2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",NA,NA,"CT",2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",NA,NA,"CT",2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",NA,NA,"CT",2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",NA,NA,"CT",2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
