"","es_score","brier_score","location","target_date","X24B_50_CI","X24D_50_CI","recombinant_50_CI","other_50_CI","X24A_50_CI","X24B_95_CI","X24D_95_CI","recombinant_95_CI","other_95_CI","X24A_95_CI"
"42",NA,NA,"AK",2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,"AL",2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,"AL",2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,"AL",2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,"AL",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,"AL",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,"AL",2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,"AL",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,"AL",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,"AL",2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,"AL",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,"AL",2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,"AL",2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,"AL",2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,"AL",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,"AL",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,"AL",2024-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,"AL",2024-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,"AL",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,"AL",2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,"AL",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,"AL",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,"AL",2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,"AL",2024-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,"AL",2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,"AL",2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,"AL",2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,"AL",2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,"AL",2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,"AL",2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1.9920741723857,1.10128027425003,"AL",2024-05-06,1,1,1,0,1,0,1,1,0,1
"73",NA,NA,"AL",2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,"AL",2024-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,"AL",2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,"AL",2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,"AL",2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"AL",2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,"AL",2024-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,"AL",2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,"AL",2024-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,"AL",2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,"AL",2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,"AL",2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,"AR",2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,"AR",2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,"AR",2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,"AR",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,"AR",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,"AR",2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,"AR",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"AR",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,"AR",2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,"AR",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,"AR",2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,"AR",2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,"AR",2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,"AR",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,"AR",2024-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,"AR",2024-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,"AR",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,"AR",2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,"AR",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,"AR",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,"AR",2024-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,"AR",2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,"AR",2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,"AR",2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,"AR",2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,"AR",2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,"AR",2024-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,"AR",2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",0.214599822766825,0.326926999809546,"AR",2024-05-08,1,1,1,1,1,1,0,1,1,0
"117",NA,NA,"AR",2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,"AR",2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,"AR",2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,"AR",2024-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,"AR",2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,"AR",2024-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,"AR",2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,"AR",2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,"AR",2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1.02477332601977,0.464372539051373,"AZ",2024-04-07,1,1,1,0,1,1,1,1,0,0
"128",0.983704774940526,0.376713483423623,"AZ",2024-04-08,1,1,1,0,1,1,1,0,0,1
"129",0.0179987949729089,0.0294417387225442,"AZ",2024-04-09,1,1,1,1,1,1,1,0,1,0
"130",NA,NA,"AZ",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,"AZ",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",0.0836237303137988,0.0387156824206535,"AZ",2024-04-12,1,1,1,1,1,1,1,0,1,0
"133",0.18178597897398,0.0424043965692767,"AZ",2024-04-13,1,1,1,1,1,1,1,1,1,1
"134",NA,NA,"AZ",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",0.87389560159406,0.440818396885244,"AZ",2024-04-15,1,1,1,1,1,0,1,1,1,0
"136",0.288388197773172,0.278191808202292,"AZ",2024-04-16,1,1,1,1,1,0,1,1,1,0
"137",0.963701606703104,0.327947215754564,"AZ",2024-04-17,1,1,1,0,1,0,1,1,0,0
"138",0.0446163589427115,0.0664999006913434,"AZ",2024-04-18,1,1,1,1,1,1,1,1,1,1
"139",0.0505458452781921,0.0726553095414145,"AZ",2024-04-19,1,1,1,1,1,1,1,1,1,1
"140",NA,NA,"AZ",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",0.999535901393492,0.608790528014541,"AZ",2024-04-21,1,1,1,0,1,1,1,1,0,0
"142",0.858271247350344,0.425862277579099,"AZ",2024-04-22,1,1,0,1,1,1,1,0,1,0
"143",0.600267551836519,0.102819004463815,"AZ",2024-04-23,1,1,1,1,1,1,1,1,1,1
"144",NA,NA,"AZ",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",0.25464897089333,0.12171786893216,"AZ",2024-04-25,1,1,1,1,1,1,1,1,1,1
"146",NA,NA,"AZ",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",1.0170177406476,0.867122195106131,"AZ",2024-04-27,1,1,1,0,1,1,1,1,0,0
"148",0.557402350090829,0.155640291290518,"AZ",2024-04-28,1,1,1,1,1,0,1,1,1,0
"149",0.969435474640593,0.616982858038741,"AZ",2024-04-29,1,1,1,0,1,0,1,1,0,0
"150",1.99241946699723,0.733834735664501,"AZ",2024-04-30,0,1,1,0,1,0,1,1,0,1
"151",0.375804555050205,0.19706913518458,"AZ",2024-05-01,1,1,1,1,1,1,0,1,1,0
"152",0.40874278981174,0.212690150571326,"AZ",2024-05-02,1,1,1,1,1,0,1,1,1,0
"153",0.744319521829086,0.229260154547504,"AZ",2024-05-03,1,1,1,1,1,0,1,1,1,0
"154",NA,NA,"AZ",2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",NA,NA,"AZ",2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",1.69832394138436,0.284853872732626,"AZ",2024-05-06,0,1,1,1,0,0,0,1,1,0
"157",1.35108582681084,0.305386783181016,"AZ",2024-05-07,0,1,1,1,0,0,1,1,1,0
"158",2.35837219578401,0.369607343469725,"AZ",2024-05-08,0,1,1,1,0,0,1,1,1,0
"159",0.26783603161148,0.459289954372708,"AZ",2024-05-09,1,1,1,1,1,1,0,1,1,0
"160",1.3185043733047,0.69510340842706,"AZ",2024-05-10,1,1,1,0,0,0,0,1,0,0
"161",1.17922665926919,1.04659524657267,"AZ",2024-05-11,1,1,1,0,0,1,0,1,0,1
"162",0.281044327676861,0.422924284834952,"AZ",2024-05-12,1,1,1,1,1,1,0,1,1,0
"163",2.41764995441825,1.04895921952337,"AZ",2024-05-13,0,0,1,0,1,0,0,1,0,0
"164",1.27188798715961,0.804701587374739,"AZ",2024-05-14,0,1,1,0,1,0,0,1,0,0
"165",1.30455036679877,0.82174934509155,"AZ",2024-05-15,0,1,1,0,1,0,0,1,0,0
"166",1.0076692076312,1.45191855709894,"AZ",2024-05-16,1,1,1,0,1,1,1,1,0,0
"167",0.349607352785844,0.449295636996619,"AZ",2024-05-17,1,1,1,1,1,0,0,1,1,1
"168",0.393030723649196,0.592125026777693,"AZ",2024-05-18,1,1,1,1,1,1,0,1,1,0
"169",1.87344214255922,0.342028079858422,"CA",2024-04-07,1,1,1,0,1,1,1,1,0,0
"170",1.43520723601178,0.373713389538107,"CA",2024-04-08,1,0,0,1,1,0,0,0,1,0
"171",1.12922089525788,0.436564004681285,"CA",2024-04-09,1,1,1,0,1,1,1,0,0,1
"172",2.9175879652119,0.722702135953413,"CA",2024-04-10,0,1,1,0,0,0,1,1,0,0
"173",2.15008366447744,0.506918426952859,"CA",2024-04-11,0,1,1,0,0,0,1,1,0,0
"174",1.66354970383896,0.549453270324768,"CA",2024-04-12,1,1,1,0,0,0,1,1,0,1
"175",0.958454850019349,0.281721152683342,"CA",2024-04-13,1,1,1,0,1,1,1,1,0,0
"176",0.304568407318357,0.278653035714563,"CA",2024-04-14,1,1,1,1,1,0,1,1,1,0
"177",1.47709320356792,0.434696556514226,"CA",2024-04-15,1,0,1,1,0,1,0,0,1,1
"178",1.89970454824808,0.325291210482917,"CA",2024-04-16,0,1,0,1,1,0,1,0,1,0
"179",5.15617667596521,0.4803206046678,"CA",2024-04-17,0,0,0,1,0,0,0,0,1,0
"180",1.87994372704209,0.442238765393581,"CA",2024-04-18,1,1,0,1,0,1,1,0,1,0
"181",1.74472307088215,0.364807995820872,"CA",2024-04-19,1,1,0,1,1,0,1,0,1,0
"182",0.0483209479354825,0.0793305492010558,"CA",2024-04-20,1,1,1,1,1,1,1,1,1,1
"183",1.43133207626417,0.509540383344643,"CA",2024-04-21,1,1,1,0,0,1,1,1,0,0
"184",5.26775213997847,0.760178799676008,"CA",2024-04-22,1,0,0,0,0,0,0,0,0,0
"185",1.49995054373704,0.539975217033328,"CA",2024-04-23,1,0,1,0,1,0,0,1,0,0
"186",6.39927251858829,0.787724672773047,"CA",2024-04-24,1,1,0,0,0,1,1,0,0,0
"187",3.78171040240289,0.581725820211189,"CA",2024-04-25,1,0,1,0,0,0,0,0,0,0
"188",0.755016573194607,0.456517075604709,"CA",2024-04-26,1,1,1,1,1,1,0,1,1,0
"189",6.66711572529423,0.882967651040312,"CA",2024-04-27,1,0,1,0,0,1,0,1,0,0
"190",6.14247613977033,1.09341887093849,"CA",2024-04-28,1,0,1,0,0,0,0,1,0,0
"191",1.04911990363798,0.445452926250616,"CA",2024-04-29,1,1,0,1,1,0,1,0,1,0
"192",3.24772576959296,0.658868586347665,"CA",2024-04-30,1,0,0,0,0,0,1,0,0,0
"193",1.77854059568376,0.662015039071749,"CA",2024-05-01,1,0,1,1,1,0,0,1,1,0
"194",2.14216998496252,0.568851413591439,"CA",2024-05-02,1,0,1,0,1,0,0,1,0,0
"195",3.51018663892385,0.488554614137388,"CA",2024-05-03,0,0,1,0,1,0,0,1,0,0
"196",1.70670122232562,0.459876172721662,"CA",2024-05-04,0,1,1,0,1,0,1,1,0,0
"197",1.54280679535947,0.333351155737382,"CA",2024-05-05,0,1,1,1,0,0,0,1,1,0
"198",3.48876604341753,0.528431839393383,"CA",2024-05-06,0,0,1,0,1,0,0,1,0,0
"199",12.2408008893821,0.921911184087864,"CA",2024-05-07,0,1,1,0,0,0,0,0,0,0
"200",2.94171734125552,0.583110231291111,"CA",2024-05-08,0,0,1,0,1,0,0,0,0,0
"201",6.92837304909214,0.670766220513445,"CA",2024-05-09,0,1,1,0,1,0,0,1,0,0
"202",2.29826515249002,0.663411531403834,"CA",2024-05-10,1,1,0,0,0,0,0,1,0,0
"203",6.3407257204033,0.894933162164326,"CA",2024-05-11,0,1,0,0,0,1,0,0,0,0
"204",7.10472416585916,0.834550885945488,"CA",2024-05-12,1,1,1,0,0,0,0,1,0,0
"205",5.78790667792392,0.935464004727459,"CA",2024-05-13,0,1,0,0,1,0,0,0,0,0
"206",14.4082657207426,0.965809696061608,"CA",2024-05-14,0,1,1,0,1,0,0,0,0,1
"207",5.04437125217241,0.716790894409101,"CA",2024-05-15,1,1,0,0,1,1,0,0,0,0
"208",6.71437559364117,0.677267162953064,"CA",2024-05-16,0,1,1,0,0,0,0,1,0,0
"209",5.12235620172977,0.656522589762262,"CA",2024-05-17,0,1,0,0,0,0,0,0,0,0
"210",4.65923822396254,0.686675533142186,"CA",2024-05-18,0,1,1,0,0,0,0,1,0,0
"211",NA,NA,"CO",2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,NA,"CO",2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,NA,"CO",2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,NA,"CO",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,"CO",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,"CO",2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,"CO",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,"CO",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",0.720278184067222,0.733311280991973,"CO",2024-04-15,1,1,1,1,1,1,1,1,1,1
"220",NA,NA,"CO",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",1.07642487310064,0.877600519478691,"CO",2024-04-17,1,1,1,0,1,1,1,1,0,0
"222",NA,NA,"CO",2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,"CO",2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,"CO",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,"CO",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",0.0617599507097838,0.094377295592816,"CO",2024-04-22,1,1,1,1,1,1,1,1,1,1
"227",0.0626253362719983,0.102819004463815,"CO",2024-04-23,1,1,1,1,1,1,1,1,1,1
"228",NA,NA,"CO",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,"CO",2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,NA,"CO",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,"CO",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,NA,"CO",2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",0.114038688473001,0.168572923490189,"CO",2024-04-29,1,1,1,1,1,1,1,1,1,1
"234",NA,NA,"CO",2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,NA,"CO",2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,"CO",2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,"CO",2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,NA,"CO",2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,"CO",2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",0.57029721769411,0.77643136477031,"CO",2024-05-06,1,1,1,1,1,0,1,1,1,0
"241",NA,NA,"CO",2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",NA,NA,"CO",2024-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",NA,NA,"CO",2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",0.249030464141829,0.372998172745128,"CO",2024-05-10,1,1,1,1,1,1,0,1,1,0
"245",NA,NA,"CO",2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,NA,"CO",2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",0.295152069624267,0.44924894530573,"CO",2024-05-13,1,1,1,1,1,0,1,1,1,0
"248",NA,NA,"CO",2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",0.334967159433482,0.50436527319108,"CO",2024-05-15,1,1,1,1,1,0,1,1,1,0
"250",NA,NA,"CO",2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,"CO",2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,NA,"CO",2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,NA,"CT",2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",NA,NA,"CT",2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",NA,NA,"CT",2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",0.0208642179203966,0.0322575919360333,"CT",2024-04-10,1,1,1,1,1,1,1,1,1,1
"257",0.0214387138957331,0.0353413936236799,"CT",2024-04-11,1,1,1,1,1,1,1,1,1,1
"258",0.0265039884633481,0.0387156824206535,"CT",2024-04-12,1,1,1,1,1,1,1,1,1,1
"259",NA,NA,"CT",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",NA,NA,"CT",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",NA,NA,"CT",2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",NA,NA,"CT",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",NA,NA,"CT",2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",0.0400541484203513,0.0664999006913434,"CT",2024-04-18,1,1,1,1,1,1,1,1,1,1
"265",0.04655647610075,0.0726553095414145,"CT",2024-04-19,1,1,1,1,1,1,1,1,1,1
"266",NA,NA,"CT",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",NA,NA,"CT",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",0.380167884814625,0.4719843279539,"CT",2024-04-22,1,1,1,1,1,1,1,1,1,1
"269",0.863463632643378,1.1975135418955,"CT",2024-04-23,0,1,1,1,0,0,1,1,1,0
"270",NA,NA,"CT",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",1.1297800716961,1.60805124293553,"CT",2024-04-25,1,0,1,1,0,1,0,1,1,0
"272",NA,NA,"CT",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",NA,NA,"CT",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",NA,NA,"CT",2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
