...1,es_score,brier_score,location,target_date,X24B_50_CI,X24C_50_CI,recombinant_50_CI,other_50_CI,X24A_50_CI,X24B_95_CI,X24C_95_CI,recombinant_95_CI,other_95_CI,X24A_95_CI
100,NA,NA,AR,2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,0.00722786165579725,0.0044915803203069,AR,2024-03-27,1,1,1,1,1,1,1,1,1,1
103,NA,NA,AR,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.27637348478608,0.323686702289654,AZ,2024-03-10,1,1,0,1,0,1,1,0,1,0
128,0.0155250037792943,4.9932890584188e-4,AZ,2024-03-11,1,1,1,1,1,1,1,1,1,1
129,1.21481864109414,0.3189712598001835,AZ,2024-03-12,0,1,1,1,0,0,1,1,1,0
130,0.0778745237269651,5.8127757387092e-4,AZ,2024-03-13,1,1,1,1,1,1,1,1,1,1
131,0.0179043960234511,6.32905442065495e-4,AZ,2024-03-14,1,1,1,1,1,1,1,1,1,1
132,NA,NA,AZ,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,NA,NA,AZ,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,NA,NA,AZ,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,0.0020797000425697,9.49911950245285e-4,AZ,2024-03-18,1,1,1,1,1,1,1,1,1,1
136,0.0473633808436992,0.00107158764302431,AZ,2024-03-19,1,1,1,1,1,1,1,1,1,1
137,1.12650658316822,0.095629571394326,AZ,2024-03-20,1,1,0,1,0,0,1,0,1,0
138,0.128157669809037,0.00140435735700182,AZ,2024-03-21,1,1,1,1,1,1,1,1,1,1
139,0.0450177524970419,0.0016361645159284,AZ,2024-03-22,1,1,1,1,1,1,1,1,1,1
140,0.0304513576430765,0.00193311288207698,AZ,2024-03-23,1,1,1,1,1,0,1,1,1,0
141,0.0159570433670269,0.00232057421658321,AZ,2024-03-24,1,1,1,1,1,1,1,1,1,1
142,0.0199794495060018,0.002835644376147065,AZ,2024-03-25,1,1,1,1,1,1,1,1,1,1
143,0.0205436870991775,0.00353273990565562,AZ,2024-03-26,1,1,1,1,1,1,1,1,1,1
144,0.046994484478434,0.0044915803203069,AZ,2024-03-27,1,1,1,1,1,1,1,1,1,1
145,0.0620209261789702,0.0058281347288015,AZ,2024-03-28,1,1,1,1,1,1,1,1,1,1
146,0.890486563971839,0.2927238162415445,AZ,2024-03-29,0,1,1,1,1,0,0,1,1,1
147,2.07597605725653,0.3034849554147865,AZ,2024-03-30,1,1,0,1,0,1,0,0,1,0
148,NA,NA,AZ,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,0.488635579360449,0.1076745579221425,AZ,2024-04-01,1,1,1,1,1,0,0,1,1,1
150,0.603777366574518,0.1027565608370685,AZ,2024-04-02,1,1,1,1,1,1,1,1,1,1
151,0.292053164256478,0.0364575654210828,AZ,2024-04-03,1,1,1,1,1,0,1,1,1,0
152,0.523289227632943,0.1622774389627055,AZ,2024-04-04,1,1,1,1,1,1,1,1,1,1
153,0.698125146666131,0.289339758441409,AZ,2024-04-05,0,1,1,1,1,1,1,1,1,1
154,0.499488666142815,0.086758765784689,AZ,2024-04-06,1,1,1,1,1,1,0,1,1,0
155,0.481111673496474,0.1960730590754655,AZ,2024-04-07,1,1,1,1,1,0,1,1,1,0
156,1.0527580925721,0.2613040189848985,AZ,2024-04-08,1,1,1,0,1,1,0,1,0,0
157,0.121326159230086,0.174874136432764,AZ,2024-04-09,1,1,1,1,1,1,0,1,1,0
158,NA,NA,AZ,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,NA,NA,AZ,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,0.487148248183712,0.299863619763347,AZ,2024-04-12,1,1,1,1,1,1,0,1,1,0
161,0.897494422109293,0.3481076463835695,AZ,2024-04-13,1,1,1,1,1,1,0,1,1,0
162,NA,NA,AZ,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,2.1005355218758,0.528488975184935,AZ,2024-04-15,0,0,1,1,1,0,0,1,1,0
164,2.00113997496152,0.542425184458535,AZ,2024-04-16,1,0,1,1,0,0,0,1,1,0
165,3.36412066681124,0.52856860383825,AZ,2024-04-17,1,0,1,1,0,0,0,1,1,0
166,0.410478640045019,0.60380470980729,AZ,2024-04-18,1,1,1,1,1,1,0,1,1,0
167,0.444912307842378,0.65115359389651,AZ,2024-04-19,1,1,1,1,1,1,0,1,1,0
168,NA,NA,AZ,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,1.81717324362022,0.1069930516997055,CA,2024-03-10,0,1,1,1,0,0,1,1,1,0
170,3.89861121533124,0.2979878859518605,CA,2024-03-11,0,1,0,0,0,0,1,0,0,0
171,2.12397316473461,0.1033561290177165,CA,2024-03-12,0,1,0,1,0,0,1,1,1,0
172,5.34360498458495,0.1404375753246715,CA,2024-03-13,0,1,0,1,0,0,0,0,1,0
173,2.81333150301363,0.1067423373702585,CA,2024-03-14,0,1,0,1,0,0,0,0,0,0
174,0.856394534496762,0.0328706057261493,CA,2024-03-15,1,1,0,1,1,0,1,0,1,1
175,1.5802474734644,0.147694367224718,CA,2024-03-16,1,1,0,1,0,0,1,0,1,0
176,2.7533954147039,0.149775880476047,CA,2024-03-17,0,1,1,1,0,0,0,1,1,0
177,2.49120911404142,0.121004712440001,CA,2024-03-18,1,0,0,1,0,1,0,0,1,0
178,0.997558541483356,0.088390065783493,CA,2024-03-19,1,1,1,0,1,0,1,1,0,1
179,1.24241407764698,0.112290045738827,CA,2024-03-20,1,1,0,1,0,1,1,0,1,0
180,1.45008815420809,0.158125346193995,CA,2024-03-21,1,1,0,1,0,0,1,0,1,0
181,2.03375433153474,0.1775078483326065,CA,2024-03-22,1,0,0,1,0,0,0,0,1,0
182,0.938991562512136,0.0964546969216705,CA,2024-03-23,1,1,0,1,1,1,1,0,1,0
183,0.227909535140609,0.00232057421658321,CA,2024-03-24,1,1,1,1,1,0,1,1,1,0
184,1.95992053949331,0.1585318907012445,CA,2024-03-25,1,1,0,1,0,1,0,0,1,0
185,0.403680789498852,0.0722149077302515,CA,2024-03-26,1,1,1,1,1,1,0,1,1,0
186,1.16927323153948,0.1545197050817295,CA,2024-03-27,1,1,0,1,0,0,1,0,1,1
187,0.958047188820465,0.1357722143863425,CA,2024-03-28,1,1,1,0,1,1,1,1,0,0
188,0.232866098454367,0.00770874486726975,CA,2024-03-29,1,1,1,1,1,1,1,1,1,1
189,0.209250982510302,0.0103666445012451,CA,2024-03-30,1,1,1,1,1,1,0,1,1,0
190,0.973066253277422,0.4230468493915175,CA,2024-03-31,0,1,1,1,0,0,1,1,1,0
191,1.01069494509017,0.1555527103011915,CA,2024-04-01,1,1,0,1,1,1,0,0,1,1
192,0.453900534049566,0.0266317399843634,CA,2024-04-02,1,1,1,1,1,1,1,1,1,1
193,0.651853140895006,0.0364575654210828,CA,2024-04-03,1,1,1,1,1,0,1,1,1,0
194,2.36046625413261,0.3907495538152535,CA,2024-04-04,0,1,1,0,0,0,0,1,0,0
195,1.88871628636366,0.2281074363138445,CA,2024-04-05,1,1,0,1,1,1,0,0,1,0
196,0.656827270376256,0.086758765784689,CA,2024-04-06,1,1,1,1,1,0,1,1,1,0
197,0.39038029615049,0.1117612900107625,CA,2024-04-07,1,1,1,1,1,1,0,1,1,0
198,1.31432525636186,0.141150562928747,CA,2024-04-08,1,1,1,1,0,1,0,1,1,0
199,0.72286626780585606,0.3023840443094005,CA,2024-04-09,1,1,1,1,1,0,1,1,1,0
200,0.707382649577664,0.3227303575583385,CA,2024-04-10,1,1,1,1,1,0,1,1,1,0
201,2.0389888287225,0.4141149087923935,CA,2024-04-11,0,1,1,1,1,0,0,1,1,0
202,0.835038037035023,0.3489417431288815,CA,2024-04-12,1,1,1,1,1,0,1,1,1,0
203,1.21499958848141,0.417611850792067,CA,2024-04-13,1,1,1,1,1,0,0,1,1,0
204,0.882540797826126,0.501754478485845,CA,2024-04-14,0,1,1,1,1,0,0,1,1,0
205,2.81370687967046,0.54150949741243,CA,2024-04-15,0,0,1,1,1,0,0,1,1,0
206,3.50566644854491,0.502507754535045,CA,2024-04-16,1,0,1,1,0,1,0,1,1,0
207,6.83813945221856,0.624441102239755,CA,2024-04-17,1,0,0,0,1,1,0,0,0,0
208,3.45110388723772,0.68670686896598,CA,2024-04-18,0,0,0,1,1,0,0,0,1,0
209,1.52811600482169,0.65115359389651,CA,2024-04-19,1,1,1,1,0,1,0,1,1,0
210,0.492158354537654,0.695361457423525,CA,2024-04-20,1,1,1,1,1,1,0,1,1,0
211,NA,NA,CO,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,NA,NA,CO,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,0.00469910128447153,5.37120032491365e-4,CO,2024-03-12,1,1,1,1,1,1,1,1,1,1
214,0.00112766561309612,5.8127757387092e-4,CO,2024-03-13,1,1,1,1,1,1,1,1,1,1
215,NA,NA,CO,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,0.00151493385562691,6.93421377247515e-4,CO,2024-03-15,1,1,1,1,1,1,1,1,1,1
217,NA,NA,CO,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,0.00168704364633793,9.49911950245285e-4,CO,2024-03-18,1,1,1,1,1,1,1,1,1,1
220,NA,NA,CO,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,NA,NA,CO,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,NA,NA,CO,2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,NA,NA,CO,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,NA,NA,CO,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,1.3158732948829,0.939163486831655,CO,2024-03-25,1,1,1,0,0,1,1,1,0,0
227,NA,NA,CO,2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,NA,NA,CO,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,0.00930118358614206,0.0058281347288015,CO,2024-03-28,1,1,1,1,1,1,1,1,1,1
230,NA,NA,CO,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,NA,NA,CO,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,NA,NA,CO,2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,0.0803908112953299,0.0266317399843634,CO,2024-04-02,1,1,1,1,1,1,1,1,1,1
235,NA,NA,CO,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,0.864358120843174,0.4022045766239705,CO,2024-04-04,0,1,1,1,1,0,1,1,1,0
237,NA,NA,CO,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,0.0562252279360022,0.086758765784689,CO,2024-04-06,1,1,1,1,1,1,0,1,1,0
239,NA,NA,CO,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,NA,NA,CO,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,NA,NA,CO,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,NA,NA,CO,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,NA,NA,CO,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,NA,NA,CO,2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,NA,NA,CO,2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,CO,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,0.804543538124226,0.58708132520867,CO,2024-04-15,0,1,1,1,1,0,0,1,1,0
248,NA,NA,CO,2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,0.351887035404281,0.3101999620584025,CO,2024-04-17,1,1,1,1,1,1,0,1,1,0
250,NA,NA,CO,2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,NA,NA,CO,2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,NA,NA,CO,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,NA,NA,CT,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,NA,NA,CT,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,NA,NA,CT,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,0.00123493371196452,5.8127757387092e-4,CT,2024-03-13,1,1,1,1,1,1,1,1,1,1
257,NA,NA,CT,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,0.00149053867163512,6.93421377247515e-4,CT,2024-03-15,1,1,1,1,1,1,1,1,1,1
259,NA,NA,CT,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,NA,NA,CT,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,NA,NA,CT,2024-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,NA,NA,CT,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,NA,NA,CT,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,0.00251462728144607,0.00140435735700182,CT,2024-03-21,1,1,1,1,1,1,1,1,1,1
265,0.00329712578404581,0.0016361645159284,CT,2024-03-22,1,1,1,1,1,1,1,1,1,1
266,0.00426536709567014,0.00193311288207698,CT,2024-03-23,1,1,1,1,1,0,1,1,1,0
267,0.0041267741671081,0.00232057421658321,CT,2024-03-24,1,1,1,1,1,1,1,1,1,1
268,NA,NA,CT,2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,0.0216595169424195,0.00353273990565562,CT,2024-03-26,1,1,1,1,1,1,1,1,1,1
270,NA,NA,CT,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,NA,NA,CT,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,NA,NA,CT,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,NA,NA,CT,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,NA,NA,CT,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,NA,NA,CT,2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,NA,NA,CT,2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,NA,NA,CT,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,NA,NA,CT,2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,NA,NA,CT,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,NA,NA,CT,2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,NA,NA,CT,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,NA,NA,CT,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,NA,NA,CT,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
