...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,other_50_CI,X23A_50_CI,X22E_95_CI,X22F_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,other_95_CI,X23A_95_CI
21,0.382077059922053,0.2654271454626855,AK,2023-07-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0.367511537035015,0.2619509711410585,AK,2023-07-02,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
23,0.722338398663604,0.51179214777111,AK,2023-07-03,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
24,NA,NA,AK,2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,AK,2023-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2023-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2023-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.676652229498119,0.4794430150180505,AK,2023-07-16,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
37,NA,NA,AK,2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2023-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2023-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2023-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,AL,2023-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2023-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,0.45440412756073,0.3271285688704925,AL,2023-06-21,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
54,NA,NA,AL,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2023-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.861973574883771,0.610549040489925,AL,2023-06-26,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
59,0.686905178864149,0.4910909284036805,AL,2023-06-27,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
60,0.393663697488471,0.2771223502577715,AL,2023-06-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,NA,NA,AL,2023-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,0.575871863827541,0.414815726958878,AL,2023-07-02,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
65,NA,NA,AL,2023-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1.25038125300038,0.50837366963537,AL,2023-07-05,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
68,0.607756100552131,0.427607722321872,AL,2023-07-06,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
69,0.343932142166399,0.2477792557519455,AL,2023-07-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,NA,NA,AL,2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,0.687823993400867,0.479320290381281,AL,2023-07-09,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
72,NA,NA,AL,2023-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.683183661711273,0.483640525659952,AL,2023-07-12,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
75,0.338216668754451,0.2379481611594135,AL,2023-07-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,0.680444089617831,0.478912529042487,AL,2023-07-14,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
77,NA,NA,AL,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,0.716568280011778,0.50727061851069,AL,2023-07-16,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
79,0.674142792386373,0.479857317046272,AL,2023-07-17,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
80,NA,NA,AL,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.342452040377883,0.2361419513741565,AL,2023-07-19,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
82,NA,NA,AL,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,0.337842029410458,0.2383220847955895,AL,2023-07-22,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
85,NA,NA,AR,2023-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,0.867207483081514,0.2535389131790625,AR,2023-06-12,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
87,0.523726458019488,0.3626010651975505,AR,2023-06-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,0.499026892893838,0.355613307906481,AR,2023-06-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,NA,NA,AR,2023-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,0.491160386536995,0.3421435276539315,AR,2023-06-16,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
91,NA,NA,AR,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.435252013100283,0.3106150385508475,AR,2023-06-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,NA,NA,AR,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2023-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,0.476790110022701,0.335368086360147,AR,2023-06-22,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
97,0.48557827349952,0.343582470353553,AR,2023-06-23,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
98,NA,NA,AR,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3.2567281927389,0.3679755700851215,AR,2023-06-26,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0
101,0.387100388910244,0.281439216538624,AR,2023-06-27,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
102,NA,NA,AR,2023-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2023-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2023-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2023-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2023-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2023-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1.42330440500454,0.4497838756009025,AR,2023-07-10,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0
115,NA,NA,AR,2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,0.689094749123973,0.4897619087627105,AR,2023-07-13,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
118,NA,NA,AR,2023-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.717200532471374,0.51282649404204,AR,2023-07-17,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
122,NA,NA,AR,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,1.16455309395124,0.562041310901165,AR,2023-07-19,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0
124,NA,NA,AR,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0.331711993446306,0.2373640806465435,AR,2023-07-21,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
126,NA,NA,AR,2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.18260510155673,0.286184456821744,AZ,2023-06-11,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0
128,1.37732487498144,0.3548584423979705,AZ,2023-06-12,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
129,1.56392490531895,0.4234496991165835,AZ,2023-06-13,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0
130,2.47467829692943,0.3040130107800875,AZ,2023-06-14,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0
131,1.19554065338474,0.571233273832825,AZ,2023-06-15,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0
132,1.99489844895382,0.3139726295591485,AZ,2023-06-16,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
133,0.460562132098195,0.314897837036345,AZ,2023-06-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
134,4.56049952365668,0.3737530678848635,AZ,2023-06-18,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0
135,4.20865361709136,0.411233225589222,AZ,2023-06-19,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0
136,1.7593903379729,0.403893991300061,AZ,2023-06-20,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1
137,2.78076457579326,0.388087900796792,AZ,2023-06-21,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0
138,2.30573033150841,0.42401195185699603,AZ,2023-06-22,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0
139,0.486712034379836,0.343582470353553,AZ,2023-06-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,0.83794915773162,0.359933250786837,AZ,2023-06-24,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
141,1.01281227867123,0.3466567943718375,AZ,2023-06-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,3.92732310679938,0.386525652400755,AZ,2023-06-26,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0
143,7.53810523563384,0.4198348871055485,AZ,2023-06-27,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0
144,3.24380735055624,0.3996306446479925,AZ,2023-06-28,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0
145,2.74039162070828,0.38672227336352,AZ,2023-06-29,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0
146,1.02656181883948,0.364794087013958,AZ,2023-06-30,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1
147,1.87830061788402,0.4105605829708275,AZ,2023-07-01,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0
148,2.31443432290384,0.3627169311964745,AZ,2023-07-02,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0
149,6.93067655606971,0.405522942040984,AZ,2023-07-03,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0
150,4.67466864569611,0.4286100168144295,AZ,2023-07-04,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
151,1.23854493187371,0.3829315377886625,AZ,2023-07-05,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0
152,1.32137774093549,0.4389617353878425,AZ,2023-07-06,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
153,0.627433171066582,0.450899552213189,AZ,2023-07-07,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
154,1.48653943980122,0.3644832273548625,AZ,2023-07-08,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
155,2.15314894076263,0.3615619186449005,AZ,2023-07-09,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1
156,3.93501312038404,0.406008915869168,AZ,2023-07-10,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0
157,5.73802913453698,0.42900010134699,AZ,2023-07-11,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0
158,5.90920280685531,0.4405125660083925,AZ,2023-07-12,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0
159,5.37218660348058,0.469111705757047,AZ,2023-07-13,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0
160,1.47271482671707,0.423189825067608,AZ,2023-07-14,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0
161,2.08354685089512,0.438350311582997,AZ,2023-07-15,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0
162,3.97260315339968,0.4107955553403065,AZ,2023-07-16,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0
163,8.95231692732698,0.4490209425993765,AZ,2023-07-17,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0
164,4.00863545402364,0.4307626711711085,AZ,2023-07-18,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0
165,4.82413060965913,0.440291360373294,AZ,2023-07-19,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0
166,1.07701695343307,0.388846710812818,AZ,2023-07-20,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
167,1.21965800375903,0.298654829265934,AZ,2023-07-21,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
168,2.15433560450178,0.451838656329536,AZ,2023-07-22,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0
169,0.862499192065574,0.3491566665876085,CA,2023-06-11,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
170,1.57858658599513,0.369966040177443,CA,2023-06-12,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1
171,1.93151678508958,0.3321868318871685,CA,2023-06-13,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0
172,2.68451924250076,0.3926598527828335,CA,2023-06-14,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0
173,1.52152312179976,0.359614551112811,CA,2023-06-15,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
174,1.80332233202336,0.3985045904929875,CA,2023-06-16,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
175,1.30252564654587,0.479218423830981,CA,2023-06-17,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0
176,0.59513181202473,0.4226289789717525,CA,2023-06-18,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
177,2.41385222650146,0.374662792831465,CA,2023-06-19,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0
178,2.59366112782908,0.3865449479111025,CA,2023-06-20,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0
179,3.08395810741966,0.4388031473493195,CA,2023-06-21,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0
180,2.73585978823573,0.427666697950822,CA,2023-06-22,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0
181,4.23604581796631,0.417268200693777,CA,2023-06-23,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0
182,1.61192134740887,0.4166126107018235,CA,2023-06-24,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0
183,1.41769747820518,0.36751805694192,CA,2023-06-25,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0
184,1.55401576315996,0.3946964882132515,CA,2023-06-26,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0
185,1.90118111494619,0.3889844242133015,CA,2023-06-27,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0
186,3.57373790046702,0.463121287701042,CA,2023-06-28,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0
187,2.30359205733763,0.3857093999482395,CA,2023-06-29,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0
188,2.20126361380246,0.3912637671959085,CA,2023-06-30,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0
189,1.51858527411697,0.457724640484927,CA,2023-07-01,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0
190,1.6324686358196,0.3841600198566105,CA,2023-07-02,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0
191,3.1059501024181,0.4222152231891475,CA,2023-07-03,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1
192,1.76811182180581,0.3861246472909515,CA,2023-07-04,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0
193,6.67582478015809,0.4497695044078955,CA,2023-07-05,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
194,2.4701480803659,0.369588898659682,CA,2023-07-06,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0
195,2.15531510411947,0.4582215820668425,CA,2023-07-07,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0
196,1.77793785547175,0.343763928242507,CA,2023-07-08,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0
197,0.982954115771766,0.4326906663779025,CA,2023-07-09,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
198,4.32867374793446,0.4480701522455015,CA,2023-07-10,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
199,2.87802472143932,0.44527061055153,CA,2023-07-11,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
200,2.33709531441706,0.421597249051006,CA,2023-07-12,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0
