...1,es_score,brier_score,location,target_date,X24B_50_CI,X24C_50_CI,X24D_50_CI,X24E_50_CI,X24G_50_CI,recombinant_50_CI,other_50_CI,X24A_50_CI,X24B_95_CI,X24C_95_CI,X24D_95_CI,X24E_95_CI,X24G_95_CI,recombinant_95_CI,other_95_CI,X24A_95_CI
25,NA,NA,AK,2024-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.62857465354892,0.4487131084640955,AK,2024-06-13,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
27,NA,NA,AK,2024-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2024-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2024-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2024-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2024-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2024-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.774658035370813,0.557563245899675,AK,2024-06-20,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
34,NA,NA,AK,2024-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2024-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2024-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2024-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2024-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2024-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2024-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2024-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,AL,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2024-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2024-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2024-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2024-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2024-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2024-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2024-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2024-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2024-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2024-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2024-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2024-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2024-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2024-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2024-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2024-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2024-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2024-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2024-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2024-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2024-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2024-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2024-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2024-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2024-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2024-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2024-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2024-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2024-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.594567866060944,0.4185918541685225,AR,2024-06-10,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
108,NA,NA,AR,2024-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2024-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2024-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2024-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2024-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2024-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.259277926294821,0.1908202246861655,AZ,2024-05-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,0.784763255927184,0.55105240834761,AZ,2024-05-20,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
129,0.746055307576579,0.2102176277410545,AZ,2024-05-21,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
130,0.687744008737058,0.377527133249688,AZ,2024-05-22,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
131,NA,NA,AZ,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,0.332296869636643,0.240751430995354,AZ,2024-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,NA,NA,AZ,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,0.557395731898171,0.325690380066696,AZ,2024-05-26,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
135,1.87429497476875,0.451526728672762,AZ,2024-05-27,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0
136,2.24118721109837,0.386455528135033,AZ,2024-05-28,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
137,0.949917345524975,0.4246768294641605,AZ,2024-05-29,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
138,0.385309527694588,0.274673411226797,AZ,2024-05-30,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
139,NA,NA,AZ,2024-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,0.386880407102485,0.295625162118923,AZ,2024-06-01,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
141,2.16915052181245,0.456054434984642,AZ,2024-06-02,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
142,1.46787920675896,0.352431509778462,AZ,2024-06-03,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0
143,1.99041587356081,0.409110107603162,AZ,2024-06-04,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1
144,0.784919215700854,0.321272734853749,AZ,2024-06-05,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
145,2.8290627716239,0.363681888945105,AZ,2024-06-06,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0
146,1.31300729508588,0.426127055115526,AZ,2024-06-07,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1
147,2.66274267943031,0.438671235070564,AZ,2024-06-08,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0
148,1.20296640790668,0.379786682877671,AZ,2024-06-09,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0
149,7.50440458923817,0.4087060575590865,AZ,2024-06-10,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0
150,3.93343219853178,0.392015145844044,AZ,2024-06-11,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0
151,7.59242926754502,0.4037996947283585,AZ,2024-06-12,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
152,3.19362789959017,0.444026700486726,AZ,2024-06-13,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0
153,2.62154398176774,0.417428394000999,AZ,2024-06-14,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
154,0.652856332747522,0.4737845406145265,AZ,2024-06-15,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
155,3.92954542480654,0.434101268486794,AZ,2024-06-16,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0
156,10.7288731544824,0.438929824373203,AZ,2024-06-17,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0
157,10.4614635195398,0.4574698365562015,AZ,2024-06-18,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
158,5.66911880199323,0.4879242751990855,AZ,2024-06-19,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0
159,2.39010232976762,0.487607083133001,AZ,2024-06-20,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0
160,3.40141769784995,0.546118069768,AZ,2024-06-21,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0
161,1.18947728780323,0.58766573538005,AZ,2024-06-22,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
162,3.73906332543802,0.579131235593,AZ,2024-06-23,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0
163,3.98571550443801,0.56828033810122,AZ,2024-06-24,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0
164,14.3073628203981,0.61646743969843,AZ,2024-06-25,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0
165,4.53706100201244,0.681816282928145,AZ,2024-06-26,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0
166,NA,NA,AZ,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,1.56832811336722,0.756217848269125,AZ,2024-06-28,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0
168,2.09656316189232,0.80477788431381,AZ,2024-06-29,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
169,5.01069009699582,0.400628866432818,CA,2024-05-19,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0
170,4.09965030336981,0.262991000810961,CA,2024-05-20,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0
171,5.99427405510097,0.314639334105995,CA,2024-05-21,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0
172,5.2471502169727,0.316751892705928,CA,2024-05-22,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
173,2.70394203228706,0.316514188566579,CA,2024-05-23,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1
174,3.78503241208803,0.370540959089864,CA,2024-05-24,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1
175,1.74175958711256,0.3281461183994335,CA,2024-05-25,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
176,6.97004869445704,0.4107089270034225,CA,2024-05-26,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
177,2.54355859586354,0.3522402391479135,CA,2024-05-27,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0
178,3.91614096013929,0.3558484671270095,CA,2024-05-28,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0
179,2.33612342688682,0.3497970490127705,CA,2024-05-29,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0
180,6.57943442384556,0.3979769405705175,CA,2024-05-30,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
181,14.6380404561387,0.385996064979357,CA,2024-05-31,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
182,3.61374895107432,0.3778205422813335,CA,2024-06-01,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0
183,4.38138395118714,0.3961009384902195,CA,2024-06-02,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0
184,5.90720869469196,0.3924815492563315,CA,2024-06-03,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0
185,7.91020195611991,0.399069363690126,CA,2024-06-04,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0
186,17.4308456834306,0.4020391526355235,CA,2024-06-05,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
187,13.9079399872716,0.379030510103284,CA,2024-06-06,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
188,4.61311502798752,0.341088768349007,CA,2024-06-07,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0
189,6.5774950344365,0.428304016656647,CA,2024-06-08,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
190,8.2755656891429,0.410952233645286,CA,2024-06-09,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0
191,10.0584025216703,0.388819634293653,CA,2024-06-10,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
192,13.6952239753996,0.411059372900571,CA,2024-06-11,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
193,12.6399026610777,0.4162321457437725,CA,2024-06-12,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0
194,13.2146785656951,0.428300485360738,CA,2024-06-13,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
195,7.96666255045539,0.441740477531122,CA,2024-06-14,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
196,4.37989721456794,0.4342728425786175,CA,2024-06-15,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
197,7.69681570544141,0.4340253971304565,CA,2024-06-16,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
198,10.150412222162,0.462066813930751,CA,2024-06-17,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0
199,18.0735435424809,0.46237098239625,CA,2024-06-18,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
200,21.8679035078062,0.4643502822792715,CA,2024-06-19,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0
201,16.5263594218205,0.482031483899902,CA,2024-06-20,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0
202,20.0655622598529,0.53114036392235,CA,2024-06-21,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0
203,9.17672860762374,0.564618218092675,CA,2024-06-22,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0
204,13.8906466472268,0.553209882922155,CA,2024-06-23,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0
205,17.1408077571223,0.567005379789875,CA,2024-06-24,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0
206,31.7733361100018,0.620445379987875,CA,2024-06-25,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
207,84.6312762617506,0.65427621163584,CA,2024-06-26,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
208,86.8097081612544,0.688140992511755,CA,2024-06-27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
209,77.9500821364705,0.68351127454427,CA,2024-06-28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
210,54.1943141034251,0.73165087583968,CA,2024-06-29,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
211,NA,NA,CO,2024-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.875140892940614,0.612804950376495,CO,2024-05-20,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
213,NA,NA,CO,2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,0.695507903876391,0.377527133249688,CO,2024-05-22,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
