...1,es_score,brier_score,location,target_date,X22F_50_CI,X23I_50_CI,X24B_50_CI,recombinant_50_CI,other_50_CI,X24A_50_CI,X22F_95_CI,X23I_95_CI,X24B_95_CI,recombinant_95_CI,other_95_CI,X24A_95_CI
26,NA,NA,AK,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,6.2433286318096e-4,3.77527314692525e-4,AL,2024-03-04,1,1,1,1,1,1,1,1,1,1,1,1
45,0.00223397460512677,3.9116782486765e-4,AL,2024-03-05,1,1,1,1,1,1,1,1,1,1,1,1
46,NA,NA,AL,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,AL,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1.21076732346402,0.317366161452916,AL,2024-03-13,1,1,0,1,1,0,1,1,0,1,1,0
54,NA,NA,AL,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.0063029369750781,0.0010115704764866,AL,2024-03-18,1,1,1,1,1,1,1,1,1,1,1,1
59,NA,NA,AL,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.00335175685617919,0.002306442208381125,AL,2024-03-26,1,1,1,1,1,1,1,1,1,1,1,1
67,NA,NA,AL,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.00719062541785007,0.004432162434479,AL,2024-04-01,1,1,1,1,1,1,1,1,1,1,1,1
73,NA,NA,AL,2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,0.00547491537934419,3.77527314692525e-4,AR,2024-03-04,1,1,1,1,1,1,1,1,1,1,1,1
87,NA,NA,AR,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,6.3561828727752e-4,4.52848823860395e-4,AR,2024-03-08,1,1,1,1,1,1,1,1,1,1,1,1
91,NA,NA,AR,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,9.2332589499852e-4,5.95700099163225e-4,AR,2024-03-12,1,1,1,1,1,1,1,1,1,1,1,1
95,NA,NA,AR,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2024-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,0.00786476305075878,0.001363547798598965,AR,2024-03-21,1,1,1,1,1,1,1,1,1,1,1,1
104,NA,NA,AR,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0.00380636994597351,0.002568953604197095,AR,2024-03-27,1,1,1,1,1,1,1,1,1,1,1,1
110,NA,NA,AR,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.00761794892243597,3.66988435297925e-4,AZ,2024-03-03,1,1,1,1,1,1,1,1,1,0,1,0
128,0.0300336207974784,3.77527314692525e-4,AZ,2024-03-04,1,1,1,1,1,1,1,1,1,1,1,1
129,0.0201776550530867,3.9116782486765e-4,AZ,2024-03-05,1,1,1,1,1,1,1,1,1,1,1,1
130,0.00518140023104272,4.08102438234175e-4,AZ,2024-03-06,1,1,1,1,1,1,1,1,1,1,1,1
131,5.8955735152684e-4,4.28567997352875e-4,AZ,2024-03-07,1,1,1,1,1,1,1,1,1,1,1,1
132,NA,NA,AZ,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,0.00643542354294652,4.81280441872675e-4,AZ,2024-03-09,1,1,1,1,1,1,1,1,1,1,1,1
134,1.2938104015649,0.323756260708113,AZ,2024-03-10,1,1,1,0,1,0,1,1,1,0,1,0
135,0.0129484447537658,5.5222110336414e-4,AZ,2024-03-11,1,1,1,1,1,1,1,1,1,1,1,1
136,1.22532123623518,0.318024004978541,AZ,2024-03-12,1,1,0,1,1,0,1,1,0,1,1,0
137,0.0630779591302997,6.4528221328232e-4,AZ,2024-03-13,1,1,1,1,1,1,1,1,1,1,1,1
138,0.0159922482010028,7.0163925652681e-4,AZ,2024-03-14,1,1,1,1,1,1,1,1,1,1,1,1
139,NA,NA,AZ,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,NA,NA,AZ,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,NA,NA,AZ,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,0.00173924226887645,0.0010115704764866,AZ,2024-03-18,1,1,1,1,1,1,1,1,1,1,1,1
143,0.037984601142883,0.00111534393837801,AZ,2024-03-19,1,1,1,1,1,1,1,1,1,1,1,1
144,1.26834535366831,0.0957068011891485,AZ,2024-03-20,1,1,1,0,1,0,1,1,1,0,1,0
145,0.105575524963595,0.001363547798598965,AZ,2024-03-21,1,1,1,1,1,1,1,1,1,1,1,1
146,0.0354914730926499,0.00151122288782213,AZ,2024-03-22,1,1,1,1,1,1,1,1,1,1,1,1
147,0.0200035441089429,0.00167709573066126,AZ,2024-03-23,1,1,1,1,1,1,1,1,1,1,1,1
148,0.0113156773465807,0.001863297252965245,AZ,2024-03-24,1,1,1,1,1,1,1,1,1,1,1,1
149,0.0120002039090673,0.002072200010242105,AZ,2024-03-25,1,1,1,1,1,1,1,1,1,1,1,1
150,0.0137224570010251,0.002306442208381125,AZ,2024-03-26,1,1,1,1,1,1,1,1,1,1,1,1
151,0.0340228475184573,0.002568953604197095,AZ,2024-03-27,1,1,1,1,1,1,1,1,0,1,1,0
152,0.0337306295814135,0.00286298331668568,AZ,2024-03-28,1,1,1,1,1,1,1,1,1,1,1,1
153,0.977613668239614,0.2988993777532295,AZ,2024-03-29,1,1,0,1,1,0,1,1,1,1,1,1
154,2.32434129260579,0.315666810761314,AZ,2024-03-30,1,1,1,0,1,0,1,1,0,0,1,1
155,NA,NA,AZ,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,0.422385582760108,0.1007579116757855,AZ,2024-04-01,1,1,1,1,1,1,1,1,0,1,1,0
157,1.01374706614561,0.108010797359892,AZ,2024-04-02,1,1,1,1,0,1,1,1,0,1,0,1
158,0.110489045966517,0.0055191143658163,AZ,2024-04-03,1,1,1,1,1,1,1,1,0,1,1,0
159,1.06596339951485,0.19008381554169,AZ,2024-04-04,1,1,1,1,0,1,1,1,1,1,0,0
160,0.820567406338389,0.2849611640467215,AZ,2024-04-05,1,1,0,1,1,0,1,1,0,1,1,0
161,0.150623908140996,0.0076630836089875,AZ,2024-04-06,1,1,1,1,1,1,1,1,0,1,1,0
162,1.07682220407361,0.2350244127106355,AZ,2024-04-07,1,1,1,1,0,1,1,1,0,1,0,1
163,1.04031084558439,0.1896924546939765,AZ,2024-04-08,1,1,1,1,0,1,1,1,0,1,0,0
164,0.0178372635037616,0.0106118815781417,AZ,2024-04-09,1,1,1,1,1,1,1,1,1,1,1,1
165,NA,NA,AZ,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,NA,NA,AZ,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,0.0223120190573061,0.01463142127423035,AZ,2024-04-12,1,1,1,1,1,1,1,1,1,1,1,1
168,0.0906949309981163,0.0162645195629802,AZ,2024-04-13,1,1,1,1,1,1,1,1,0,1,1,0
169,0.87904148674757,0.04453360856528305,CA,2024-03-03,1,1,1,0,1,1,1,1,0,1,1,0
170,3.2465727001557,0.08488885041484,CA,2024-03-04,1,1,1,0,0,0,1,0,1,0,0,0
171,5.01862124773002,0.1145593601974645,CA,2024-03-05,1,1,1,0,0,0,1,1,1,0,0,0
172,2.43037306285983,0.0733747347641535,CA,2024-03-06,1,1,0,0,0,0,1,1,1,0,1,0
173,4.50129228309839,0.1178331420575905,CA,2024-03-07,1,1,0,0,1,0,1,1,0,0,1,0
174,1.85099792432256,0.0748546796953985,CA,2024-03-08,1,1,1,0,0,0,1,1,0,0,0,0
175,2.29615343413613,0.139445079329025,CA,2024-03-09,1,0,1,1,1,0,1,0,1,1,1,0
176,1.82828101806406,0.106743034115047,CA,2024-03-10,1,1,0,1,1,0,1,1,0,1,1,0
177,3.11458484549692,0.2418149107584105,CA,2024-03-11,1,1,0,1,0,0,1,1,1,1,0,0
178,2.24602114456142,0.107002984409869,CA,2024-03-12,1,1,0,0,1,0,1,1,0,0,1,0
179,4.80069941519986,0.122461004997757,CA,2024-03-13,1,1,0,1,1,0,1,1,0,1,1,0
180,3.02690320482285,0.1095697891837985,CA,2024-03-14,1,1,0,0,1,0,1,1,0,0,1,0
181,0.892484756516295,0.0340685128071877,CA,2024-03-15,1,1,1,0,1,1,1,1,0,0,1,1
182,1.6536172618359,0.147566742071454,CA,2024-03-16,1,1,1,0,1,0,1,1,1,0,1,0
183,2.85518408879997,0.1493297303911175,CA,2024-03-17,1,1,0,1,1,0,1,1,0,1,1,0
184,2.65459015176801,0.1213594455107435,CA,2024-03-18,1,1,1,0,0,0,1,1,1,0,0,0
185,1.04361834846795,0.0886145754732525,CA,2024-03-19,1,1,1,1,0,1,1,1,0,1,0,1
186,1.36597326980437,0.1123787968739905,CA,2024-03-20,1,1,1,0,1,0,1,1,0,0,1,0
187,1.5728604017381,0.158376073516544,CA,2024-03-21,1,1,1,0,1,0,1,1,0,0,1,0
188,2.28184989251968,0.1787617245720975,CA,2024-03-22,1,1,1,0,0,0,1,1,0,0,0,0
189,1.04015230514651,0.1076745060152705,CA,2024-03-23,1,1,1,0,1,1,1,1,0,0,1,1
190,0.174917383745903,0.001863297252965245,CA,2024-03-24,1,1,1,1,1,1,1,1,1,1,1,1
191,2.14566812843415,0.160360831483696,CA,2024-03-25,1,1,1,0,1,0,1,1,0,0,1,1
192,0.411111680503392,0.071854633803887,CA,2024-03-26,1,1,1,1,1,1,1,1,1,0,1,0
193,1.44967541080738,0.170174483071573,CA,2024-03-27,1,1,1,0,1,0,1,1,0,1,1,0
194,1.06038885998565,0.137701958944182,CA,2024-03-28,1,0,1,1,1,1,1,0,1,1,1,0
195,0.130682234180367,0.003192129554254265,CA,2024-03-29,1,1,1,1,1,1,1,1,0,0,1,0
196,0.105765048917382,0.00356037123111647,CA,2024-03-30,1,1,1,1,1,1,1,1,1,1,1,1
197,1.07493960116489,0.4409935012826385,CA,2024-03-31,1,1,0,1,1,0,1,1,1,1,1,1
198,1.23599122627765,0.1541497424616085,CA,2024-04-01,1,1,1,0,1,0,1,1,1,0,1,0
199,0.203040061696958,0.004945882650483845,CA,2024-04-02,1,1,1,1,1,1,1,1,1,1,1,1
200,0.278792718977819,0.0055191143658163,CA,2024-04-03,1,1,1,1,1,1,1,1,0,1,1,0
201,3.60120679983296,0.4468414961308815,CA,2024-04-04,1,1,0,1,0,0,1,1,0,1,0,0
202,2.24376767297232,0.211637895313159,CA,2024-04-05,1,1,1,0,1,0,1,0,0,0,1,0
203,0.213380028433404,0.0076630836089875,CA,2024-04-06,1,1,1,1,1,1,1,1,1,1,1,1
204,0.0991807013748304,0.00854473735625735,CA,2024-04-07,1,1,1,1,1,1,1,1,1,1,1,1
205,0.413379614144401,0.00952439797817625,CA,2024-04-08,1,1,1,1,1,1,1,1,1,1,1,1
206,0.565778175279619,0.20911197677684,CA,2024-04-09,1,1,1,1,1,1,1,1,1,1,1,1
207,1.49277667078914,0.346312258239519,CA,2024-04-10,1,1,1,1,0,0,1,1,0,1,0,0
208,3.11552492163949,0.4126393107467485,CA,2024-04-11,1,1,0,1,0,0,1,1,0,1,0,0
209,1.30578164736156,0.287272195331007,CA,2024-04-12,1,1,1,1,0,0,1,1,0,1,0,0
210,0.389894909501014,0.165254910857012,CA,2024-04-13,1,1,1,1,1,1,1,1,0,1,1,0
211,NA,NA,CO,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.00228998016783125,3.77527314692525e-4,CO,2024-03-04,1,1,1,1,1,1,1,1,1,1,1,1
213,NA,NA,CO,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,NA,CO,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,NA,CO,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,9.1481232942614e-4,4.52848823860395e-4,CO,2024-03-08,1,1,1,1,1,1,1,1,1,1,1,1
217,NA,NA,CO,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,NA,NA,CO,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,0.00429199043455331,5.95700099163225e-4,CO,2024-03-12,1,1,1,1,1,1,1,1,1,1,1,1
221,0.0011826360942455,6.4528221328232e-4,CO,2024-03-13,1,1,1,1,1,1,1,1,1,1,1,1
222,NA,NA,CO,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,0.00101800749311975,7.65531972739545e-4,CO,2024-03-15,1,1,1,1,1,1,1,1,1,1,1,1
224,NA,NA,CO,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,0.00154205847159154,0.0010115704764866,CO,2024-03-18,1,1,1,1,1,1,1,1,1,1,1,1
227,NA,NA,CO,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,NA,NA,CO,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,NA,CO,2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,NA,NA,CO,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,NA,NA,CO,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,1.34577374354297,0.95359855298549,CO,2024-03-25,1,0,1,1,1,0,1,0,1,1,1,0
234,NA,NA,CO,2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,NA,NA,CO,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,0.00460371769213773,0.00286298331668568,CO,2024-03-28,1,1,1,1,1,1,1,1,1,1,1,1
237,NA,NA,CO,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,NA,NA,CO,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,CO,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,NA,NA,CO,2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,0.0278569437453926,0.004945882650483845,CO,2024-04-02,1,1,1,1,1,1,1,1,1,1,1,1
242,NA,NA,CO,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,1.02379699436778,0.427710862685451,CO,2024-04-04,1,1,0,1,1,0,1,1,1,1,1,1
244,NA,NA,CO,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,0.0111801642960312,0.0076630836089875,CO,2024-04-06,1,1,1,1,1,1,1,1,1,1,1,1
246,NA,NA,CO,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,NA,NA,CO,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,NA,NA,CO,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,NA,NA,CO,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,NA,NA,CO,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,NA,NA,CO,2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,NA,NA,CO,2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,NA,NA,CT,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,4.2688036500136e-4,3.77527314692525e-4,CT,2024-03-04,1,1,1,1,1,1,1,1,1,1,1,1
