...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23G_50_CI,X23H_50_CI,X24A_50_CI,other_50_CI,X23F_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23G_95_CI,X23H_95_CI,X24A_95_CI,other_95_CI,X23F_95_CI
72,NA,NA,AL,2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2023-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,0.887345160007247,0.620085084539205,AL,2023-12-07,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
76,NA,NA,AL,2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.723475793927486,0.4933479276447305,AL,2023-12-11,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
80,NA,NA,AL,2023-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2023-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2023-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1.48397601554318,0.6716761758981,AL,2023-12-15,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1
84,NA,NA,AL,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1.58261454906002,0.3397759393587475,AR,2023-11-06,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1
87,0.742150837570698,0.525408859420985,AR,2023-11-07,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
88,0.694629910183797,0.4908697897688555,AR,2023-11-08,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
89,NA,NA,AR,2023-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2023-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2023-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,0.228122631848802,0.162349677869421,AR,2023-11-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,NA,NA,AR,2023-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.246252467898168,0.178443176854243,AR,2023-11-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,0.708355599714991,0.387265878851644,AR,2023-11-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
102,NA,NA,AR,2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.758835092849031,0.5388868898698,AR,2023-11-27,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
108,1.13263891482935,0.469343365309063,AR,2023-11-28,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
109,1.59903263327441,0.549382559133055,AR,2023-11-29,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
110,NA,NA,AR,2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.371844093303075,0.2751608654931265,AR,2023-12-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
112,NA,NA,AR,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,0.508566399664334,0.3582418574100005,AR,2023-12-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,NA,NA,AR,2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,1.69326698068604,0.58574045900407,AR,2023-12-07,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0
118,NA,NA,AR,2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,0.672266710703538,0.4694878783295405,AR,2023-12-10,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
121,NA,NA,AR,2023-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,0.735101701439317,0.3711206591320605,AR,2023-12-12,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
123,0.946702319547738,0.66225393399366,AR,2023-12-13,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
124,3.44185658224697,0.50921869604613,AR,2023-12-14,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0
125,0.0835739120326695,0.064148688276593,AR,2023-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,NA,NA,AR,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.52561884148793,0.377043726641243,AZ,2023-11-05,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0
128,3.73959537352381,0.354196110850629,AZ,2023-11-06,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
129,1.74178529446059,0.317802782304942,AZ,2023-11-07,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1
130,2.63191468542855,0.382189047473525,AZ,2023-11-08,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0
131,1.26284313095116,0.354174426464304,AZ,2023-11-09,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0
132,1.64422048892698,0.3876735837376495,AZ,2023-11-10,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0
133,1.50384562509425,0.357939055320642,AZ,2023-11-11,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0
134,4.79948664711831,0.3324604945529465,AZ,2023-11-12,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
135,4.01444230356332,0.317634821624874,AZ,2023-11-13,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
136,3.09544999583619,0.3832281544691405,AZ,2023-11-14,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0
137,2.00138714343223,0.314182565830488,AZ,2023-11-15,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0
138,1.45694440697299,0.164515268278609,AZ,2023-11-16,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0
139,0.725247860117132,0.509728612686535,AZ,2023-11-17,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,1.38087895963265,0.4331908461250485,AZ,2023-11-18,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
141,3.06708476164558,0.4050282094688,AZ,2023-11-19,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1
142,3.41956582110311,0.3012197334010445,AZ,2023-11-20,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0
143,3.64265684198071,0.39506952947203,AZ,2023-11-21,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1
144,2.01571860780748,0.40709295509682347,AZ,2023-11-22,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1
145,0.697882610844385,0.385299369900088,AZ,2023-11-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
146,2.81770112557133,0.3653161205343265,AZ,2023-11-24,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0
147,2.13671412389628,0.3929259160623095,AZ,2023-11-25,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0
148,2.70048380750202,0.434604696873108,AZ,2023-11-26,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0
149,4.37248033770184,0.3616006067002765,AZ,2023-11-27,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
150,6.82104967325793,0.366317645499698,AZ,2023-11-28,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0
151,5.67079339197213,0.3904521970570675,AZ,2023-11-29,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0
152,1.21917369511489,0.408539906869914,AZ,2023-11-30,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0
153,1.7830167562418,0.4102136941396405,AZ,2023-12-01,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1
154,1.4654510834704,0.3339370368800385,AZ,2023-12-02,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1
155,6.86534832361018,0.392916537895196,AZ,2023-12-03,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0
156,4.90515974047702,0.3962456799930675,AZ,2023-12-04,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
157,10.9499186540825,0.3928041824531115,AZ,2023-12-05,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0
158,8.57951805423401,0.478907198487143,AZ,2023-12-06,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
159,4.2455861975029,0.401536479480671,AZ,2023-12-07,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0
160,1.60517841293476,0.492717638210573,AZ,2023-12-08,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0
161,2.1770552803667,0.44597684170472,AZ,2023-12-09,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0
162,1.72070170390729,0.60747192523106,AZ,2023-12-10,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
163,5.48457080109308,0.518184165558015,AZ,2023-12-11,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0
164,7.62215134141063,0.64402775447025,AZ,2023-12-12,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
165,9.06704416245177,0.60818778519404,AZ,2023-12-13,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
166,4.8915261734562,0.637967203268775,AZ,2023-12-14,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0
167,3.15842349856502,0.55252983740796,AZ,2023-12-15,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1
168,3.21371445227086,0.4225878056458485,AZ,2023-12-16,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1
169,1.14639872754402,0.42318113072675,CA,2023-11-05,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1
170,2.81571772139792,0.3179728025565715,CA,2023-11-06,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
171,2.36728933506832,0.374696433692402,CA,2023-11-07,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1
172,3.19143271124804,0.425516667080791,CA,2023-11-08,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
173,3.23055473661848,0.3733967772962955,CA,2023-11-09,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
174,2.27884330336371,0.315707017865563,CA,2023-11-10,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1
175,1.36667466766765,0.247260391961923,CA,2023-11-11,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
176,1.52283210827948,0.2476664353501645,CA,2023-11-12,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0
177,4.04892562010915,0.373289625322699,CA,2023-11-13,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
178,3.36709677376145,0.3132833091738995,CA,2023-11-14,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
179,2.56691117582301,0.319001022812375,CA,2023-11-15,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
180,2.21555364887541,0.353813281665575,CA,2023-11-16,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1
181,1.63175762731968,0.385251684377998,CA,2023-11-17,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0
182,1.17544160687909,0.351900390639847,CA,2023-11-18,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
183,0.647667904134603,0.3570618368258445,CA,2023-11-19,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
184,3.32203361987016,0.308052590584793,CA,2023-11-20,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0
185,2.41117557405463,0.354132967364504,CA,2023-11-21,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
