...1,es_score,brier_score,location,target_date,X22F_50_CI,X23H_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X22F_95_CI,X23H_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
36,NA,NA,AK,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1.33177983164295,0.94076147477751,AL,2024-02-05,1,1,0,1,0,1,1,0,1,0
45,NA,NA,AL,2024-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1.36996194319679,0.969615159887515,AL,2024-02-07,0,1,0,1,1,0,1,0,1,1
47,8.704625918546e-4,6.19795860686765e-4,AL,2024-02-08,1,1,1,1,1,1,1,0,1,0
48,NA,NA,AL,2024-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2024-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,3.4646818128948e-4,2.3691674106456e-4,AL,2024-02-15,1,1,1,1,1,1,1,1,1,1
55,NA,NA,AL,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2024-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1.8895307412155e-4,1.19038496892075e-4,AL,2024-02-20,1,1,1,1,1,1,1,1,1,1
60,NA,NA,AL,2024-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2024-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,2.4934088978164e-4,5.2175081908845e-5,AL,2024-02-26,1,1,1,1,1,1,1,1,1,1
66,NA,NA,AL,2024-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2024-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,5.4602785534489e-5,3.457969124791605e-5,AL,2024-02-29,1,1,1,1,1,1,1,1,1,1
69,NA,NA,AL,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2.69973368572382e-5,2.0014593318894e-5,AL,2024-03-04,1,1,1,1,1,1,1,1,1,1
73,9.93767868506107e-5,1.74633760633168e-5,AL,2024-03-05,1,1,1,1,1,1,1,1,1,1
74,NA,NA,AL,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1.39168226947097,0.3317937864303635,AL,2024-03-13,1,1,0,1,0,1,1,0,1,0
82,NA,NA,AL,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,0.00135067295001289,9.341337825297e-4,AR,2024-02-05,1,1,1,1,1,1,1,1,1,1
87,9.6068941732704e-4,8.1489876848421e-4,AR,2024-02-06,1,1,1,1,1,1,1,1,1,1
88,9.3517700457776e-4,7.1074478946562e-4,AR,2024-02-07,1,1,1,1,1,1,1,1,1,1
89,0.00314388544175966,6.19795860686765e-4,AR,2024-02-08,1,1,1,1,1,1,1,1,1,1
90,0.00287219032073921,5.4040287724547e-4,AR,2024-02-09,1,1,1,1,1,1,1,1,1,1
91,NA,NA,AR,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,5.5605463194871e-4,3.5794148884715e-4,AR,2024-02-12,1,1,1,1,1,1,1,1,1,1
94,1.31869308969296,0.482995028626857,AR,2024-02-13,1,1,0,1,0,1,1,0,1,0
95,0.00180903345030614,2.7186757658364e-4,AR,2024-02-14,1,1,1,1,1,1,1,1,1,1
96,NA,NA,AR,2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,7.4356520874247e-4,1.3660410998338e-4,AR,2024-02-19,1,1,1,1,1,1,1,1,1,1
101,5.8152743860197e-4,1.19038496892075e-4,AR,2024-02-20,1,1,1,1,1,1,1,1,1,1
102,NA,NA,AR,2024-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,2.7028449650438e-4,5.2175081908845e-5,AR,2024-02-26,1,1,1,1,1,1,1,1,1,1
108,NA,NA,AR,2024-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2024-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1.39898253887499,0.988640359904765,AR,2024-02-29,1,1,0,1,0,1,1,0,1,0
111,5.06712718368052e-5,3.015567263396195e-5,AR,2024-03-01,1,1,1,1,1,1,1,1,1,1
112,NA,NA,AR,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1.8139572028572e-4,2.0014593318894e-5,AR,2024-03-04,1,1,1,1,1,1,1,1,1,1
115,NA,NA,AR,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1.09601551088476e-5,1.16113394503107e-5,AR,2024-03-08,1,1,1,1,1,1,1,1,1,1
119,NA,NA,AR,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.0214078009755941,0.001070581881448355,AZ,2024-02-04,1,1,1,1,1,1,1,1,1,1
128,3.03955531215175,0.166786017487526,AZ,2024-02-05,1,1,0,1,0,1,1,0,1,0
129,0.925010787856634,0.0410961118938798,AZ,2024-02-06,0,1,1,1,1,0,1,0,1,1
130,0.205505167251105,7.1074478946562e-4,AZ,2024-02-07,1,1,1,1,1,1,1,1,1,1
131,7.75681998654e-4,6.19795860686765e-4,AZ,2024-02-08,1,1,1,1,1,1,1,1,1,1
132,1.3045850064184,0.3244340852827135,AZ,2024-02-09,1,0,0,1,1,1,0,0,1,1
133,0.00233551945655772,4.7111745224877e-4,AZ,2024-02-10,1,1,1,1,1,1,1,1,1,1
134,1.05373161905602,0.1204380348253735,AZ,2024-02-11,1,1,0,1,0,1,1,0,1,0
135,0.0332274510490074,3.5794148884715e-4,AZ,2024-02-12,1,1,1,1,1,1,1,0,0,1
136,1.0713453328072,0.065475054992958,AZ,2024-02-13,1,1,1,0,1,1,1,0,0,1
137,0.0785124089704366,2.7186757658364e-4,AZ,2024-02-14,1,1,1,1,1,0,1,0,1,1
138,2.379697164485e-4,2.3691674106456e-4,AZ,2024-02-15,1,1,1,1,1,1,1,1,1,1
139,0.00259427213398249,2.0645228240542e-4,AZ,2024-02-16,1,1,1,1,1,1,1,1,1,1
140,0.013552758878827,1.7990168572069e-4,AZ,2024-02-17,1,1,1,1,1,1,1,0,1,0
141,0.907185767431801,0.051500154560576,AZ,2024-02-18,1,1,0,1,0,1,1,0,1,0
142,0.0447956639068728,1.3660410998338e-4,AZ,2024-02-19,1,1,1,1,1,1,1,1,1,1
143,1.74761906538826,0.067857023658978,AZ,2024-02-20,1,1,0,0,0,1,1,0,0,0
144,1.03252916798625,0.03533941742668665,AZ,2024-02-21,1,1,1,0,1,1,1,0,0,1
145,1.35080388553214,0.2469505947324835,AZ,2024-02-22,1,1,0,0,1,1,1,0,0,1
146,0.00120160706603512,7.8787143576845e-5,AZ,2024-02-23,1,1,1,1,1,1,1,1,1,1
147,4.1556665628678e-4,6.866871628166e-5,AZ,2024-02-24,1,1,1,1,1,1,1,1,1,1
148,2.28046305872362,0.219461319675723,AZ,2024-02-25,1,1,0,0,0,1,1,0,0,0
149,0.00328076458610688,5.2175081908845e-5,AZ,2024-02-26,1,1,1,1,1,1,1,1,1,1
150,1.28930970041588,0.090128218612882,AZ,2024-02-27,1,1,0,0,1,1,1,0,0,1
151,0.0011755881223215,3.965730663752095e-5,AZ,2024-02-28,1,1,1,1,1,1,1,1,1,1
152,4.256583938765e-4,3.457969124791605e-5,AZ,2024-02-29,1,1,1,1,1,1,1,1,1,1
153,2.63043722145582e-5,3.015567263396195e-5,AZ,2024-03-01,1,1,1,1,1,1,1,1,1,1
154,4.7061760353827e-4,2.630088640088775e-5,AZ,2024-03-02,1,1,1,1,1,1,1,1,1,1
155,5.3466025161595e-4,2.29418561129837e-5,AZ,2024-03-03,1,1,1,1,1,1,1,1,1,1
156,0.00170258196296189,2.0014593318894e-5,AZ,2024-03-04,1,1,1,1,1,1,1,1,1,1
157,8.897481837488e-4,1.74633760633168e-5,AZ,2024-03-05,1,1,1,1,1,1,1,1,1,1
158,1.7274618665506e-4,1.523968347761145e-5,AZ,2024-03-06,1,1,1,1,1,1,1,1,1,1
159,2.17930309591866e-5,1.3301266781814e-5,AZ,2024-03-07,1,1,1,1,1,1,1,1,1,1
160,NA,NA,AZ,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,1.2037285432587e-4,1.01378714274155e-5,AZ,2024-03-09,1,1,1,1,1,1,1,1,1,1
162,1.39568380088782,0.3319346316637675,AZ,2024-03-10,1,1,0,0,1,1,1,0,0,1
163,1.5685042614336e-4,7.7323648573979e-6,AZ,2024-03-11,1,1,1,1,1,1,1,1,1,1
164,1.39701821037895,0.3316844581576895,AZ,2024-03-12,1,1,0,1,0,1,1,0,1,0
165,6.8414904678428e-4,5.90216834756835e-6,AZ,2024-03-13,1,1,1,1,1,1,1,1,1,1
166,9.70574766024773e-5,5.15813831484105e-6,AZ,2024-03-14,1,1,1,1,1,1,1,0,1,0
167,NA,NA,AZ,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,NA,NA,AZ,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,0.349069350276335,0.03448324376530365,CA,2024-02-04,1,1,1,1,1,1,1,1,1,1
170,1.85246559851235,0.0645758219262685,CA,2024-02-05,1,1,0,0,1,1,1,0,0,1
171,7.8701534989646,0.108769559131071,CA,2024-02-06,1,1,0,0,0,1,0,0,0,0
172,4.82878155940267,0.08623786929796,CA,2024-02-07,1,1,0,0,0,0,1,0,0,0
173,0.986599449618943,0.03341475919311815,CA,2024-02-08,1,1,1,1,1,1,1,0,1,0
174,7.68589774150521,0.1195097497902065,CA,2024-02-09,1,1,0,0,1,1,1,0,0,0
175,5.57761734489986,0.148928371048906,CA,2024-02-10,1,1,0,0,0,1,0,0,0,0
176,0.00904347572880583,4.1066852420464e-4,CA,2024-02-11,1,1,1,1,1,1,1,0,1,0
177,4.98987551012505,0.110962250794428,CA,2024-02-12,1,1,0,0,1,1,1,0,0,0
178,3.9083168659454,0.088748084390212,CA,2024-02-13,1,0,0,0,0,1,0,0,0,1
179,1.90203757909706,0.0387643139491719,CA,2024-02-14,1,1,0,0,1,1,1,0,0,0
180,7.5102877081532,0.118278755792656,CA,2024-02-15,1,0,0,0,0,1,0,0,0,0
181,1.86467366141416,0.03655648626486675,CA,2024-02-16,1,1,0,0,1,1,1,0,0,1
182,0.95797884812807,0.03293390458925135,CA,2024-02-17,1,1,1,0,1,1,1,1,0,0
183,1.54088989375463,0.054580080473072,CA,2024-02-18,1,1,0,0,1,1,1,1,1,1
184,1.35871146598612,0.03860539096508035,CA,2024-02-19,1,1,0,0,1,1,1,0,0,0
185,0.0361771708340842,1.19038496892075e-4,CA,2024-02-20,1,1,1,1,1,1,1,1,1,1
186,5.52526154131642,0.086882762213458,CA,2024-02-21,1,0,0,0,0,1,0,0,0,0
187,3.80157402938979,0.064559280429449,CA,2024-02-22,1,0,0,1,0,1,0,0,0,0
188,3.70095499651538,0.064699778673303,CA,2024-02-23,1,1,0,0,0,1,0,0,0,0
189,2.34523538284011,0.0582431787629125,CA,2024-02-24,1,1,0,0,1,1,1,0,0,1
190,0.060099892135891,5.985404397736e-5,CA,2024-02-25,1,1,1,1,1,1,1,1,1,1
191,5.37675274776562,0.078372294786117,CA,2024-02-26,1,1,0,0,0,1,1,0,0,0
192,8.7881042247349,0.116328860450967,CA,2024-02-27,1,1,0,0,0,1,1,0,0,0
193,5.62992444387734,0.077441145163242,CA,2024-02-28,1,1,0,0,1,1,1,0,0,1
194,0.0022957883707711,3.457969124791605e-5,CA,2024-02-29,1,1,1,1,1,1,1,1,1,1
195,0.00353468994992999,3.015567263396195e-5,CA,2024-03-01,1,1,1,1,1,1,1,1,1,1
196,0.0247796539279988,2.630088640088775e-5,CA,2024-03-02,1,1,1,1,1,1,1,0,1,0
197,1.23565148317536,0.0451778211105655,CA,2024-03-03,1,1,0,0,1,1,1,0,0,1
198,4.41864907866704,0.090255572768909,CA,2024-03-04,1,1,0,0,0,1,1,0,0,0
199,6.94254666910421,0.1168051871420095,CA,2024-03-05,1,1,0,0,0,1,1,0,0,0
200,3.25596390935575,0.059605698415849,CA,2024-03-06,1,1,0,0,0,1,1,0,0,0
201,6.09183113857212,0.1241841699464185,CA,2024-03-07,1,1,0,0,0,1,1,0,0,0
202,2.14545506658699,0.05235737061808,CA,2024-03-08,1,0,0,1,0,1,0,0,1,0
203,2.71241741045251,0.141994588314053,CA,2024-03-09,1,1,0,1,0,1,1,0,1,0
204,2.69495129015163,0.116985165597738,CA,2024-03-10,1,1,0,1,0,1,1,0,1,0
205,2.74267887048754,0.198943470261465,CA,2024-03-11,1,1,0,1,0,1,1,0,1,0
206,3.55056287519532,0.1106121072599495,CA,2024-03-12,1,1,0,0,0,1,1,0,0,0
207,5.42019405345556,0.113761748201039,CA,2024-03-13,1,1,0,1,0,1,1,0,1,0
208,4.88473434889098,0.12072437277097,CA,2024-03-14,1,1,0,0,0,1,1,0,0,0
209,1.30352683905181,0.03560871602597585,CA,2024-03-15,1,1,0,0,1,1,1,0,0,1
210,2.386775117012,0.1533372109805345,CA,2024-03-16,1,1,0,0,0,1,1,0,0,0
211,NA,NA,CO,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.00131766520542713,9.341337825297e-4,CO,2024-02-05,1,1,1,1,1,1,1,1,1,1
213,9.9301833943182e-4,8.1489876848421e-4,CO,2024-02-06,1,1,1,1,1,1,1,1,1,1
214,8.831339454733e-4,7.1074478946562e-4,CO,2024-02-07,1,1,1,1,1,1,1,1,1,1
215,0.0033285166033197,6.19795860686765e-4,CO,2024-02-08,1,1,1,1,1,1,1,0,1,0
216,0.00268947493892945,5.4040287724547e-4,CO,2024-02-09,1,1,1,1,1,1,1,1,1,1
217,1.3394034807477,0.48675866396015,CO,2024-02-10,1,1,0,0,1,1,1,0,0,1
218,NA,NA,CO,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,0.00182708754570995,3.5794148884715e-4,CO,2024-02-12,1,1,1,1,1,1,1,1,1,1
220,1.35115848146562,0.489035174901777,CO,2024-02-13,1,1,0,0,1,1,1,0,0,1
221,NA,NA,CO,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,3.5577370667345e-4,2.3691674106456e-4,CO,2024-02-15,1,1,1,1,1,1,1,1,1,1
223,NA,NA,CO,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,NA,NA,CO,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,NA,NA,CO,2024-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,1.2491748374993e-4,1.19038496892075e-4,CO,2024-02-20,1,1,1,1,1,1,1,1,1,1
228,0.0021472878197415198,1.0373471095147e-4,CO,2024-02-21,1,1,1,1,1,1,1,1,1,1
229,NA,NA,CO,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,1.38207550260071,0.4941931963493405,CO,2024-02-23,1,1,0,0,1,1,1,0,0,1
231,NA,NA,CO,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,5.9308365754262e-4,5.2175081908845e-5,CO,2024-02-26,1,1,1,1,1,1,1,1,1,1
234,7.02015610988139e-5,4.54853751229003e-5,CO,2024-02-27,1,1,1,1,1,1,1,1,1,1
235,4.78994132718791e-5,3.965730663752095e-5,CO,2024-02-28,1,1,1,1,1,1,1,1,1,1
236,1.6174855711311e-4,3.457969124791605e-5,CO,2024-02-29,1,1,1,1,1,1,1,1,1,1
237,NA,NA,CO,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,NA,NA,CO,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,CO,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,9.59870078029116e-5,2.0014593318894e-5,CO,2024-03-04,1,1,1,1,1,1,1,1,1,1
241,NA,NA,CO,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,NA,NA,CO,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,NA,NA,CO,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,2.26981276391239e-5,1.16113394503107e-5,CO,2024-03-08,1,1,1,1,1,1,1,1,1,1
245,NA,NA,CO,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,CO,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,NA,NA,CO,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,3.19470843169545e-5,6.7548998783359e-6,CO,2024-03-12,1,1,1,1,1,1,1,1,1,1
249,1.2572358567089e-5,5.90216834756835e-6,CO,2024-03-13,1,1,1,1,1,1,1,1,1,1
250,NA,NA,CO,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,7.36805267192824e-6,4.50884867673513e-6,CO,2024-03-15,1,1,1,1,1,1,1,1,1,1
252,NA,NA,CO,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,0.00172357278278032,0.001070581881448355,CT,2024-02-04,1,1,1,1,1,1,1,1,1,1
254,0.00974462432014014,9.341337825297e-4,CT,2024-02-05,1,1,1,1,1,1,1,1,1,1
255,1.06075351836124,0.189579653938244,CT,2024-02-06,1,1,0,1,0,1,1,0,1,0
256,0.0147000532543456,7.1074478946562e-4,CT,2024-02-07,1,1,1,1,1,1,1,1,1,1
257,1.27864901984083,0.476146764180942,CT,2024-02-08,1,1,0,1,0,1,1,0,1,0
258,0.00692795927008161,5.4040287724547e-4,CT,2024-02-09,1,1,1,1,1,1,1,1,1,1
259,NA,NA,CT,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,4.3652530129346e-4,4.1066852420464e-4,CT,2024-02-11,1,1,1,1,1,1,1,1,1,1
261,0.0156571592889342,3.5794148884715e-4,CT,2024-02-12,1,1,1,1,1,1,1,1,1,1
262,NA,NA,CT,2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,3.5283214239176e-4,2.7186757658364e-4,CT,2024-02-14,1,1,1,1,1,1,1,1,1,1
264,3.8097499235237e-4,2.3691674106456e-4,CT,2024-02-15,1,1,1,1,1,1,1,1,1,1
265,NA,NA,CT,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,2.2712269835396e-4,1.7990168572069e-4,CT,2024-02-17,1,1,1,1,1,1,1,1,1,1
267,NA,NA,CT,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,5.6581270558588e-4,1.3660410998338e-4,CT,2024-02-19,1,1,1,1,1,1,1,1,1,1
269,NA,NA,CT,2024-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,0.00122965570485642,1.0373471095147e-4,CT,2024-02-21,1,1,1,1,1,1,1,1,1,1
271,1.35436024820415,0.4908236629869965,CT,2024-02-22,1,1,0,1,0,1,1,0,1,0
272,3.9771928104475e-4,7.8787143576845e-5,CT,2024-02-23,1,1,1,1,1,1,1,1,1,1
273,NA,NA,CT,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,7.1600443399845e-4,5.985404397736e-5,CT,2024-02-25,1,1,1,1,1,1,1,1,1,1
275,7.0951094281093e-5,5.2175081908845e-5,CT,2024-02-26,1,1,1,1,1,1,1,1,1,1
276,2.6523575404387e-4,4.54853751229003e-5,CT,2024-02-27,1,1,1,1,1,1,1,1,1,1
