...1,es_score,brier_score,location,target_date,X22F_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,other_50_CI,X23A_50_CI,X22F_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,other_95_CI,X23A_95_CI
43,NA,NA,AL,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2023-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2023-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2023-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,AL,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,0.510590135866977,0.3237776872403725,AL,2023-05-19,1,1,1,1,1,1,1,1,0,1,0,0,1,0
56,NA,NA,AL,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,0.187958881795569,0.135208444553061,AL,2023-05-23,1,1,1,1,1,1,1,1,0,1,1,1,1,0
60,NA,NA,AL,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2023-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,0.720546890406503,0.198063419304487,AL,2023-05-31,1,1,1,1,1,1,0,1,0,1,1,1,1,0
68,NA,NA,AL,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.463930722508164,0.3306415256809975,AL,2023-06-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,0.398155960847034,0.2741324241098395,AL,2023-06-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,NA,NA,AL,2023-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2023-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2023-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2023-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,0.925878081427037,0.65519888195265,AR,2023-05-08,1,0,1,1,1,1,1,1,0,1,1,1,1,0
87,0.281446827217772,0.062138354080212,AR,2023-05-09,1,1,1,1,1,1,1,1,0,1,1,1,1,0
88,1.8701335381108,0.519356754369645,AR,2023-05-10,0,1,1,1,1,1,0,0,1,1,0,1,1,1
89,NA,NA,AR,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,0.906666688900292,0.135208444553061,AR,2023-05-23,1,1,1,1,1,1,0,1,1,1,0,1,1,0
102,NA,NA,AR,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,0.224768442511046,0.157003325930547,AR,2023-05-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,NA,NA,AR,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.595814085088531,0.4252014488045325,AR,2023-05-29,1,0,1,1,1,1,1,1,1,1,1,1,1,1
108,0.576549851786826,0.4141780369034465,AR,2023-05-30,1,1,1,1,1,1,1,1,0,1,1,1,1,0
109,0.275664036998871,0.198063419304487,AR,2023-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,NA,NA,AR,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,0.372960982558523,0.2640669831018375,AR,2023-06-07,1,1,1,1,1,1,1,1,0,1,1,1,1,0
117,0.38537122982757,0.2741324241098395,AR,2023-06-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,0.401410193532506,0.284319555773588,AR,2023-06-09,1,1,1,1,1,1,1,1,0,1,1,1,1,0
119,NA,NA,AR,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1.03506080201631,0.31547281183171,AR,2023-06-12,1,1,1,1,1,1,0,1,0,1,0,1,1,0
122,0.391359278749659,0.2753900647823655,AR,2023-06-13,1,1,1,1,1,1,1,1,0,1,1,1,1,0
123,0.378326805798022,0.26690744749371,AR,2023-06-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,NA,NA,AR,2023-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0.347258725864222,0.2505897552802685,AR,2023-06-16,1,1,1,1,1,1,1,1,0,1,1,1,1,0
126,NA,NA,AR,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.02035799088922,0.2949446910884265,AZ,2023-05-07,0,1,1,1,0,0,0,1,0,1,0,0,0,0
128,5.22381829356799,0.293022706798269,AZ,2023-05-08,0,0,1,0,1,0,0,0,0,1,0,0,0,0
129,6.98151938041927,0.1237170026931375,AZ,2023-05-09,1,0,1,0,1,0,0,1,0,1,0,0,0,0
130,4.2755810376287,0.1588489975322425,AZ,2023-05-10,0,0,1,1,1,1,0,1,0,1,0,0,1,0
131,0.296735846371441,0.069874460004544,AZ,2023-05-11,1,1,1,1,1,1,1,1,0,1,1,1,1,0
132,1.3998087173205,0.1686684065796325,AZ,2023-05-12,0,1,1,1,1,1,1,0,0,1,1,0,0,0
133,NA,NA,AZ,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,1.16967757001542,0.338096264711619,AZ,2023-05-14,1,0,1,1,1,1,1,1,0,1,1,1,1,0
135,3.95161959924204,0.220929348839328,AZ,2023-05-15,1,0,1,1,0,0,0,1,0,1,0,0,0,0
136,3.16409438452471,0.212954633979093,AZ,2023-05-16,1,0,1,1,1,0,0,1,0,0,0,1,0,0
137,2.28886446960978,0.1954857767580975,AZ,2023-05-17,1,1,1,1,1,1,0,1,0,1,0,0,1,0
138,0.978575489407472,0.252264241452486,AZ,2023-05-18,1,1,1,1,1,1,1,1,0,1,0,1,1,0
139,0.774395486619524,0.544352726087335,AZ,2023-05-19,1,1,1,0,1,1,1,1,1,1,0,1,1,0
140,1.57838674597034,0.53684653411821,AZ,2023-05-20,1,1,1,0,1,1,0,1,1,1,0,1,1,0
141,2.46226998936531,0.2290431600972325,AZ,2023-05-21,1,0,1,1,1,0,0,1,0,1,1,1,0,1
142,2.68593445775009,0.226050693732851,AZ,2023-05-22,1,1,1,0,1,1,0,1,0,1,0,0,1,0
143,2.6764820764642,0.2198893636009475,AZ,2023-05-23,0,0,1,1,1,1,0,0,0,1,0,1,0,0
144,1.41448702065364,0.281612041030905,AZ,2023-05-24,0,1,1,1,1,1,1,0,0,1,1,1,1,0
145,0.97564747208604,0.149493881308141,AZ,2023-05-25,1,1,1,1,1,1,0,1,1,1,1,1,1,1
146,1.07925246169141,0.2924681685272155,AZ,2023-05-26,1,1,1,0,1,1,1,1,1,1,0,1,1,0
147,1.03763582709881,0.164753336148359,AZ,2023-05-27,1,1,1,1,1,1,0,1,0,1,0,1,1,0
148,2.41307653104807,0.306336883804347,AZ,2023-05-28,0,1,1,1,1,1,0,0,0,1,0,0,1,0
149,2.54235641998749,0.335091706207128,AZ,2023-05-29,0,0,1,1,1,0,1,0,0,1,1,0,0,1
150,1.47910072224507,0.3509668977123595,AZ,2023-05-30,1,0,1,1,0,1,1,1,0,1,1,0,1,0
151,3.39954036979785,0.3015777682321295,AZ,2023-05-31,1,0,1,0,1,0,0,1,0,1,1,1,0,0
152,1.86659205437031,0.399278034711755,AZ,2023-06-01,1,1,1,0,1,1,1,1,0,1,0,1,1,0
153,0.997068738839753,0.340294718567642,AZ,2023-06-02,1,1,1,1,0,1,1,1,1,1,0,0,1,1
154,1.99801535318671,0.290930245111633,AZ,2023-06-03,1,0,1,1,1,1,0,1,0,1,0,1,1,1
155,1.44366507133972,0.2599514041644335,AZ,2023-06-04,1,1,1,1,1,1,0,1,0,1,0,1,1,0
156,1.61777262980671,0.288628579564298,AZ,2023-06-05,1,1,1,1,1,1,0,1,1,1,1,1,1,1
157,1.35542264286048,0.394777079916552,AZ,2023-06-06,1,0,1,1,1,1,1,1,0,1,0,0,1,0
158,1.7358639921984,0.339586575298742,AZ,2023-06-07,1,1,1,0,1,0,0,0,0,1,0,1,0,0
159,1.61548114332487,0.369794566726722,AZ,2023-06-08,1,1,1,0,1,0,1,1,0,1,1,1,0,0
160,1.31867964590481,0.4023720939855715,AZ,2023-06-09,0,1,1,1,1,1,1,0,0,1,1,0,1,1
161,1.10206987581886,0.4594521409245045,AZ,2023-06-10,1,1,0,1,1,1,1,1,0,0,0,1,1,1
162,2.72926409046758,0.319764770088444,AZ,2023-06-11,1,0,1,1,1,1,0,1,0,1,0,1,1,0
163,1.91517241054392,0.372108198813606,AZ,2023-06-12,0,0,1,1,1,1,1,0,0,1,1,1,1,1
164,2.248333415907,0.446252458226686,AZ,2023-06-13,0,0,1,1,1,0,1,0,0,1,0,0,0,0
165,2.60530101183782,0.308718472787109,AZ,2023-06-14,1,1,1,0,1,1,0,1,0,1,0,1,1,0
166,1.30292863828778,0.6041470623794,AZ,2023-06-15,1,1,1,1,0,0,1,1,0,1,1,0,0,0
167,2.52011460401281,0.3533396376352315,AZ,2023-06-16,1,0,1,1,1,1,0,1,0,1,0,1,1,0
168,0.425316270458597,0.30563345996716,AZ,2023-06-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,1.12770282172089,0.2702975086516205,CA,2023-05-07,1,1,1,1,1,1,1,1,1,1,0,0,1,0
170,9.46675343962789,0.364960384554218,CA,2023-05-08,1,1,1,0,1,0,0,1,0,1,0,0,0,0
171,5.52947156943015,0.194669417088926,CA,2023-05-09,1,0,1,1,1,0,0,0,0,1,1,0,0,0
172,3.51864503814195,0.285925628434247,CA,2023-05-10,1,1,1,0,0,0,0,0,1,1,0,0,0,0
173,3.80600772022013,0.288082513778312,CA,2023-05-11,0,1,1,1,1,0,0,0,0,1,0,0,0,0
174,1.6942306004336,0.2237594348483,CA,2023-05-12,0,1,0,1,1,1,1,0,0,0,0,1,1,0
175,1.48033684702354,0.4077568945347435,CA,2023-05-13,1,1,1,0,0,1,0,1,0,1,0,0,1,0
176,4.8857032637351,0.549923349084585,CA,2023-05-14,1,1,0,0,0,0,0,1,1,0,0,0,0,0
177,4.50313853938704,0.3511535540806635,CA,2023-05-15,1,0,1,1,1,1,0,1,0,1,0,0,1,0
178,1.41059900202192,0.234438019498789,CA,2023-05-16,1,1,1,1,1,1,1,1,0,1,1,0,1,0
179,2.02357215635021,0.3208857575369195,CA,2023-05-17,0,0,1,1,0,0,1,0,0,1,0,1,0,0
180,1.41439289710206,0.3215601662328085,CA,2023-05-18,1,1,1,1,1,1,1,1,0,1,0,0,1,0
181,2.30068252133257,0.243900430866591,CA,2023-05-19,0,0,1,1,1,1,0,0,0,0,0,0,1,0
182,1.16783248873609,0.115634630491296,CA,2023-05-20,1,1,1,1,1,1,0,1,1,1,0,1,1,0
183,1.05594209951408,0.444026202758986,CA,2023-05-21,0,1,1,1,1,1,1,0,1,1,1,0,1,1
184,1.45375431594677,0.2870947676686925,CA,2023-05-22,1,1,0,1,1,1,1,1,1,0,0,1,1,1
185,1.32261654501057,0.2825805721088865,CA,2023-05-23,1,1,1,1,1,1,1,0,1,1,0,1,1,0
186,1.52030135008721,0.2780023243076845,CA,2023-05-24,1,1,0,0,1,1,1,1,0,0,0,1,1,1
187,2.78694173691439,0.285117625199441,CA,2023-05-25,0,0,1,1,1,0,0,0,0,0,0,0,0,0
188,2.12722228747095,0.3315488254143565,CA,2023-05-26,0,1,1,1,1,0,1,0,0,1,0,1,0,0
189,1.0757178745513,0.309933267910668,CA,2023-05-27,1,1,1,0,1,1,1,1,0,1,0,0,1,0
190,1.37839707637053,0.407768038298082,CA,2023-05-28,0,1,1,1,1,1,0,0,1,1,0,1,1,0
191,1.7538160706886,0.47235403884727,CA,2023-05-29,0,1,1,1,1,1,0,0,0,1,0,0,1,0
192,3.08181245876354,0.298963694509858,CA,2023-05-30,0,0,1,1,1,1,0,1,1,1,0,0,1,0
193,2.4344240919236,0.3271706799181235,CA,2023-05-31,0,0,1,1,0,0,1,0,0,1,0,0,0,0
194,2.86057947918334,0.3280036197992565,CA,2023-06-01,0,1,1,0,1,1,0,0,0,1,0,0,1,0
195,1.65113202794494,0.376307266825876,CA,2023-06-02,1,1,1,1,0,0,1,0,0,1,0,0,0,0
196,1.70206967663053,0.315294636006526,CA,2023-06-03,0,1,1,0,1,1,0,0,0,1,0,1,1,0
197,2.20948171138928,0.4265646419485165,CA,2023-06-04,1,1,1,1,0,1,0,1,0,1,0,0,1,0
198,2.01906331890388,0.3160820561387315,CA,2023-06-05,1,0,1,1,1,1,0,1,1,1,1,0,1,0
199,2.52732866412214,0.420513854455567,CA,2023-06-06,1,0,1,1,0,0,1,1,0,1,1,0,0,0
200,1.64434446810085,0.390378017429268,CA,2023-06-07,0,1,1,1,1,0,1,0,0,1,1,0,0,1
201,1.14231000891665,0.362886573203064,CA,2023-06-08,1,1,1,1,1,1,1,1,1,1,0,1,1,0
202,3.84241066809806,0.4729237931899375,CA,2023-06-09,0,0,1,1,1,0,0,0,0,1,0,0,0,1
203,1.29845482462249,0.607182628782755,CA,2023-06-10,1,1,1,1,0,0,1,1,0,1,1,1,0,1
204,0.88967635996634,0.3546410004553405,CA,2023-06-11,1,1,1,1,1,1,1,1,0,1,0,0,1,1
205,2.32594592911492,0.387315081639805,CA,2023-06-12,0,0,1,0,1,0,0,0,0,1,0,0,0,0
206,2.4722314229649,0.345870409420446,CA,2023-06-13,1,0,1,1,1,1,0,1,0,1,1,0,1,0
207,4.48093987767123,0.4221436584982905,CA,2023-06-14,0,0,0,1,1,1,0,0,0,0,0,0,1,0
208,2.20729404983052,0.3817463769572545,CA,2023-06-15,0,0,1,1,1,1,0,0,0,1,0,1,1,0
209,2.74003863660724,0.425173965118461,CA,2023-06-16,0,0,0,1,1,0,1,0,1,0,0,0,0,0
210,1.44633104565842,0.4937076374001145,CA,2023-06-17,0,1,1,1,1,0,1,0,1,1,1,1,0,0
211,0.635119434728579,0.3478728970916315,CO,2023-05-07,1,1,1,0,1,1,1,1,0,1,1,1,1,0
212,0.9233322848807,0.65519888195265,CO,2023-05-08,1,0,1,1,1,1,1,1,0,0,1,1,1,1
213,0.611014242811989,0.3432341932803785,CO,2023-05-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,2.73366110605027,0.675311039199565,CO,2023-05-10,1,1,1,0,0,0,0,0,1,1,0,0,0,0
215,0.309709986104266,0.069874460004544,CO,2023-05-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
216,NA,NA,CO,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,0.589523726944968,0.0784458747031775,CO,2023-05-13,1,1,1,1,1,1,1,1,0,1,1,1,1,0
218,0.114603525343709,0.0830595454167325,CO,2023-05-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,0.906599368098002,0.1702978660938275,CO,2023-05-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220,0.549376988204089,0.3321547520324475,CO,2023-05-16,1,1,1,1,1,1,1,1,0,1,1,0,1,1
221,0.134778356605004,0.0982742525647005,CO,2023-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
222,1.0216694435865,0.4408860581724535,CO,2023-05-18,1,1,1,1,0,1,1,1,1,1,0,0,1,0
223,0.990132789749719,0.703472596211345,CO,2023-05-19,0,1,1,1,1,1,1,0,1,1,1,1,1,0
224,NA,NA,CO,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,0.163903632364938,0.1219115818972995,CO,2023-05-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
226,1.63314952872057,0.4713219431295445,CO,2023-05-22,1,1,1,1,0,1,1,1,1,1,0,0,1,1
227,0.522490138533545,0.135208444553061,CO,2023-05-23,1,1,1,1,1,1,1,1,0,1,1,1,1,0
228,NA,NA,CO,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,NA,CO,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,0.698248133142345,0.4956654324222175,CO,2023-05-26,1,1,1,0,1,1,1,1,1,1,0,1,1,0
231,NA,NA,CO,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,0.248185075525706,0.1727398248507215,CO,2023-05-28,1,1,1,1,1,1,1,0,1,1,1,1,1,0
233,0.255273693727447,0.180957778542039,CO,2023-05-29,1,1,1,1,1,1,1,1,0,1,1,1,1,0
234,0.270728205392355,0.1894012600333795,CO,2023-05-30,1,1,1,1,1,1,1,1,1,1,0,1,1,0
235,0.725423797343445,0.198063419304487,CO,2023-05-31,1,1,1,1,1,1,0,1,0,1,1,1,1,0
