"","es_score","brier_score","location","target_date","X24B_50_CI","X24C_50_CI","X24D_50_CI","X24E_50_CI","X24G_50_CI","other_50_CI","X24A_50_CI","X24B_95_CI","X24C_95_CI","X24D_95_CI","X24E_95_CI","X24G_95_CI","other_95_CI","X24A_95_CI"
"23",0.488690745499309,0.673656562409203,"AK",2024-07-22,1,1,1,1,1,1,1,1,0,1,1,0,1,1
"24",NA,NA,"AK",2024-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,"AK",2024-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,"AK",2024-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,"AK",2024-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,"AK",2024-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,"AK",2024-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,"AK",2024-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,"AK",2024-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,"AK",2024-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,"AK",2024-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",0.44843355833131,0.622088603728858,"AK",2024-08-02,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"35",NA,NA,"AK",2024-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,"AK",2024-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.982412022459502,0.577061328088862,"AK",2024-08-05,1,1,1,0,1,1,1,0,1,1,0,1,1,1
"38",NA,NA,"AK",2024-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",0.411933286084565,0.54718301174511,"AK",2024-08-07,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"40",NA,NA,"AK",2024-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",0.912528170875795,0.517560632940347,"AK",2024-08-09,1,1,1,0,1,1,1,1,0,1,0,0,1,1
"42",NA,NA,"AK",2024-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",0.525461033456555,0.748169946961894,"AL",2024-06-30,0,1,1,1,1,1,1,0,1,1,1,1,1,0
"44",NA,NA,"AL",2024-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,"AL",2024-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,"AL",2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,"AL",2024-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,"AL",2024-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,"AL",2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,"AL",2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,"AL",2024-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",0.540660491747851,0.761540390920529,"AL",2024-07-09,0,1,1,1,1,1,1,0,0,1,1,1,1,1
"53",NA,NA,"AL",2024-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,"AL",2024-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,"AL",2024-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,"AL",2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,"AL",2024-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,"AL",2024-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",0.616956620486544,0.864886532727347,"AL",2024-07-16,1,1,1,0,1,1,1,1,1,1,0,0,1,1
"60",0.56123831732491,0.794294427798537,"AL",2024-07-17,0,1,1,1,1,1,1,0,0,1,1,1,1,1
"61",NA,NA,"AL",2024-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,"AL",2024-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,"AL",2024-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,"AL",2024-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,"AL",2024-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,"AL",2024-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",0.53996797965708,0.754978430239765,"AL",2024-07-24,1,1,1,0,1,1,1,1,0,1,0,1,1,1
"68",NA,NA,"AL",2024-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",0.600796614227958,0.852830180485079,"AL",2024-07-26,0,1,1,1,1,1,1,0,1,1,1,0,1,1
"70",NA,NA,"AL",2024-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,"AL",2024-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,"AL",2024-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,"AL",2024-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,"AL",2024-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,"AL",2024-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",0.717366377335769,1.02107767923549,"AL",2024-08-02,1,1,1,1,1,1,0,1,1,1,1,0,1,0
"77",0.654642837995356,0.922230711463599,"AL",2024-08-03,0,1,1,1,1,1,1,0,1,1,1,0,1,1
"78",NA,NA,"AL",2024-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,"AL",2024-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,"AL",2024-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,"AL",2024-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",0.908508304837658,0.935648387187416,"AL",2024-08-08,1,1,1,1,1,1,1,0,0,1,0,0,1,1
"83",NA,NA,"AL",2024-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,"AL",2024-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,"AR",2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,"AR",2024-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,"AR",2024-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,"AR",2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,"AR",2024-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,"AR",2024-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,"AR",2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"AR",2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",0.510882655414792,0.731984302027636,"AR",2024-07-08,1,1,1,1,1,1,0,1,0,1,1,1,1,0
"94",0.538057617548871,0.761540390920529,"AR",2024-07-09,0,1,1,1,1,1,1,0,1,1,1,0,1,1
"95",0.539892998053768,0.764586624607538,"AR",2024-07-10,0,1,1,1,1,1,1,0,1,1,1,1,1,0
"96",NA,NA,"AR",2024-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,"AR",2024-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,"AR",2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2024-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,"AR",2024-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,"AR",2024-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",0.479790222738849,0.678006098234834,"AR",2024-07-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"103",NA,NA,"AR",2024-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",0.602562146740264,0.862305956687324,"AR",2024-07-19,1,1,1,1,0,1,1,1,0,1,1,0,1,1
"105",NA,NA,"AR",2024-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2024-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1.05001511151187,0.815590083956929,"AR",2024-07-22,0,1,1,1,1,1,1,0,1,1,0,0,1,0
"108",0.482255734374501,0.674065085686081,"AR",2024-07-23,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"109",1.13610509128494,0.802168976936671,"AR",2024-07-24,0,1,1,1,1,1,1,0,1,1,0,0,1,0
"110",NA,NA,"AR",2024-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",0.598822046825745,0.852830180485079,"AR",2024-07-26,0,1,1,1,1,1,1,0,0,1,1,1,1,1
"112",NA,NA,"AR",2024-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2024-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2.87119874676108,0.877050713857813,"AR",2024-07-29,0,1,1,1,1,1,1,0,1,1,1,0,1,0
"115",0.626749936235257,0.885616165325221,"AR",2024-07-30,0,1,1,1,1,1,1,0,0,1,1,1,1,1
"116",NA,NA,"AR",2024-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,"AR",2024-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,"AR",2024-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,"AR",2024-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2024-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",0.742914668576735,1.05413838401353,"AR",2024-08-05,1,1,1,1,1,1,0,0,1,1,1,1,1,0
"122",0.68720283198893,0.757067984701707,"AR",2024-08-06,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"123",0.512391069667683,0.734466454479045,"AR",2024-08-07,1,1,1,1,1,1,1,1,0,1,1,0,1,1
"124",NA,NA,"AR",2024-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",0.779047237875862,0.807810457178336,"AR",2024-08-09,1,1,1,1,1,1,0,1,0,1,0,1,1,1
"126",NA,NA,"AR",2024-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2.1456903994087,0.783229653412577,"AZ",2024-06-30,0,1,1,1,1,0,0,0,0,1,0,0,0,0
"128",5.57947625670983,0.797167463815249,"AZ",2024-07-01,0,1,1,0,0,1,0,0,0,1,0,0,0,0
"129",2.79355980882528,0.712603006690169,"AZ",2024-07-02,1,0,1,0,0,1,0,1,1,1,0,0,1,0
"130",NA,NA,"AZ",2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",1.16311713966517,0.734043607408616,"AZ",2024-07-04,1,0,1,1,1,1,1,1,0,1,1,0,1,0
"132",0.781199270241997,0.806837627472009,"AZ",2024-07-05,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"133",2.02632576012294,0.877506821943686,"AZ",2024-07-06,1,1,1,0,1,1,1,0,1,1,0,0,1,1
"134",0.846106838017012,0.755224741370813,"AZ",2024-07-07,1,1,1,1,1,1,1,0,0,1,0,1,1,0
"135",6.12071503290542,0.781082426547951,"AZ",2024-07-08,0,1,1,1,0,1,0,1,0,1,0,0,0,0
"136",5.01993854787141,0.75323777566043,"AZ",2024-07-09,1,0,1,0,0,1,1,0,0,0,0,0,1,0
"137",2.34253685919713,0.773644437955674,"AZ",2024-07-10,1,1,1,1,0,1,0,1,0,1,0,0,1,0
"138",0.709525790266787,0.790339402398937,"AZ",2024-07-11,1,1,1,1,1,1,1,0,0,0,0,0,1,1
"139",0.664060225400357,0.789923917784071,"AZ",2024-07-12,1,1,1,1,1,1,1,0,0,1,0,0,1,1
"140",NA,NA,"AZ",2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",0.77518780049164,0.827180951397021,"AZ",2024-07-14,1,1,1,1,1,1,1,0,0,1,1,0,1,0
"142",1.85216221894998,0.770688786920435,"AZ",2024-07-15,0,1,1,1,0,1,0,0,0,0,0,1,1,0
"143",1.71164382972084,0.788278400416198,"AZ",2024-07-16,0,1,1,1,0,1,1,0,1,1,0,1,1,0
"144",3.00580573731406,0.788848316668104,"AZ",2024-07-17,1,1,1,0,1,1,0,0,1,1,0,0,1,0
"145",3.82034046924652,0.829694657695193,"AZ",2024-07-18,0,0,1,1,1,1,0,0,0,1,0,0,1,0
"146",0.838110828945643,0.83100301323142,"AZ",2024-07-19,1,1,1,1,1,1,1,1,0,1,0,0,1,0
"147",1.10438604629982,0.792796873157044,"AZ",2024-07-20,0,1,1,1,1,1,1,0,0,1,1,1,1,0
"148",3.46670690207252,0.870772125686227,"AZ",2024-07-21,1,0,1,0,1,1,0,0,0,1,0,0,1,0
"149",4.40955449226239,0.809713213332639,"AZ",2024-07-22,1,1,1,0,1,1,0,0,1,1,0,0,1,0
"150",1.58593939783032,0.815087472813763,"AZ",2024-07-23,1,1,1,1,1,0,1,0,0,1,0,0,0,0
"151",4.46555672844233,0.840822465847051,"AZ",2024-07-24,0,0,1,0,1,1,0,0,1,1,0,0,1,0
"152",1.20347066321207,0.788908581806569,"AZ",2024-07-25,0,1,1,1,1,1,1,0,1,1,1,1,1,0
"153",1.14403543253522,0.829674474788289,"AZ",2024-07-26,1,1,1,1,1,1,0,0,0,1,1,0,1,0
"154",2.19083965190371,0.930497060214107,"AZ",2024-07-27,1,1,1,1,1,1,0,0,1,1,0,0,1,0
"155",1.76460154443546,0.818830182720586,"AZ",2024-07-28,0,1,1,1,1,0,1,0,0,1,0,1,0,0
"156",4.43181319360505,0.852528479732422,"AZ",2024-07-29,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"157",1.45299326850638,0.82427019262289,"AZ",2024-07-30,0,1,1,1,1,1,1,0,0,1,0,0,1,1
"158",2.49392710189679,0.730626602775823,"AZ",2024-07-31,1,0,1,1,0,1,1,0,0,1,0,1,1,1
"159",0.958672135409162,0.677659722769633,"AZ",2024-08-01,1,0,1,1,1,1,1,0,0,1,1,0,1,1
"160",0.640960647058386,0.912732669354427,"AZ",2024-08-02,0,1,1,1,1,1,1,0,1,1,0,1,1,1
"161",1.8342111034893,0.765380257927597,"AZ",2024-08-03,1,1,1,0,0,1,0,1,0,1,0,0,1,0
"162",1.68203135232565,0.896606270822622,"AZ",2024-08-04,0,1,1,0,1,1,1,1,1,1,0,1,1,0
"163",4.38954324343145,0.913885701833617,"AZ",2024-08-05,1,0,1,0,1,1,0,0,0,1,1,0,1,0
"164",5.48967663594838,0.847121822692542,"AZ",2024-08-06,1,1,1,1,0,1,0,0,0,1,0,0,1,0
"165",6.92908251389335,0.871356848121451,"AZ",2024-08-07,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"166",1.21936846043825,0.786886660881314,"AZ",2024-08-08,1,1,1,1,1,1,0,1,0,1,0,1,1,0
"167",2.1361119281728,0.793417838099331,"AZ",2024-08-09,1,1,1,1,0,1,0,1,0,1,1,1,1,0
"168",1.04243247453332,0.883228102331008,"AZ",2024-08-10,1,1,1,1,1,0,1,0,0,1,0,0,0,1
"169",5.78135831426112,0.750704094083562,"CA",2024-06-30,0,1,1,1,0,1,1,0,0,1,1,0,0,0
"170",15.524047400202,0.75287661607112,"CA",2024-07-01,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"171",7.79385648467736,0.790916368801061,"CA",2024-07-02,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"172",10.050786775418,0.791767071403059,"CA",2024-07-03,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"173",2.40414355272317,0.772856938293269,"CA",2024-07-04,1,0,1,1,1,1,1,0,0,1,0,0,1,1
"174",5.00699774976103,0.778072239282374,"CA",2024-07-05,0,1,1,0,1,1,0,0,0,0,1,0,0,0
"175",2.85602677720904,0.77448944360809,"CA",2024-07-06,1,1,1,0,1,1,0,1,0,0,0,0,1,0
"176",6.33676084537064,0.773705596334905,"CA",2024-07-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"177",7.25623576117698,0.797198531324324,"CA",2024-07-08,0,1,0,1,0,1,0,0,1,0,0,0,0,0
"178",10.7704283147004,0.789261270956618,"CA",2024-07-09,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"179",6.21631193366908,0.811581277512178,"CA",2024-07-10,1,0,1,0,1,1,1,0,0,0,0,0,1,1
"180",8.0726906525179,0.807845312458907,"CA",2024-07-11,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"181",4.67470836638295,0.790475593248596,"CA",2024-07-12,1,1,1,1,1,1,0,0,0,1,0,0,1,0
"182",3.48441725823366,0.810256241816275,"CA",2024-07-13,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"183",10.6476744446078,0.793086591709352,"CA",2024-07-14,1,1,1,1,0,1,0,0,0,0,1,0,0,0
"184",8.14960797989479,0.813058213468384,"CA",2024-07-15,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"185",12.5357094830449,0.824203290900868,"CA",2024-07-16,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"186",3.84039840386132,0.800193144734594,"CA",2024-07-17,1,1,1,1,1,1,0,0,1,0,0,0,1,0
"187",7.91009922145731,0.790854153125544,"CA",2024-07-18,0,0,1,0,1,1,0,0,0,1,0,0,0,0
"188",3.28085414076551,0.80614495720446,"CA",2024-07-19,1,1,1,1,0,1,0,0,1,0,0,1,1,1
"189",3.46846632331117,0.799292766136534,"CA",2024-07-20,1,1,1,1,0,0,1,0,0,0,0,0,0,0
"190",9.41972984952523,0.817629162127121,"CA",2024-07-21,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"191",12.7426311366599,0.808666371084221,"CA",2024-07-22,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"192",9.64910039213274,0.812223562542358,"CA",2024-07-23,1,1,1,0,1,1,0,1,1,0,0,0,1,0
"193",11.806125238441,0.838073000261342,"CA",2024-07-24,0,0,0,1,1,1,0,0,0,0,0,0,1,0
"194",8.87247975995102,0.834499096439663,"CA",2024-07-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"195",10.8603733893296,0.841741248949736,"CA",2024-07-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"196",6.27526960017411,0.820895256117163,"CA",2024-07-27,1,0,1,1,0,1,0,0,0,1,0,0,0,0
"197",4.89791099923901,0.775005998932252,"CA",2024-07-28,0,1,0,0,0,1,1,0,0,0,0,0,1,0
"198",9.47782946454005,0.851100740800493,"CA",2024-07-29,1,0,1,0,1,0,0,1,0,1,0,0,0,0
"199",9.49772685816868,0.826777106152896,"CA",2024-07-30,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"200",5.68575725659632,0.811539843486794,"CA",2024-07-31,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"201",10.7869462422821,0.821396307193297,"CA",2024-08-01,0,0,1,0,1,1,0,1,0,0,0,0,1,0
"202",6.88012692026489,0.829716871533208,"CA",2024-08-02,1,0,1,1,0,1,0,0,0,0,0,0,1,0
"203",2.72547291866702,0.787011000943038,"CA",2024-08-03,0,1,1,1,1,1,0,0,0,1,0,0,1,1
"204",15.4715217331047,0.839264386577236,"CA",2024-08-04,0,0,1,0,0,1,0,0,0,1,0,1,1,0
"205",26.7904490520385,0.862481059154065,"CA",2024-08-05,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"206",12.0178887541148,0.843932584050145,"CA",2024-08-06,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"207",16.5522846974816,0.855850417225247,"CA",2024-08-07,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"208",7.3162950392427,0.83516015339273,"CA",2024-08-08,0,1,1,0,1,1,0,0,1,1,0,0,1,0
"209",9.95831721796942,0.822867597072699,"CA",2024-08-09,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"210",15.1853264405222,0.891633552919754,"CA",2024-08-10,1,0,1,0,1,1,0,0,0,1,0,0,1,0
"211",NA,NA,"CO",2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",0.535968696807894,0.748389185485766,"CO",2024-07-01,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"213",NA,NA,"CO",2024-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,NA,"CO",2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,"CO",2024-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",0.512916068236123,0.727705425773378,"CO",2024-07-05,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"217",NA,NA,"CO",2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,"CO",2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",0.50839020300737,0.71056853106361,"CO",2024-07-08,1,0,1,1,1,1,1,0,0,1,1,1,1,1
"220",NA,NA,"CO",2024-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",0.496926290892953,0.700793796621685,"CO",2024-07-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"222",0.802705469462611,0.847886462645406,"CO",2024-07-11,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"223",0.653246372867656,0.9156267073222,"CO",2024-07-12,1,1,1,0,1,1,1,1,1,1,0,0,1,1
"224",NA,NA,"CO",2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,"CO",2024-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",0.794663791508648,0.810665779089466,"CO",2024-07-15,1,1,1,1,1,1,1,0,0,1,0,0,1,1
"227",1.3185824401365,0.868779210594374,"CO",2024-07-16,1,1,1,1,0,1,1,0,0,1,1,0,1,1
"228",0.799433504129394,0.852827878052745,"CO",2024-07-17,1,1,1,1,1,1,1,1,0,1,1,0,1,0
