...1,es_score,brier_score,location,target_date,X21L_50_CI,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23H_50_CI,X23I_50_CI,X24A_50_CI,other_50_CI,X23F_50_CI,X21L_95_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23H_95_CI,X23I_95_CI,X24A_95_CI,other_95_CI,X23F_95_CI
27,NA,NA,AK,2023-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2024-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2024-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.0465918031353829,0.0333239327881812,AK,2024-01-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0.87293531794603,0.287952432934292,AK,2024-01-05,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
35,NA,NA,AK,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.0353916701390687,0.0255073609575547,AK,2024-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,0.218428750995056,0.0242958889802626,AK,2024-01-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,0.104515933540163,0.02334035591627685,AK,2024-01-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,0.0306138203352719,0.02262438493288185,AK,2024-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,NA,NA,AK,2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.771864313094788,0.543040916610125,AL,2023-12-03,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
44,NA,NA,AL,2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2023-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.789700883652766,0.55760389769828,AL,2023-12-07,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
48,NA,NA,AL,2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.4095356424555,0.2925351383789565,AL,2023-12-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
52,NA,NA,AL,2023-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2023-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2023-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1.03854799967232,0.501302958312385,AL,2023-12-15,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
56,NA,NA,AL,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.923992962982462,0.65444308794995,AL,2023-12-18,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
59,NA,NA,AL,2023-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2023-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2023-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2023-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2023-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2023-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2023-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0.829988617756762,0.592824509347175,AL,2023-12-28,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
69,NA,NA,AL,2023-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.0564610621778846,0.03936688140345535,AL,2024-01-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
74,1.64267025534059,0.740116900525805,AL,2024-01-03,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0
75,0.0473607817593427,0.0333239327881812,AL,2024-01-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
76,NA,NA,AL,2024-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,0.886005732063053,0.2892674120267845,AL,2024-01-07,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
79,NA,NA,AL,2024-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2024-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2024-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,0.317518776403876,0.224522003963529,AR,2023-12-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
88,NA,NA,AR,2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,1.62987344073634,0.56621512022583,AR,2023-12-07,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
90,NA,NA,AR,2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,0.387867359246282,0.279197417046499,AR,2023-12-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,NA,NA,AR,2023-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,0.80286736670405,0.4120038426418885,AR,2023-12-12,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0
95,0.82502918287386,0.587144236779665,AR,2023-12-13,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
96,1.92679528888115,0.3622188921676465,AR,2023-12-14,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0
97,0.282105977758594,0.1966501675139475,AR,2023-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
98,NA,NA,AR,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2.31274026412277,0.593542885013825,AR,2023-12-18,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1
101,1.58261326051952,0.496516121586572,AR,2023-12-19,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0
102,NA,NA,AR,2023-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,2.43433694933455,0.513838817460025,AR,2023-12-21,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0
104,1.42988149938891,0.480675926135384,AR,2023-12-22,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
105,NA,NA,AR,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2023-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2023-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0.810188197018662,0.387275792126262,AR,2023-12-27,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
110,2.22712245749073,0.4602811303830165,AR,2023-12-28,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
111,NA,NA,AR,2023-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,0.0533793776909285,0.03936688140345535,AR,2024-01-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,0.322997051058266,0.03614391360446455,AR,2024-01-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
117,1.25336038761472,0.334591458834957,AR,2024-01-04,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1
118,0.0443898019104219,0.03087714554063675,AR,2024-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,NA,NA,AR,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,1.18149282708975,0.827627262597765,AR,2024-01-10,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
124,0.103876151960685,0.02262438493288185,AR,2024-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,1.02107174703693,0.4281019056264715,AR,2024-01-12,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
126,NA,NA,AR,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,3.41885176546363,0.337770393719665,AZ,2023-12-03,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1
128,2.23331793952622,0.3648152885888985,AZ,2023-12-04,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
129,5.8344239626796,0.3199521731629745,AZ,2023-12-05,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0
130,3.80603681735874,0.41613609899448,AZ,2023-12-06,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
131,2.22599324612154,0.3193421888766565,AZ,2023-12-07,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
132,1.03350484318647,0.3573326127613165,AZ,2023-12-08,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
133,1.47074419626132,0.266658388455915,AZ,2023-12-09,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0
134,1.22638542515499,0.493264253622881,AZ,2023-12-10,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0
135,2.6892198094938,0.423171825379976,AZ,2023-12-11,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0
136,4.95496795410114,0.52767304329305,AZ,2023-12-12,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0
137,5.06401429246248,0.4763432249742375,AZ,2023-12-13,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0
138,3.11829857042339,0.4642423567617195,AZ,2023-12-14,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
139,1.69235171776815,0.418752225708125,AZ,2023-12-15,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0
140,1.41265308393248,0.3740154968764045,AZ,2023-12-16,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1
141,3.12303291116876,0.333033449125751,AZ,2023-12-17,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0
142,10.105748916399,0.448964374214188,AZ,2023-12-18,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
143,2.22700138670135,0.353175022033089,AZ,2023-12-19,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0
144,1.1257703900242,0.3493210421389535,AZ,2023-12-20,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0
145,3.47362290047671,0.470325681477803,AZ,2023-12-21,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
146,1.4047117708405,0.419681663203127,AZ,2023-12-22,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0
147,2.12833509468199,0.456244337775213,AZ,2023-12-23,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0
148,2.14382302117085,0.328704404600986,AZ,2023-12-24,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1
149,1.3640590922656,0.3172849610998755,AZ,2023-12-25,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0
150,2.14552288445362,0.298957229447305,AZ,2023-12-26,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
151,2.10371777326826,0.3264855618525125,AZ,2023-12-27,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0
152,1.71655534683089,0.3464740446136585,AZ,2023-12-28,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0
153,0.988992204659319,0.3689424556067475,AZ,2023-12-29,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
154,0.232988764062686,0.0517721286643695,AZ,2023-12-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,0.497128825441865,0.1465751497857125,AZ,2023-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
156,4.85189396823774,0.3182549306545735,AZ,2024-01-01,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0
157,7.14760349399338,0.319408459048622,AZ,2024-01-02,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
158,1.72007887295052,0.345887719764051,AZ,2024-01-03,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1
159,0.760026315771266,0.2193655605505545,AZ,2024-01-04,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
160,0.572326620046618,0.2589317215753325,AZ,2024-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
161,0.561344517623177,0.1160503674423555,AZ,2024-01-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,0.688091452762038,0.0269935454407338,AZ,2024-01-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,1.11640740150657,0.1654538497590585,AZ,2024-01-08,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0
164,1.52903666264341,0.188522988530816,AZ,2024-01-09,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
165,0.110406760488282,0.02334035591627685,AZ,2024-01-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,2.75965483769529,0.3630310892809305,AZ,2024-01-11,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0
167,1.33100343742542,0.239088699738659,AZ,2024-01-12,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
168,0.842016532284664,0.1573935515364405,AZ,2024-01-13,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
169,1.82207002885669,0.307026792432048,CA,2023-12-03,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
170,5.38420815882974,0.390033255995606,CA,2023-12-04,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
171,3.17071203560997,0.345776656112452,CA,2023-12-05,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0
172,2.43868507195388,0.4036422706214075,CA,2023-12-06,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
173,2.20903116551682,0.4915863333068665,CA,2023-12-07,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0
174,1.22965261373392,0.41353879828446,CA,2023-12-08,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
175,1.37490787824342,0.407708410302767,CA,2023-12-09,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1
176,2.4450734128137,0.4048923188670055,CA,2023-12-10,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1
177,5.10351141910769,0.3660682105694835,CA,2023-12-11,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0
178,3.39596636082227,0.3530423995481625,CA,2023-12-12,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0
179,10.5750838078646,0.386820588011916,CA,2023-12-13,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0
180,1.50847793131954,0.3612308217662075,CA,2023-12-14,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0
181,2.45578963008363,0.389247831750863,CA,2023-12-15,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
182,1.84584516549838,0.2983507422255005,CA,2023-12-16,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
183,0.650502729249418,0.2564305527421805,CA,2023-12-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184,2.00073741126551,0.314807808034476,CA,2023-12-18,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1
185,1.67849140586686,0.316977937239814,CA,2023-12-19,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0
