...1,es_score,brier_score,location,target_date,X24B_50_CI,X24C_50_CI,X24D_50_CI,X24G_50_CI,other_50_CI,X24A_50_CI,X24B_95_CI,X24C_95_CI,X24D_95_CI,X24G_95_CI,other_95_CI,X24A_95_CI
43,NA,NA,AL,2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2024-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,AL,2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1.69107565299779,0.4842801511684945,AL,2024-05-06,1,0,1,1,1,1,0,0,0,1,1,1
52,NA,NA,AL,2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2024-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2024-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2024-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2024-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2024-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2024-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2024-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2024-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2024-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2024-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2024-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2024-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,0.230168843285238,0.15757155372855,AR,2024-05-08,1,1,1,1,1,1,1,1,1,1,1,1
96,NA,NA,AR,2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2024-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2024-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2024-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2024-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2024-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.604791207700101,0.0761187631299405,AZ,2024-04-28,1,1,1,1,1,1,0,1,1,1,1,0
128,0.733823273690851,0.2967779051358795,AZ,2024-04-29,1,0,1,1,1,1,0,0,0,0,1,0
129,1.6942445075193,0.337139880357023,AZ,2024-04-30,0,0,1,1,1,1,0,0,1,1,1,0
130,0.413385096133404,0.096237805170878,AZ,2024-05-01,1,1,1,1,1,1,0,1,1,1,1,0
131,0.432462578105983,0.103760112094526,AZ,2024-05-02,1,1,1,1,1,1,0,1,1,1,1,0
132,0.790399669157141,0.111698417271235,AZ,2024-05-03,1,1,1,1,1,0,0,1,1,1,1,0
133,NA,NA,AZ,2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,NA,NA,AZ,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,1.74885898254828,0.1380071117869315,AZ,2024-05-06,0,1,1,1,1,0,0,1,0,0,1,0
136,1.40885173856436,0.1475928763547885,AZ,2024-05-07,0,1,1,1,1,0,0,0,0,1,1,0
137,2.57616408562001,0.182742123843941,AZ,2024-05-08,0,1,1,1,1,0,0,1,1,0,1,0
138,0.353756097346839,0.2354000590496795,AZ,2024-05-09,1,1,1,1,1,1,0,1,1,1,1,0
139,1.06321470873397,0.342303421989779,AZ,2024-05-10,1,1,1,1,1,1,0,1,1,1,1,0
140,0.982662535718166,0.481104237429276,AZ,2024-05-11,1,0,1,1,1,1,0,1,1,1,1,0
141,0.296939055717049,0.201089661284287,AZ,2024-05-12,1,1,1,1,1,1,0,1,1,1,1,0
142,1.59398329688829,0.4588782759291325,AZ,2024-05-13,0,1,0,1,1,1,0,0,0,0,1,0
143,1.04172876861162,0.348911886795431,AZ,2024-05-14,1,0,1,1,1,1,0,0,1,1,1,1
144,1.07556600753068,0.3548806317308405,AZ,2024-05-15,0,0,1,1,1,1,1,0,1,0,1,1
145,0.831864727563591,0.584762157233325,AZ,2024-05-16,1,0,1,1,1,1,1,0,1,1,1,0
146,0.389008219420277,0.2772089824746755,AZ,2024-05-17,1,1,1,1,1,1,0,1,1,1,1,0
147,0.406571097232508,0.27440792828589,AZ,2024-05-18,1,1,1,1,1,1,1,0,1,1,1,0
148,0.411955333531826,0.287150487367647,AZ,2024-05-19,1,1,1,1,1,1,1,1,1,0,1,0
149,0.805937214928636,0.56289511419047,AZ,2024-05-20,1,0,1,1,1,1,0,0,1,1,1,1
150,1.04527407038066,0.3127497266076405,AZ,2024-05-21,1,1,1,1,1,0,1,0,1,0,1,0
151,0.878593860455457,0.4395638747046765,AZ,2024-05-22,1,0,1,1,1,1,0,0,1,1,1,0
152,NA,NA,AZ,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,0.50872849681902,0.3508710939736065,AZ,2024-05-24,1,1,1,1,1,1,1,1,1,0,1,0
154,NA,NA,AZ,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,0.873391499578697,0.3453541851532755,AZ,2024-05-26,1,1,1,1,1,1,0,1,1,0,1,1
156,2.05948658481309,0.498878493757974,AZ,2024-05-27,0,1,0,1,1,1,0,1,0,1,1,0
157,3.00696014621702,0.4657448511185115,AZ,2024-05-28,0,0,1,1,1,0,0,0,1,0,1,0
158,1.1470124680186,0.448811029988257,AZ,2024-05-29,1,1,1,1,0,1,0,1,1,1,0,0
159,0.29613049326686,0.2092254236942975,AZ,2024-05-30,1,1,1,1,1,1,0,1,1,0,1,1
160,NA,NA,AZ,2024-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,0.553293087408288,0.326393745579985,AZ,2024-06-01,1,1,1,1,1,1,1,0,1,1,1,0
162,2.38980258862748,0.5196497797229,AZ,2024-06-02,0,0,1,1,1,1,0,0,1,0,1,1
163,2.02537411019197,0.3780082060567405,AZ,2024-06-03,1,0,1,0,1,1,0,0,1,0,1,0
164,3.03255990972865,0.4726398714386735,AZ,2024-06-04,0,0,1,0,1,0,0,0,1,1,1,0
165,1.40539856133942,0.353447155649206,AZ,2024-06-05,1,1,1,0,1,0,0,1,1,0,1,1
166,4.5185179799791,0.441957904599997,AZ,2024-06-06,0,1,1,0,1,0,0,0,0,0,1,0
167,1.53909712024451,0.51230157090285,AZ,2024-06-07,1,0,1,1,1,1,0,0,1,1,1,1
168,3.52540955838249,0.53324380595981,AZ,2024-06-08,0,1,1,0,0,0,0,1,1,0,0,0
169,5.47380600225278,0.517080669796545,CA,2024-04-28,1,0,0,1,1,0,1,0,0,0,1,0
170,1.06099942462697,0.221211550420586,CA,2024-04-29,1,1,1,1,0,1,1,1,1,1,0,0
171,2.30227413282882,0.3218141867281395,CA,2024-04-30,1,1,0,1,0,1,1,0,1,1,0,0
172,1.60929904988632,0.325406082156585,CA,2024-05-01,1,1,0,1,1,1,0,1,0,1,1,0
173,1.18932699255238,0.2768916110655965,CA,2024-05-02,1,1,0,1,1,1,0,1,0,0,1,1
174,3.34252763094233,0.2358103436262785,CA,2024-05-03,0,1,0,1,1,0,0,0,0,1,1,0
175,1.53571642558805,0.2124277209281585,CA,2024-05-04,0,1,1,1,1,0,0,0,0,1,1,0
176,1.69786168366439,0.1661397293014395,CA,2024-05-05,1,1,1,1,1,0,0,0,1,0,1,0
177,3.78392718952282,0.2502520162939145,CA,2024-05-06,0,1,0,1,1,0,0,0,0,0,1,0
178,8.95092362878948,0.438483537838272,CA,2024-05-07,0,0,1,0,1,0,0,0,1,0,1,0
179,2.77177411833344,0.2811457148692075,CA,2024-05-08,0,1,0,1,1,0,0,1,0,0,1,0
180,3.4288631754929,0.3144997132051725,CA,2024-05-09,0,0,1,1,1,1,0,0,1,0,0,0
181,1.63895449185362,0.326901941029493,CA,2024-05-10,1,1,1,1,0,1,1,0,0,0,0,0
182,4.67301362125919,0.408985766862154,CA,2024-05-11,0,0,1,1,0,0,0,0,0,0,0,0
183,5.38201084034775,0.387419928494855,CA,2024-05-12,1,0,1,0,1,0,0,0,0,0,1,0
184,3.40758704752239,0.419701489840906,CA,2024-05-13,0,0,1,1,0,1,0,0,1,0,0,1
185,10.4895504816847,0.4201293616284225,CA,2024-05-14,0,0,0,1,0,1,0,0,1,1,0,0
186,3.21394501200383,0.343400756605719,CA,2024-05-15,1,0,1,0,0,1,0,0,0,0,0,1
187,5.56966291730245,0.3161755724392305,CA,2024-05-16,0,0,1,0,1,0,0,1,0,1,1,0
188,4.78804009500842,0.312002769653349,CA,2024-05-17,0,1,1,1,0,0,1,0,0,0,0,0
189,4.56437222051869,0.30761560571305,CA,2024-05-18,0,1,1,1,1,0,0,1,0,1,1,0
190,5.38826677248152,0.4080898074584435,CA,2024-05-19,0,0,1,0,1,1,0,0,0,0,1,0
191,6.09371381847697,0.2800418050334255,CA,2024-05-20,1,0,1,0,1,0,0,0,0,0,1,0
192,11.6597175729865,0.3639651422435635,CA,2024-05-21,0,0,1,0,0,0,0,0,0,0,0,0
193,11.5957942343648,0.3554213304492175,CA,2024-05-22,0,1,0,0,0,0,0,0,0,0,0,0
194,5.58130714988787,0.329536501088157,CA,2024-05-23,1,0,0,0,1,0,0,0,0,0,1,0
195,8.04566593267954,0.3997717386323205,CA,2024-05-24,0,1,1,0,0,0,0,0,0,0,0,0
196,3.41019514223976,0.3430064964294275,CA,2024-05-25,1,1,1,0,0,0,0,1,0,0,0,0
197,8.91599719076762,0.4251528026017955,CA,2024-05-26,0,1,1,1,0,0,0,0,0,1,0,0
198,8.43165708271438,0.3815550837087145,CA,2024-05-27,0,0,1,0,0,0,0,0,0,0,0,0
199,11.691044917166,0.3863924374507615,CA,2024-05-28,0,0,1,0,0,0,0,0,0,0,0,0
200,6.89725512262781,0.3773670766024455,CA,2024-05-29,0,0,0,0,1,0,0,0,0,0,1,0
201,8.26185035232703,0.4028623968382255,CA,2024-05-30,0,0,0,0,0,1,0,0,0,0,0,0
202,24.7332784054178,0.4306689388959875,CA,2024-05-31,0,0,1,0,0,0,0,0,0,0,0,0
203,3.96750739376397,0.3790930689830625,CA,2024-06-01,1,0,1,0,1,1,0,0,0,0,1,0
204,7.54182638020391,0.406834438011641,CA,2024-06-02,0,0,1,0,0,1,0,0,1,0,0,0
205,13.4779787643707,0.423882349761662,CA,2024-06-03,0,0,1,0,0,0,0,0,0,0,0,0
206,15.4768614339209,0.425859699637282,CA,2024-06-04,0,0,1,0,0,0,0,0,0,0,0,0
207,28.5271995494316,0.451421278765731,CA,2024-06-05,0,0,0,0,0,0,0,0,0,0,0,0
208,30.2309422964842,0.4293509632569095,CA,2024-06-06,0,0,0,0,0,0,0,0,0,0,0,0
209,13.8848757946238,0.3708456183257655,CA,2024-06-07,1,0,0,0,1,0,0,0,0,0,1,0
210,11.442473267697,0.4931399505882265,CA,2024-06-08,0,0,0,0,0,0,0,0,0,0,0,0
211,NA,NA,CO,2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.115800416720837,0.082424143912313,CO,2024-04-29,1,1,1,1,1,1,1,1,1,1,1,1
213,NA,NA,CO,2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,NA,CO,2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,NA,CO,2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,NA,CO,2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,NA,CO,2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,0.572494198442898,0.4126498415316645,CO,2024-05-06,1,1,1,1,1,1,0,1,1,1,1,0
220,NA,NA,CO,2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,NA,NA,CO,2024-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,NA,NA,CO,2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,0.263465016681212,0.1786488704650755,CO,2024-05-10,1,1,1,1,1,1,1,1,1,1,1,1
224,NA,NA,CO,2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,0.303063250978346,0.212761227181156,CO,2024-05-13,1,1,1,1,1,1,0,1,1,1,1,0
227,NA,NA,CO,2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,0.347712504579829,0.2368621876193925,CO,2024-05-15,1,1,1,1,1,1,0,1,1,1,1,0
229,NA,NA,CO,2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,NA,NA,CO,2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,NA,NA,CO,2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,0.754529236716821,0.544073274222495,CO,2024-05-20,1,1,1,0,1,1,1,1,1,0,1,0
234,NA,NA,CO,2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,0.878503489786799,0.4395638747046765,CO,2024-05-22,1,0,1,1,1,1,0,0,1,1,1,0
236,NA,NA,CO,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,0.515517018903558,0.3508710939736065,CO,2024-05-24,1,1,1,1,1,1,1,1,1,0,1,0
238,NA,NA,CO,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,CO,2024-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,NA,NA,CO,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,NA,NA,CO,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,0.576387358679268,0.411402325810654,CO,2024-05-29,1,1,1,1,1,0,1,0,1,1,1,0
243,NA,NA,CO,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,NA,NA,CO,2024-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,NA,NA,CO,2024-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,CO,2024-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,NA,NA,CO,2024-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,0.330296846441966,0.2103436543359815,CO,2024-06-04,1,1,1,1,1,1,1,1,1,1,1,1
249,0.800341600845981,0.2121219385648185,CO,2024-06-05,0,1,1,1,1,1,0,1,1,0,1,1
250,0.71412630079617,0.493999931010855,CO,2024-06-06,1,1,1,1,1,0,1,1,0,1,1,0
251,NA,NA,CO,2024-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,NA,NA,CO,2024-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,NA,NA,CT,2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,NA,NA,CT,2024-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,NA,NA,CT,2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,0.677639520182778,0.487906462154662,CT,2024-05-01,1,1,1,1,1,1,0,1,1,1,1,0
