...1,es_score,brier_score,location,target_date,X22D_50_CI,X22F_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23G_50_CI,other_50_CI,X23A_50_CI,X22D_95_CI,X22F_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23G_95_CI,other_95_CI,X23A_95_CI
32,NA,NA,AK,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2023-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.0446281676101346,0.0311047472639009,AL,2023-04-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,NA,NA,AL,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,0.682186611730163,0.357095188910218,AL,2023-05-03,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
54,NA,NA,AL,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2023-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2023-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2023-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,0.461482836490198,0.3094236695684645,AL,2023-05-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,NA,NA,AL,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.235900961962193,0.1617488105891545,AL,2023-05-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,NA,NA,AL,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2023-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.863795645402868,0.2432315043628315,AL,2023-05-31,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
82,NA,NA,AL,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.0309149205475917,0.0238048753578882,AR,2023-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,0.0333513559546585,0.0254410182136369,AR,2023-04-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,NA,NA,AR,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,0.336674225468254,0.03806992915574285,AR,2023-04-30,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
93,NA,NA,AR,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1.12357495512748,0.78845107597,AR,2023-05-02,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1
95,0.0647963662016859,0.0465745070930207,AR,2023-05-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,NA,NA,AR,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.89025477717778,0.62835967416075,AR,2023-05-08,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
101,0.297723203020336,0.069253829819084,AR,2023-05-09,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
102,1.8677965825995,0.519701927532895,AR,2023-05-10,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0
103,NA,NA,AR,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,1.047885339399,0.1617488105891545,AR,2023-05-23,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
116,NA,NA,AR,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,0.271605258211408,0.1899624213601045,AR,2023-05-26,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
119,NA,NA,AR,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.534435123443683,0.366240838692314,AR,2023-05-29,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
122,0.515120459316455,0.3553674059852645,AR,2023-05-30,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
123,0.346911154646201,0.2432315043628315,AR,2023-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,NA,NA,AR,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.4772328494452,0.0816364557776795,AZ,2023-04-23,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
128,2.52929280541727,0.0564168673515295,AZ,2023-04-24,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0
129,1.7314630249924,0.1349665395775385,AZ,2023-04-25,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
130,2.72266290605962,0.1028828745209565,AZ,2023-04-26,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
131,1.21862911821251,0.083760982891712,AZ,2023-04-27,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
132,1.19068042976031,0.0332706223566502,AZ,2023-04-28,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
133,0.658210883643576,0.03558940640845065,AZ,2023-04-29,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
134,1.37980295154026,0.201583786212028,AZ,2023-04-30,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
135,2.96981661596426,0.1050587735898965,AZ,2023-05-01,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0
136,3.2281974213442,0.2072064761550365,AZ,2023-05-02,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0
137,2.89313308328834,0.149639431691723,AZ,2023-05-03,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0
138,2.10102910122528,0.0943417556306375,AZ,2023-05-04,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
139,1.21246561571279,0.2445053468522565,AZ,2023-05-05,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0
140,1.45410321357717,0.0568780135980415,AZ,2023-05-06,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0
141,2.00524075630542,0.2948064620372735,AZ,2023-05-07,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0
142,5.33865816555766,0.2943502626414375,AZ,2023-05-08,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
143,7.5855890304147,0.1288289181855035,AZ,2023-05-09,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
144,4.85157761814258,0.1644468973967065,AZ,2023-05-10,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0
145,0.328972191150462,0.0787919597638255,AZ,2023-05-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,1.51027341423284,0.1764506835431625,AZ,2023-05-12,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0
147,NA,NA,AZ,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,1.07282838995984,0.324937722608659,AZ,2023-05-14,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0
149,4.97583164458126,0.22707690989766,AZ,2023-05-15,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
150,3.81618747819175,0.2222252067120535,AZ,2023-05-16,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0
151,2.75074640935742,0.20272056618525,AZ,2023-05-17,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0
152,0.927811645143485,0.2486505826487285,AZ,2023-05-18,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
153,0.76599300744023,0.536798692839205,AZ,2023-05-19,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
154,1.56499247735189,0.529709044032955,AZ,2023-05-20,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
155,2.94548535198379,0.2443328716721575,AZ,2023-05-21,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0
156,3.27632983444138,0.237597717843706,AZ,2023-05-22,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0
157,3.15534760534315,0.2399329658357965,AZ,2023-05-23,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0
158,1.84823719930296,0.2904350061135765,AZ,2023-05-24,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0
159,1.13517370793755,0.1802277761920335,AZ,2023-05-25,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
160,1.27432767940917,0.3113119868194685,AZ,2023-05-26,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
161,1.21408198677949,0.200017807661477,AZ,2023-05-27,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0
162,3.11371032535785,0.317755090218354,AZ,2023-05-28,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0
163,2.98847671229722,0.3564591220584305,AZ,2023-05-29,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1
164,1.81971389222321,0.365051801315458,AZ,2023-05-30,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0
165,3.79198121958154,0.332041155008449,AZ,2023-05-31,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0
166,1.95210383101593,0.416681837955282,AZ,2023-06-01,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
167,1.11818551376713,0.3710576826304425,AZ,2023-06-02,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0
168,2.53465407089732,0.332213177902881,AZ,2023-06-03,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0
169,2.10152789409009,0.271855958758136,CA,2023-04-23,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0
170,2.15525338589598,0.156975537522177,CA,2023-04-24,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
171,7.08651225449007,0.2441160943990215,CA,2023-04-25,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
172,4.22252533664939,0.14053606131349,CA,2023-04-26,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0
173,1.78299613095533,0.1680624149673515,CA,2023-04-27,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
174,2.14105731699738,0.1779531370578175,CA,2023-04-28,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
175,6.2064054907166,0.2820597639608745,CA,2023-04-29,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
176,2.81991567257006,0.188850060259342,CA,2023-04-30,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0
177,5.49455907529235,0.2503902258130125,CA,2023-05-01,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0
178,7.29709804477138,0.2795549594725615,CA,2023-05-02,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
179,2.49841661809723,0.1919776769082225,CA,2023-05-03,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0
180,1.57930229487621,0.232998177680696,CA,2023-05-04,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0
181,5.18037207287955,0.2065300091581415,CA,2023-05-05,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0
182,2.43180263816306,0.1939021599637225,CA,2023-05-06,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0
183,1.09409601696834,0.2694643778359875,CA,2023-05-07,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
184,9.24791224909514,0.362628217705932,CA,2023-05-08,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
185,6.47024281704073,0.1982948629696705,CA,2023-05-09,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
186,3.56622732293887,0.2861278383019905,CA,2023-05-10,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1
187,3.15449710438723,0.286965222847304,CA,2023-05-11,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
188,1.9325662459525,0.2277238098712475,CA,2023-05-12,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0
189,1.48191574457962,0.4070800043907,CA,2023-05-13,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0
190,4.85919574397119,0.542040563275045,CA,2023-05-14,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
191,3.8808295355626,0.340876221882539,CA,2023-05-15,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0
192,1.723964898476,0.2376412243146465,CA,2023-05-16,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
193,2.22257499274456,0.3244031163058065,CA,2023-05-17,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
194,1.26743720902506,0.318912119007715,CA,2023-05-18,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
195,2.77796041440427,0.2555821273227665,CA,2023-05-19,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0
196,1.30762039918168,0.1365639723536775,CA,2023-05-20,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
197,0.983135552944613,0.4305583053403415,CA,2023-05-21,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
198,1.62679442148918,0.288884513185944,CA,2023-05-22,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
199,2.02125610690492,0.289701790866749,CA,2023-05-23,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
200,1.64426921699583,0.2829535973769235,CA,2023-05-24,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0
201,3.54959374657647,0.3001062243261555,CA,2023-05-25,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
202,2.49030146396651,0.3373395887492305,CA,2023-05-26,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0
203,1.1324740085292,0.31183144949082,CA,2023-05-27,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
204,1.29057173778803,0.3994668671609415,CA,2023-05-28,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0
205,1.6521804303248,0.4652210839370665,CA,2023-05-29,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0
206,4.43118720963014,0.3172661812028995,CA,2023-05-30,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0
207,3.87574037418941,0.3414013550209015,CA,2023-05-31,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
208,4.00582963011978,0.342829985672502,CA,2023-06-01,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0
209,1.98520281598218,0.386322657606556,CA,2023-06-02,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0
210,2.10100541942272,0.3323993843622545,CA,2023-06-03,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0
211,NA,NA,CO,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.80065442400128,0.1826710204974645,CO,2023-04-24,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
213,0.914064277833537,0.292322298438617,CO,2023-04-25,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
214,0.267564258123553,0.02908326245811155,CO,2023-04-26,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
215,NA,NA,CO,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
