...1,es_score,brier_score,location,target_date,X24B_50_CI,X24C_50_CI,recombinant_50_CI,other_50_CI,X24A_50_CI,X24B_95_CI,X24C_95_CI,recombinant_95_CI,other_95_CI,X24A_95_CI
45,0.00381785335829135,0.0030162987844431,AL,2024-03-26,1,1,1,1,1,1,1,1,1,1
46,NA,NA,AL,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,AL,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.00787287031943586,0.00567828647992765,AL,2024-04-01,1,1,1,1,1,1,1,1,1,1
52,NA,NA,AL,2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2024-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2024-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,0.00415914551545352,0.00333932430685676,AR,2024-03-27,1,1,1,1,1,1,1,1,1,1
89,NA,NA,AR,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.01324255099634,0.002473642538357535,AZ,2024-03-24,1,1,1,1,1,1,1,1,1,1
128,0.014243826747625,0.002729096085958285,AZ,2024-03-25,1,1,1,1,1,1,1,1,1,1
129,0.0145167749792278,0.0030162987844431,AZ,2024-03-26,1,1,1,1,1,1,1,1,1,1
130,0.0368251045972759,0.00333932430685676,AZ,2024-03-27,1,1,1,1,1,1,1,1,1,1
131,0.0380360173775514,0.00370280557874606,AZ,2024-03-28,1,1,1,1,1,1,1,1,1,1
132,0.989322046674909,0.295562875492629,AZ,2024-03-29,0,1,1,1,0,0,0,1,1,1
133,2.23816572275238,0.310344028544371,AZ,2024-03-30,1,1,0,1,0,1,1,0,1,0
134,NA,NA,AZ,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,0.450331426854458,0.1004284907446195,AZ,2024-04-01,1,1,1,1,1,1,1,1,1,1
136,0.824065448141088,0.1056207778940305,AZ,2024-04-02,1,0,1,1,1,1,0,1,1,0
137,0.103994634273257,0.00708568755477055,AZ,2024-04-03,1,1,1,1,1,1,1,1,1,1
138,0.912156767526538,0.183593237385872,AZ,2024-04-04,1,0,1,1,1,1,0,1,1,0
139,0.841614133490512,0.2812866615451445,AZ,2024-04-05,0,1,1,1,1,0,1,1,1,0
140,0.14501449063254301,0.0099597276339211,AZ,2024-04-06,1,1,1,1,1,1,1,1,1,1
141,0.887363865448565,0.223746970893035,AZ,2024-04-07,1,0,1,1,1,0,1,1,1,0
142,0.970084087728468,0.1869525303687645,AZ,2024-04-08,1,1,1,0,1,0,0,1,0,0
143,0.0169403833984145,0.0141226268768309,AZ,2024-04-09,1,1,1,1,1,1,1,1,1,1
144,NA,NA,AZ,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,NA,NA,AZ,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,0.0864511767136094,0.0201682156354368,AZ,2024-04-12,1,1,1,1,1,1,1,1,1,1
147,0.191884146172759,0.02273921939761015,AZ,2024-04-13,1,1,1,1,1,0,1,1,1,0
148,NA,NA,AZ,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,1.03267292983376,0.2244300087761805,AZ,2024-04-15,0,1,1,1,1,0,1,1,1,0
150,0.416373504908711,0.143794505939599,AZ,2024-04-16,1,1,1,1,1,1,1,1,1,1
151,0.538252925496355,0.1585874525050915,AZ,2024-04-17,1,1,1,1,1,0,0,1,1,1
152,0.0506439775467717,0.0415906837811378,AZ,2024-04-18,1,1,1,1,1,1,1,1,1,1
153,0.060685615080513,0.0469152832513706,AZ,2024-04-19,1,1,1,1,1,1,1,1,1,1
154,NA,NA,AZ,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,0.5670433481684,0.2552659811523535,AZ,2024-04-21,1,1,1,1,1,0,0,1,1,1
156,1.05631688293495,0.2223344614081455,AZ,2024-04-22,1,1,0,1,1,0,1,0,1,1
157,0.782297616928375,0.0753995004988305,AZ,2024-04-23,1,1,1,1,0,0,1,1,1,0
158,NA,NA,AZ,2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,0.359127874094588,0.0948565127166885,AZ,2024-04-25,1,1,1,1,1,1,0,1,1,0
160,NA,NA,AZ,2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,0.48757282123115,0.3096102588488295,AZ,2024-04-27,1,1,1,1,1,1,0,1,1,0
162,0.820581254590612,0.1318536908266085,AZ,2024-04-28,1,1,1,1,0,0,1,1,1,0
163,0.48440797519658,0.2826462872979105,AZ,2024-04-29,1,1,1,1,1,0,0,1,1,0
164,0.791230445671577,0.266360550682232,AZ,2024-04-30,1,1,1,1,1,0,0,1,1,1
165,0.610932803856104,0.1790187473380165,AZ,2024-05-01,1,1,1,1,1,1,0,1,1,0
166,0.666547482496265,0.197011701274526,AZ,2024-05-02,1,1,1,1,1,0,0,1,1,0
167,1.17118255555371,0.2160884797675685,AZ,2024-05-03,1,1,1,1,0,1,0,1,1,0
168,NA,NA,AZ,2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,0.183808669901186,0.002473642538357535,CA,2024-03-24,1,1,1,1,1,1,1,1,1,1
170,2.97655726953277,0.1858741440783765,CA,2024-03-25,0,1,0,1,0,0,1,0,1,0
171,2.35393996269693,0.1604878993988975,CA,2024-03-26,0,1,1,1,0,0,1,1,1,0
172,4.43094312944454,0.2665623420415655,CA,2024-03-27,0,1,0,1,0,0,1,0,1,0
173,4.05571804221753,0.2263589807850145,CA,2024-03-28,0,1,1,0,0,0,0,1,0,0
174,0.964238108693693,0.1070751744151225,CA,2024-03-29,1,1,1,0,1,0,0,1,0,0
175,1.40730160743661,0.2035062270223285,CA,2024-03-30,1,1,1,0,0,1,1,1,0,0
176,0.828372785600022,0.220190308228094,CA,2024-03-31,0,1,1,1,1,0,1,1,1,0
177,1.83553650939063,0.192412932178488,CA,2024-04-01,0,1,0,1,0,0,1,0,1,0
178,0.969790749077819,0.1362511986641665,CA,2024-04-02,1,1,1,0,1,0,1,1,0,0
179,3.1176317413695,0.2971255818830345,CA,2024-04-03,0,1,1,0,0,0,0,1,0,0
180,2.95813150918984,0.351005157665099,CA,2024-04-04,0,0,1,0,0,0,1,1,0,0
181,5.1139358869709,0.2190681253810155,CA,2024-04-05,1,1,0,1,0,0,1,0,1,0
182,0.957847761159695,0.0985843880897555,CA,2024-04-06,1,1,1,0,1,1,0,1,0,0
183,1.8680052474414,0.170853938037295,CA,2024-04-07,1,1,1,0,1,0,1,1,0,0
184,1.44783024576791,0.186456531962745,CA,2024-04-08,1,1,0,0,1,0,1,0,0,0
185,0.960175935043432,0.214098464338852,CA,2024-04-09,1,0,1,1,1,0,0,1,1,1
186,2.88122299781564,0.3595813875124385,CA,2024-04-10,0,1,1,1,0,0,0,1,1,0
187,2.00993311698414,0.251632537787127,CA,2024-04-11,0,1,1,1,0,0,0,1,1,0
188,1.46136331222173,0.2700418981851875,CA,2024-04-12,0,1,1,1,0,0,0,1,1,0
189,0.963829666376832,0.141436023067596,CA,2024-04-13,1,1,1,0,1,0,1,1,0,1
190,0.39555284710241,0.1424534197647975,CA,2024-04-14,1,1,1,1,1,0,1,1,1,0
191,1.62152017644669,0.2193555881986305,CA,2024-04-15,0,1,1,0,1,0,1,1,0,0
192,1.89413779218384,0.1638024327259115,CA,2024-04-16,0,1,0,1,1,0,0,0,1,0
193,4.91750342674407,0.248051234468111,CA,2024-04-17,0,0,0,0,1,0,0,0,0,0
194,2.32378796956005,0.225133139685031,CA,2024-04-18,1,0,0,1,1,0,0,0,1,0
195,1.93240361999554,0.1869049711114425,CA,2024-04-19,1,1,0,1,1,1,0,0,1,0
196,0.0700965982203677,0.0528938668594265,CA,2024-04-20,1,1,1,1,1,1,1,1,1,1
197,1.73096047210286,0.279677832715261,CA,2024-04-21,0,1,1,0,1,0,0,0,0,0
198,5.11376980639217,0.3779527277372595,CA,2024-04-22,0,0,0,0,0,0,0,0,0,0
199,1.29487886821167,0.2674648550778895,CA,2024-04-23,1,1,1,0,1,0,1,1,0,0
200,5.65500151798806,0.3745977541176285,CA,2024-04-24,0,0,0,1,0,1,0,0,1,0
201,4.9995548373383,0.3083228985005785,CA,2024-04-25,1,0,1,0,1,0,0,1,0,0
202,1.53151459833575,0.256980158650865,CA,2024-04-26,0,0,1,1,1,0,1,0,1,0
203,5.76745392182801,0.4259369533478825,CA,2024-04-27,0,0,1,0,0,0,0,1,0,0
204,2.5234884108978,0.407862368502162,CA,2024-04-28,1,0,1,0,0,0,0,1,0,0
205,1.6952980743976,0.263356101881612,CA,2024-04-29,1,0,0,1,1,1,0,0,1,1
206,3.72675749403632,0.344062400697159,CA,2024-04-30,1,0,0,0,1,0,0,0,0,0
207,2.34563100610443,0.366589737056745,CA,2024-05-01,1,0,1,0,1,1,0,1,0,1
208,3.09951880964319,0.3079386086256385,CA,2024-05-02,1,0,1,0,1,0,0,1,0,1
209,4.23120065990778,0.3120020902554725,CA,2024-05-03,1,0,1,0,0,1,0,1,0,0
210,1.75873581135615,0.250495969689872,CA,2024-05-04,1,1,1,1,0,1,0,1,1,0
211,NA,NA,CO,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,1.33780937358959,0.942181498164465,CO,2024-03-25,1,1,1,0,0,1,1,1,0,0
213,NA,NA,CO,2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,NA,CO,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,0.00429073808687909,0.003702805578746055,CO,2024-03-28,1,1,1,1,1,1,1,1,1,1
216,NA,NA,CO,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,NA,CO,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,NA,NA,CO,2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,0.0284888786957908,0.00633933410075465,CO,2024-04-02,1,1,1,1,1,1,1,1,1,1
221,NA,NA,CO,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,1.01250476292445,0.421377956063341,CO,2024-04-04,0,1,1,1,0,0,1,1,1,0
223,NA,NA,CO,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,0.0119465690448804,0.0099597276339211,CO,2024-04-06,1,1,1,1,1,1,1,1,1,1
225,NA,NA,CO,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,NA,NA,CO,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,NA,NA,CO,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,NA,NA,CO,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,NA,CO,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,NA,NA,CO,2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,NA,NA,CO,2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,0.771029908248875,0.371047171026276,CO,2024-04-15,0,1,1,1,1,0,1,1,1,0
234,NA,NA,CO,2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,0.816598196965853,0.382065335652297,CO,2024-04-17,1,0,1,1,1,1,0,1,1,0
236,NA,NA,CO,2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,NA,NA,CO,2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,NA,NA,CO,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,CO,2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,0.0864292233633466,0.0670705399037345,CO,2024-04-22,1,1,1,1,1,1,1,1,1,1
241,0.0919509495038235,0.0753995004988305,CO,2024-04-23,1,1,1,1,1,1,1,1,1,1
242,NA,NA,CO,2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,NA,NA,CO,2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,NA,NA,CO,2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,NA,NA,CO,2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,CO,2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,0.190691510102905,0.146426436531841,CO,2024-04-29,1,1,1,1,1,0,1,1,1,0
248,NA,NA,CO,2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,NA,NA,CO,2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,NA,NA,CO,2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,NA,NA,CO,2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,NA,NA,CO,2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,0.00288335518128939,0.002473642538357535,CT,2024-03-24,1,1,1,1,1,1,1,1,1,1
254,NA,NA,CT,2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,0.0137038688540626,0.0030162987844431,CT,2024-03-26,1,1,1,1,1,1,1,1,1,1
256,NA,NA,CT,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,NA,NA,CT,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,NA,NA,CT,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,NA,NA,CT,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,NA,NA,CT,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,NA,NA,CT,2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,NA,NA,CT,2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,NA,NA,CT,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,NA,NA,CT,2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,NA,NA,CT,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,NA,NA,CT,2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,NA,NA,CT,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,NA,NA,CT,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,NA,NA,CT,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,0.019251038649439,0.01589273800961,CT,2024-04-10,1,1,1,1,1,0,1,1,1,0
271,0.0228462240787323,0.01789760084702435,CT,2024-04-11,1,1,1,1,1,1,1,1,1,1
272,0.0255416302725094,0.0201682156354368,CT,2024-04-12,1,1,1,1,1,1,1,1,1,1
273,NA,NA,CT,2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,NA,NA,CT,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,NA,NA,CT,2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,NA,NA,CT,2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,NA,NA,CT,2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,0.0517728169530186,0.0415906837811378,CT,2024-04-18,1,1,1,1,1,1,1,1,1,1
279,0.0587647029422743,0.0469152832513706,CT,2024-04-19,1,1,1,1,1,1,1,1,1,1
280,NA,NA,CT,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,NA,NA,CT,2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,0.491778801967863,0.2491089124040155,CT,2024-04-22,1,1,1,1,1,0,1,1,1,0
283,0.876499117841835,0.59893544377608,CT,2024-04-23,0,1,1,1,1,0,1,1,1,0
284,NA,NA,CT,2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
