...1,es_score,brier_score,location,target_date,X22D_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,X23B_50_CI,X23E_50_CI,X23G_50_CI,other_50_CI,X22D_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,X23B_95_CI,X23E_95_CI,X23G_95_CI,other_95_CI
32,NA,NA,AK,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2023-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.0416857973016466,0.0339925610610412,AL,2023-04-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,NA,NA,AL,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,0.680455237447831,0.3369719364431645,AL,2023-05-03,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
54,NA,NA,AL,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2023-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2023-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2023-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,0.581662228734408,0.3755109735015055,AL,2023-05-19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
70,NA,NA,AL,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.169674458079476,0.1213643373057815,AL,2023-05-23,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
74,NA,NA,AL,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2023-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.6092003110342,0.167257402107059,AL,2023-05-31,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
82,NA,NA,AL,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.00770974078055776,0.006013603727836,AR,2023-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,0.00870475315547858,0.00638909406312515,AR,2023-04-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,NA,NA,AR,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,0.0863085914523354,0.00943535171959135,AR,2023-04-30,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
93,NA,NA,AR,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1.24170773543011,0.881737988531845,AR,2023-05-02,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0
95,0.0174620726328848,0.01160277624129375,AR,2023-05-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,NA,NA,AR,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1.11187338445281,0.777094765938115,AR,2023-05-08,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
101,0.0833688869096903,0.01775759110852025,AR,2023-05-09,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
102,2.18835012786264,0.5758882287458,AR,2023-05-10,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
103,NA,NA,AR,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,0.354210033771316,0.0480201472756807,AR,2023-05-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,NA,NA,AR,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,0.0824736821653718,0.0589672555016085,AR,2023-05-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,NA,NA,AR,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.802365632764613,0.56241757527023,AR,2023-05-29,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
122,0.799673861093763,0.550511753024665,AR,2023-05-30,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
123,0.118342451439699,0.0821345781171965,AR,2023-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,NA,NA,AR,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.8283948624611,0.07635750775512,AZ,2023-04-23,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
128,1.30034739385831,0.04569032163265635,AZ,2023-04-24,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
129,1.340807754831,0.132164000300409,AZ,2023-04-25,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1
130,1.19716363714999,0.0967283899762055,AZ,2023-04-26,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
131,0.597251608314778,0.073061611787553,AZ,2023-04-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,0.72493734018179,0.013342360613916,AZ,2023-04-28,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
133,0.332067695353309,0.01407589162944075,AZ,2023-04-29,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
134,1.58182398633271,0.2066826921031755,AZ,2023-04-30,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
135,1.60088161583792,0.091451091103988,AZ,2023-05-01,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0
136,3.41089128167484,0.209806580751255,AZ,2023-05-02,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0
137,1.35771641774774,0.140650586173114,AZ,2023-05-03,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
138,1.11347673817639,0.076118297270495,AZ,2023-05-04,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
139,1.39691148302125,0.2489873973324525,AZ,2023-05-05,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1
140,0.717077158858362,0.0207217662899891,AZ,2023-05-06,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
141,3.75015697158062,0.312957909104925,AZ,2023-05-07,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0
142,6.39451877219127,0.3097140660741065,AZ,2023-05-08,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0
143,2.54829566696781,0.101242538518011,AZ,2023-05-09,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0
144,1.73049877747724,0.141408695675251,AZ,2023-05-10,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1
145,0.142171061577523,0.02751685693401645,AZ,2023-05-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,0.973613334322101,0.1423598764357235,AZ,2023-05-12,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
147,NA,NA,AZ,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,1.63063734066398,0.400547816223694,AZ,2023-05-14,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
149,1.85058278566417,0.2114214066465335,AZ,2023-05-15,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0
150,1.48144477256204,0.192870053550872,AZ,2023-05-16,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
151,1.01787338427698,0.179601349549264,AZ,2023-05-17,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
152,1.26647065005485,0.274435260357712,AZ,2023-05-18,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
153,0.922461893013,0.65117120554108,AZ,2023-05-19,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
154,1.81329529445069,0.64297795435521,AZ,2023-05-20,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1
155,1.2557418038415,0.195427662204521,AZ,2023-05-21,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0
156,1.31132146818128,0.204341456194684,AZ,2023-05-22,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
157,1.42040087851643,0.1709107826740085,AZ,2023-05-23,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1
158,1.25539275307924,0.2782308541784995,AZ,2023-05-24,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
159,0.54248797313129,0.061065971193704,AZ,2023-05-25,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
160,0.967633101292843,0.275600022753626,AZ,2023-05-26,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1
161,0.619750329701544,0.068364023286015,AZ,2023-05-27,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
162,2.02568173619454,0.3011301716776735,AZ,2023-05-28,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1
163,1.58308485081448,0.2996005353445035,AZ,2023-05-29,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0
164,1.54096894745276,0.357797837641112,AZ,2023-05-30,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1
165,2.2512446671211,0.228802451479603,AZ,2023-05-31,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0
166,2.02297647221039,0.427638524925099,AZ,2023-06-01,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
167,0.816347532363485,0.293291044952548,AZ,2023-06-02,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
168,1.20100971835309,0.221771049553139,AZ,2023-06-03,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
169,2.07188538035065,0.2708991145615295,CA,2023-04-23,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1
170,2.16183234359536,0.157524920432935,CA,2023-04-24,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
171,6.25536446259547,0.242680262918807,CA,2023-04-25,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0
172,4.08677442762716,0.1410117568524845,CA,2023-04-26,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
173,2.62749844599908,0.168264097068755,CA,2023-04-27,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
174,2.47947694206264,0.1779527276452965,CA,2023-04-28,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0
175,5.59403360130018,0.281295883041468,CA,2023-04-29,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
176,2.65753824948768,0.1884980031724555,CA,2023-04-30,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0
177,6.13714387424583,0.250618388831558,CA,2023-05-01,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1
178,6.19535326402742,0.279445676763505,CA,2023-05-02,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0
179,2.35050632317424,0.191268362642248,CA,2023-05-03,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
180,2.06308494200909,0.2335512413952815,CA,2023-05-04,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
181,4.89608640693993,0.205968506718002,CA,2023-05-05,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1
182,2.00599709523695,0.191215178446782,CA,2023-05-06,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0
183,1.2501104723664,0.27047561564265,CA,2023-05-07,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1
184,9.3318403761296,0.367924536960236,CA,2023-05-08,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0
185,5.43176068496106,0.1952856536317335,CA,2023-05-09,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
186,4.07434948222343,0.286362854242487,CA,2023-05-10,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1
187,4.2298183954582,0.2885973368883575,CA,2023-05-11,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0
188,1.64584225666951,0.223336838321218,CA,2023-05-12,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0
189,1.60519400104434,0.4107993305807125,CA,2023-05-13,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1
190,4.95078579059797,0.549529898091525,CA,2023-05-14,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
191,3.93479887576357,0.3509483267950295,CA,2023-05-15,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1
192,1.35709449445436,0.2334638658003875,CA,2023-05-16,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
193,2.15440236176561,0.320313266384949,CA,2023-05-17,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0
194,1.78197503965654,0.324221436306314,CA,2023-05-18,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
195,2.30605599833511,0.242860254370048,CA,2023-05-19,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1
196,1.13896694353206,0.111286837830358,CA,2023-05-20,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
197,1.02514142444339,0.441495967051987,CA,2023-05-21,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
198,1.42741668873847,0.2880831991832355,CA,2023-05-22,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
199,1.80208073106804,0.285268978677229,CA,2023-05-23,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
200,1.32336087103821,0.2747872363420505,CA,2023-05-24,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0
201,2.95630462153074,0.28730880554344,CA,2023-05-25,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
202,2.16609810499758,0.332359280523243,CA,2023-05-26,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1
203,0.933081085534023,0.304937165954564,CA,2023-05-27,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
204,1.57605238636819,0.418273653567473,CA,2023-05-28,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1
205,1.85140402328163,0.478425150842967,CA,2023-05-29,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1
206,3.05759211133612,0.3030904340465515,CA,2023-05-30,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1
207,3.13484355623583,0.336891213480522,CA,2023-05-31,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1
208,2.93669356179921,0.3322520231462125,CA,2023-06-01,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1
209,1.6072337086282,0.3757683909607565,CA,2023-06-02,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0
210,1.67191399227787,0.320876593407437,CA,2023-06-03,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1
211,NA,NA,CO,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.856897159752072,0.1809339872447305,CO,2023-04-24,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1
213,1.04005411060229,0.3007134689300555,CO,2023-04-25,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
214,0.107357785809487,0.01336519728146785,CO,2023-04-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215,NA,NA,CO,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
