...1,es_score,brier_score,location,target_date,X24A_50_CI,X24B_50_CI,X24C_50_CI,recombinant_50_CI,X24G_50_CI,X24E_50_CI,other_50_CI,X24A_95_CI,X24B_95_CI,X24C_95_CI,recombinant_95_CI,X24G_95_CI,X24E_95_CI,other_95_CI
28,NA,NA,AK,2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2024-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.737107313656429,0.530568368326335,AK,2024-07-02,1,1,1,1,0,1,1,1,1,1,1,0,0,1
32,NA,NA,AK,2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2024-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2024-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2024-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2024-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2024-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2024-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2024-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2024-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2024-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2024-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2024-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,AL,2024-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2024-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2024-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2024-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2024-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2024-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2024-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2024-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2024-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2024-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2024-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2024-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2024-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2024-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2024-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2024-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2024-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,0.637999877713878,0.4882092752950935,AL,2024-06-30,1,0,1,1,1,1,1,1,0,0,1,1,1,1
72,NA,NA,AL,2024-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2024-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2024-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2024-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,0.763432022225035,0.593772912869,AL,2024-07-09,1,0,1,1,1,1,1,1,0,1,1,1,0,1
81,NA,NA,AL,2024-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2024-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2024-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2024-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2024-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2024-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2024-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.43642452337405,0.254849049332366,AR,2024-06-10,1,1,1,1,1,1,1,0,1,0,1,1,1,1
94,NA,NA,AR,2024-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2024-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2024-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2024-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2024-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2024-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2024-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2024-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2024-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2024-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2024-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.892346879828765,0.607045470865715,AR,2024-07-08,0,1,1,1,1,1,1,0,1,1,1,1,0,1
122,0.837384912230655,0.56845197599581,AR,2024-07-09,1,0,1,1,1,1,1,1,0,1,1,1,0,1
123,0.841877699014268,0.58321227758643,AR,2024-07-10,1,0,1,1,1,1,1,1,0,1,1,1,0,1
124,NA,NA,AR,2024-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.66628849324873,0.3497702714498985,AZ,2024-06-02,1,1,0,1,1,1,1,1,0,0,1,1,1,1
128,1.40096219553223,0.3612401262463665,AZ,2024-06-03,1,0,1,1,1,1,1,0,0,0,1,0,1,1
129,1.09190064872784,0.3598036351514655,AZ,2024-06-04,1,1,1,1,1,1,0,0,1,0,1,1,1,0
130,1.31832721058185,0.3536700090938985,AZ,2024-06-05,1,0,1,1,1,1,1,0,0,0,1,1,1,1
131,2.3860604993956,0.323085938192733,AZ,2024-06-06,0,1,0,1,1,1,1,0,0,0,1,0,0,0
132,0.931689886517131,0.2984751034177045,AZ,2024-06-07,1,1,0,1,1,1,1,0,1,0,1,1,1,1
133,2.18332761644534,0.3702598901825535,AZ,2024-06-08,0,0,1,0,1,1,1,0,0,0,0,1,1,1
134,1.31312971840596,0.39719403281326,AZ,2024-06-09,0,1,1,1,1,0,1,0,0,0,1,1,0,1
135,4.24293204868855,0.3484468706877215,AZ,2024-06-10,0,0,1,1,1,1,1,0,0,0,1,0,1,1
136,4.74715268996847,0.3909526854465535,AZ,2024-06-11,0,1,0,1,0,1,1,0,0,0,1,0,1,1
137,6.26643125409862,0.3771107043437295,AZ,2024-06-12,0,1,0,1,1,1,1,0,0,0,1,0,0,1
138,2.31354682885051,0.3875523447338805,AZ,2024-06-13,0,0,1,1,0,1,1,1,0,0,1,0,1,1
139,1.41598496248584,0.2714968179407845,AZ,2024-06-14,1,1,0,1,1,1,1,0,0,0,1,1,1,1
140,0.604997224275524,0.404896576532216,AZ,2024-06-15,0,1,1,1,1,1,1,0,0,1,1,1,1,1
141,3.35471440871389,0.384017494987946,AZ,2024-06-16,0,1,0,1,1,1,1,0,1,0,1,0,1,1
142,3.02786466946269,0.3492348350543705,AZ,2024-06-17,0,1,1,1,1,1,1,0,0,0,1,1,0,1
143,4.05940897679972,0.373585693611877,AZ,2024-06-18,0,1,1,0,1,1,1,0,0,0,0,1,0,1
144,2.79661479984854,0.3557969833928215,AZ,2024-06-19,0,1,1,1,1,1,1,1,0,0,1,1,1,1
145,1.97435030662582,0.3929193790430615,AZ,2024-06-20,0,0,0,1,1,1,1,0,0,0,1,1,1,1
146,1.48573958869749,0.348769000772121,AZ,2024-06-21,0,1,1,1,1,1,1,0,0,1,1,1,0,1
147,0.580796844110963,0.341997603558431,AZ,2024-06-22,1,1,1,1,1,1,1,0,1,0,1,1,1,1
148,0.94482596193173,0.3074088250446415,AZ,2024-06-23,1,1,1,1,1,1,1,0,1,0,1,1,1,1
149,1.67049233923087,0.3826028362872805,AZ,2024-06-24,0,1,1,1,1,1,1,1,1,0,1,1,0,1
150,3.83921606269751,0.3626012636900395,AZ,2024-06-25,0,1,1,1,1,1,1,0,0,0,1,0,0,1
151,3.38358983174882,0.480020029111735,AZ,2024-06-26,0,0,0,1,1,1,1,0,0,0,1,0,1,1
152,NA,NA,AZ,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,0.699723448546845,0.376665474603327,AZ,2024-06-28,0,1,1,1,1,1,1,0,1,0,1,1,1,1
154,1.61888009408656,0.53974716824181,AZ,2024-06-29,0,1,1,1,1,1,1,0,0,0,1,1,1,1
155,6.20717948310741,0.487519269427072,AZ,2024-06-30,0,1,0,0,0,1,1,0,0,0,0,0,0,1
156,12.2003856823819,0.45615030240775,AZ,2024-07-01,0,1,0,0,1,1,0,0,0,0,0,0,0,0
157,4.81689597325262,0.4295824860153465,AZ,2024-07-02,0,1,1,1,1,0,1,0,0,0,1,1,1,1
158,NA,NA,AZ,2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,0.749976840869711,0.2961888186263225,AZ,2024-07-04,1,1,0,1,1,1,1,1,0,0,1,1,1,1
160,0.771429328391931,0.3855017795478475,AZ,2024-07-05,0,1,1,1,1,1,1,0,1,0,1,1,0,1
161,1.27449442527947,0.320798680663002,AZ,2024-07-06,0,1,1,1,1,1,1,0,1,1,1,0,0,1
162,2.21345319181599,0.524765394595945,AZ,2024-07-07,0,1,1,1,0,0,1,0,0,0,1,0,1,1
163,16.6674000948401,0.50100920544303,AZ,2024-07-08,0,1,1,1,0,0,1,0,0,0,1,0,0,1
164,13.9380440088742,0.518843279765415,AZ,2024-07-09,0,0,1,1,1,0,1,0,0,0,1,0,0,1
165,7.75418738993255,0.51543513847712,AZ,2024-07-10,0,0,1,1,1,0,1,0,1,0,1,0,0,1
166,1.6349138057041,0.498380989569618,AZ,2024-07-11,0,1,1,1,0,1,1,0,0,0,1,0,0,1
167,1.20989789331849,0.4755019814025475,AZ,2024-07-12,0,1,1,1,1,1,1,0,1,0,1,1,1,1
168,NA,NA,AZ,2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,5.03944762134792,0.400912063236866,CA,2024-06-02,0,1,1,1,0,0,0,0,0,0,0,0,0,0
170,6.38994574680132,0.3945561243490425,CA,2024-06-03,1,0,1,1,0,1,0,0,0,0,0,0,1,0
171,8.2584772479908,0.40305063729799,CA,2024-06-04,1,0,1,1,0,1,0,0,0,0,0,1,0,0
172,15.4723383313659,0.4006719294551075,CA,2024-06-05,0,0,1,1,0,1,0,0,0,0,0,0,0,0
173,10.6983508002606,0.3738206870625115,CA,2024-06-06,0,0,1,1,1,1,1,1,0,0,0,0,1,1
174,3.98180941369754,0.3372218353619385,CA,2024-06-07,1,1,1,1,1,1,1,0,0,0,0,0,0,1
175,5.74674910281042,0.426559968033165,CA,2024-06-08,0,0,1,1,1,0,1,0,0,0,0,0,0,1
176,7.27993620272597,0.409446956136973,CA,2024-06-09,0,0,1,0,0,1,1,0,0,0,0,0,0,1
177,8.1497098623808,0.3813943048034115,CA,2024-06-10,0,0,1,1,1,1,0,0,0,0,0,0,0,0
178,12.4051039153259,0.4151052179531785,CA,2024-06-11,0,0,1,1,0,1,1,0,0,0,0,0,0,1
179,11.6573736794242,0.4188541990121435,CA,2024-06-12,0,0,1,0,0,1,1,0,0,0,0,0,0,1
180,11.1465528208576,0.414872239065789,CA,2024-06-13,0,0,1,0,1,0,0,0,0,0,0,0,0,0
181,8.51677499313717,0.4580926615924635,CA,2024-06-14,0,0,1,1,0,0,0,0,0,0,0,0,0,0
182,4.38020735313423,0.4235971176011995,CA,2024-06-15,0,0,1,1,1,1,0,0,0,0,1,0,0,0
183,5.99009945165756,0.392419751398043,CA,2024-06-16,0,0,1,1,1,1,1,0,0,0,1,1,1,1
184,7.98584792006253,0.427769319953749,CA,2024-06-17,0,0,1,1,0,1,0,0,0,0,1,0,0,0
185,9.84267593490553,0.3885586242746875,CA,2024-06-18,0,0,1,0,1,0,1,0,0,0,0,0,0,1
186,16.6939398979869,0.425819222864415,CA,2024-06-19,0,0,1,1,0,1,1,0,0,0,0,0,0,0
187,6.76721073683425,0.390014580282238,CA,2024-06-20,0,1,1,1,1,1,0,0,0,0,1,0,0,0
188,11.0095843142137,0.393017037203197,CA,2024-06-21,0,1,1,1,1,0,1,0,0,0,1,0,0,1
189,4.10077644317109,0.3832182799100015,CA,2024-06-22,0,1,0,1,1,0,1,0,0,1,1,0,0,1
190,5.12273598675728,0.394758133872334,CA,2024-06-23,0,1,1,1,1,1,1,0,0,0,1,0,0,1
191,8.41579975655093,0.422063670388604,CA,2024-06-24,0,0,1,1,0,1,1,0,0,0,1,0,0,1
192,14.0780053775655,0.4199272820649695,CA,2024-06-25,0,0,1,0,1,0,0,0,0,0,0,0,0,0
193,28.0746211655283,0.3940111394614055,CA,2024-06-26,0,1,1,1,1,0,0,0,0,0,1,0,0,0
194,31.9780459282603,0.413789429533075,CA,2024-06-27,0,1,1,1,0,0,0,0,0,0,0,0,0,0
195,28.75466983285,0.424585377891318,CA,2024-06-28,0,1,1,0,0,0,0,0,0,0,0,0,0,0
196,23.0750771735207,0.431616853995673,CA,2024-06-29,0,1,1,0,0,0,0,0,0,0,0,0,0,0
197,21.1127887264512,0.4290597915432415,CA,2024-06-30,0,1,1,1,1,0,1,0,0,0,1,0,0,1
198,33.9157306448553,0.422083638911281,CA,2024-07-01,0,1,1,1,1,0,1,0,0,0,0,0,0,1
199,21.6598139574904,0.4379014562202245,CA,2024-07-02,0,1,0,0,0,0,0,0,1,0,0,0,0,0
200,24.1517733982675,0.4499271698960075,CA,2024-07-03,0,1,1,1,0,0,0,0,0,0,1,0,0,0
201,8.462410848621,0.452018592791062,CA,2024-07-04,0,1,1,1,0,0,1,0,0,0,1,0,0,1
202,19.8484883513786,0.511755110064225,CA,2024-07-05,0,1,1,1,0,0,0,0,0,1,1,0,0,0
203,18.8833558080726,0.5083665928619,CA,2024-07-06,0,1,1,1,0,0,0,0,0,0,1,0,0,0
204,24.6390317759209,0.519918164149295,CA,2024-07-07,0,1,0,1,0,0,0,0,0,0,1,0,0,0
205,27.7435385461707,0.51915920188819,CA,2024-07-08,0,1,1,0,0,0,0,0,0,0,0,0,0,0
206,36.6897198493531,0.548022190400915,CA,2024-07-09,0,1,1,0,0,0,1,0,0,0,0,0,0,1
207,28.0436726846202,0.4912792075587455,CA,2024-07-10,0,1,1,0,0,0,1,0,0,0,0,0,0,1
208,28.7759621100706,0.54607216657091,CA,2024-07-11,0,1,1,0,0,0,1,0,0,0,0,0,0,1
209,59.2102869578986,0.565418322550445,CA,2024-07-12,0,0,1,1,0,0,0,0,0,0,1,0,0,0
210,18.5598691317641,0.543168226374675,CA,2024-07-13,0,0,1,0,0,0,1,0,0,0,0,0,0,1
211,NA,NA,CO,2024-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,NA,NA,CO,2024-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,0.371414469370482,0.2898600917719555,CO,2024-06-04,1,1,1,1,1,1,1,1,0,1,0,1,1,1
214,0.878972050187976,0.289567853086096,CO,2024-06-05,1,0,1,1,1,1,1,1,1,1,1,1,1,1
215,0.576691655010908,0.4197390739655835,CO,2024-06-06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
216,NA,NA,CO,2024-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,NA,CO,2024-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,1.47188131188242,0.3103868114159865,CO,2024-06-10,1,1,0,1,1,1,1,0,0,0,0,1,1,1
220,0.514167887514629,0.31217235319487,CO,2024-06-11,1,1,1,1,1,1,1,1,0,0,1,1,1,1
221,0.377169272073965,0.2957467534797865,CO,2024-06-12,1,1,1,1,1,1,1,0,0,1,1,1,1,1
222,0.651301164397319,0.4755019371180405,CO,2024-06-13,0,1,1,1,1,1,1,0,1,0,1,1,1,1
223,0.650965090683043,0.4824435239534785,CO,2024-06-14,0,1,1,1,1,1,1,0,1,1,1,0,1,1
224,NA,NA,CO,2024-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,0.386047704848661,0.3088699450593985,CO,2024-06-17,1,1,1,1,1,1,1,1,0,0,1,1,1,1
227,NA,NA,CO,2024-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,0.692966003170284,0.51316812020681,CO,2024-06-19,0,1,1,1,1,1,1,0,0,1,1,1,1,1
229,NA,NA,CO,2024-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,0.6999874321048,0.4919489614052275,CO,2024-06-21,1,1,1,1,0,1,1,1,1,1,1,1,1,1
231,NA,NA,CO,2024-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,NA,NA,CO,2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,0.639289753997871,0.3736548243917615,CO,2024-06-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
