...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI
19,NA,NA,AK,2023-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2023-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2023-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,AK,2023-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2023-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.763606578853016,0.564315415233155,AK,2023-08-18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,NA,NA,AK,2023-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2023-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.449246504941676,0.278168816877338,AK,2023-08-23,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
33,NA,NA,AK,2023-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.662864269653759,0.52368244132132,AK,2023-08-29,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
39,NA,NA,AK,2023-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2023-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.723623409730406,0.50830089110763,AL,2023-07-23,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
44,0.556846802371601,0.36502002095915,AL,2023-07-24,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
45,0.743116579427507,0.391198667603392,AL,2023-07-25,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
46,1.00042613928637,0.4924653585601445,AL,2023-07-26,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1
47,NA,NA,AL,2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.651456530969403,0.3827357051454055,AL,2023-07-31,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1
52,0.856035486293208,0.430548598846772,AL,2023-08-01,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1
53,0.691072599608375,0.376938291196256,AL,2023-08-02,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0
54,0.40183655088864,0.2871578928459005,AL,2023-08-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,0.724006520203609,0.524101439009795,AL,2023-08-04,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
56,NA,NA,AL,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2023-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,0.716871020820064,0.52091727859775006,AL,2023-08-08,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
60,0.399400186187404,0.2922683917975245,AL,2023-08-09,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
61,0.396085665578719,0.2930322256207145,AL,2023-08-10,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
62,NA,NA,AL,2023-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.55655942005762,0.3639513024212375,AL,2023-08-14,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
66,NA,NA,AL,2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,0.968288409028165,0.487093021401518,AL,2023-08-16,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1
68,0.564277205212071,0.3314309811172505,AL,2023-08-17,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
69,1.32990150910438,0.40654677645651,AL,2023-08-18,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1
70,1.24241810064905,0.3658854906149995,AL,2023-08-19,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1
71,1.31022467829041,0.406166799535954,AL,2023-08-20,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1
72,NA,NA,AL,2023-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.563580212606541,0.367443242155104,AL,2023-08-22,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
74,0.966827780185015,0.4871918618719475,AL,2023-08-23,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1
75,1.08704777498842,0.3995830205871415,AL,2023-08-24,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1
76,0.961541160769908,0.4873422694850005,AL,2023-08-25,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
77,0.664728570815398,0.4871266615185735,AL,2023-08-26,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
78,NA,NA,AL,2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1.41098087531927,0.42955941852043,AL,2023-08-28,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1
80,0.639742288022621,0.4399705543863285,AL,2023-08-29,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
81,0.903384005970425,0.4311369905407345,AL,2023-08-30,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1
82,NA,NA,AL,2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,0.879387784608776,0.431300281075818,AL,2023-09-01,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
84,0.57850715190431,0.3756898414204635,AL,2023-09-02,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
85,NA,NA,AR,2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,0.873423378596777,0.444237167607141,AR,2023-07-26,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
89,NA,NA,AR,2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,1.31854724626731,0.4272467624842565,AR,2023-07-28,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
91,NA,NA,AR,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.453312906174207,0.317089162288459,AR,2023-07-31,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
94,1.66075953598868,0.4358097242103725,AR,2023-08-01,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0
95,1.1566544667741,0.341613357571803,AR,2023-08-02,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
96,NA,NA,AR,2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,0.698582524034616,0.49126513144983053,AR,2023-08-04,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
98,NA,NA,AR,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.757538343894248,0.536411708847175,AR,2023-08-07,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
101,1.78910536629412,0.37151928345915,AR,2023-08-08,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1
102,1.54473786830607,0.4536336332227395,AR,2023-08-09,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0
103,0.422585482028445,0.308820615338419,AR,2023-08-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,0.411135106589905,0.301219302916591,AR,2023-08-11,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
105,NA,NA,AR,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.423010824039801,0.3037765204549335,AR,2023-08-14,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
108,0.77338245863433,0.4040080696485035,AR,2023-08-15,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1
109,1.35451352272849,0.4327555637376905,AR,2023-08-16,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1
110,1.1462684615396601,0.2919144409548595,AR,2023-08-17,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0
111,0.983610829085245,0.373717999227785,AR,2023-08-18,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
112,0.778008731672357,0.53979450220021,AR,2023-08-19,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
113,NA,NA,AR,2023-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,3.34191285841857,0.440708359388767,AR,2023-08-21,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1
115,0.745460592394259,0.5204101810075,AR,2023-08-22,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
116,3.08612896583055,0.480533972124491,AR,2023-08-23,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1
117,2.41237244397326,0.511985503256825,AR,2023-08-24,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
118,0.363836688941543,0.263581417452763,AR,2023-08-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,NA,NA,AR,2023-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,0.368193555665693,0.260708617841238,AR,2023-08-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,2.50997801009495,0.3906642172018575,AR,2023-08-28,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
122,2.6471418892324,0.3556260535513015,AR,2023-08-29,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
123,2.48969168965524,0.53836774372439,AR,2023-08-30,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1
124,0.98490452354801294,0.4896781125344045,AR,2023-08-31,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1
125,NA,NA,AR,2023-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.846227042095067,0.4468096639648125,AZ,2023-07-23,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
128,3.17570713504128,0.3995756926782165,AZ,2023-07-24,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0
129,3.47381142294162,0.4226852636008315,AZ,2023-07-25,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1
130,2.29999132638834,0.4306590866951795,AZ,2023-07-26,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1
131,1.5396419380309,0.442888560829704,AZ,2023-07-27,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
132,0.718210448057115,0.3415963107962725,AZ,2023-07-28,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
133,0.599733041221891,0.368076624203279,AZ,2023-07-29,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
134,7.40184345393613,0.437405988189472,AZ,2023-07-30,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
135,2.97859849090618,0.4294671561690295,AZ,2023-07-31,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1
136,1.46943764772144,0.3773231431921795,AZ,2023-08-01,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
137,2.9473153219516,0.395808657909323,AZ,2023-08-02,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0
138,2.43084382679105,0.3910120760958945,AZ,2023-08-03,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0
139,0.673664780835549,0.3970436195995165,AZ,2023-08-04,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
140,1.99287698013125,0.3916013644423,AZ,2023-08-05,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
141,0.720028138762544,0.368639097034781,AZ,2023-08-06,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1
142,2.67246851532133,0.389754184972139,AZ,2023-08-07,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1
143,7.66362524333953,0.4225599834326255,AZ,2023-08-08,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
144,3.49189949159365,0.433095962453795,AZ,2023-08-09,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
145,1.04090829138366,0.4554385767335745,AZ,2023-08-10,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1
146,0.920288593665994,0.4565035360615755,AZ,2023-08-11,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1
147,0.420075705569967,0.3115113975257175,AZ,2023-08-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,1.46313133796335,0.3786124466407455,AZ,2023-08-13,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
149,6.37349634869042,0.430077565812677,AZ,2023-08-14,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
150,3.1999427234580202,0.381105612731785,AZ,2023-08-15,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1
151,4.37237654047831,0.4071946711063705,AZ,2023-08-16,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
152,1.75723013785779,0.4495547118800605,AZ,2023-08-17,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
153,1.18182247830202,0.40903352845682,AZ,2023-08-18,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
154,0.833239672839865,0.3581687951420515,AZ,2023-08-19,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1
155,3.02426186549833,0.4268938794121535,AZ,2023-08-20,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1
156,5.11264796172747,0.389848809349619,AZ,2023-08-21,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0
157,3.51536492479259,0.3908467465448475,AZ,2023-08-22,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1
158,3.29313758386747,0.404226816555693,AZ,2023-08-23,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1
159,1.77578401788193,0.3552739094550745,AZ,2023-08-24,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
160,0.872324437864113,0.425109306370792,AZ,2023-08-25,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1
161,1.95432377856111,0.4706127932541365,AZ,2023-08-26,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1
162,5.57684986534568,0.447786376227136,AZ,2023-08-27,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
163,5.33881561769606,0.3748218194830035,AZ,2023-08-28,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
164,1.21008937038101,0.411368664316297,AZ,2023-08-29,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
165,2.61846582202645,0.3984442838128555,AZ,2023-08-30,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1
166,1.23615718510508,0.494615694406359,AZ,2023-08-31,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0
167,0.525971112017936,0.3696476828972725,AZ,2023-09-01,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
168,NA,NA,AZ,2023-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,1.67211460503917,0.405594220952544,CA,2023-07-23,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1
170,4.98480120667931,0.4793306033740685,CA,2023-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2.80844740607711,0.4044402868185105,CA,2023-07-25,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1
172,2.55509284895823,0.3971881249158535,CA,2023-07-26,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1
173,3.4722197424949,0.41791533629440353,CA,2023-07-27,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0
174,3.62129770360464,0.4034385249266705,CA,2023-07-28,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0
175,2.08075168242524,0.384196709366152,CA,2023-07-29,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1
176,4.58053686516141,0.4394513814743235,CA,2023-07-30,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
177,6.07830585930498,0.425653632730331,CA,2023-07-31,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
178,9.09563975704953,0.4325063469373575,CA,2023-08-01,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
179,8.06727246995892,0.4212664814635685,CA,2023-08-02,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
180,6.11709068410672,0.4235176764851585,CA,2023-08-03,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1
181,4.70806136284221,0.4244006332690015,CA,2023-08-04,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0
182,4.89893371931498,0.428847346149439,CA,2023-08-05,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
183,0.924290084910351,0.43221647120622553,CA,2023-08-06,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
184,2.29333397453604,0.412107009981821,CA,2023-08-07,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1
185,3.17260456611032,0.417861644735195,CA,2023-08-08,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1
186,3.63260112359849,0.423812755877228,CA,2023-08-09,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1
187,4.80171235007131,0.4241657031601505,CA,2023-08-10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
188,4.73209199649347,0.410737317951378,CA,2023-08-11,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
189,2.68976180825279,0.4107936787962425,CA,2023-08-12,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1
190,1.28432950769645,0.4000523107673245,CA,2023-08-13,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1
191,3.57550017198402,0.411548283627548,CA,2023-08-14,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
192,3.66264727860148,0.4141977487939085,CA,2023-08-15,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1
193,6.27794799447631,0.426329064695268,CA,2023-08-16,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
194,5.23495788758488,0.4208157128464065,CA,2023-08-17,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
195,7.9681590420617,0.4099896575364685,CA,2023-08-18,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
196,3.25122997569752,0.423224595504768,CA,2023-08-19,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0
197,2.08604202909273,0.4299342971853495,CA,2023-08-20,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
198,5.00117897069456,0.4003604554475485,CA,2023-08-21,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1
199,5.30362113598722,0.4344773234476805,CA,2023-08-22,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
200,4.10550076463475,0.40697257751033,CA,2023-08-23,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
201,5.43874648740415,0.4074946439302635,CA,2023-08-24,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
202,4.93698678652107,0.412955138982043,CA,2023-08-25,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
203,2.91184762452896,0.402634068033662,CA,2023-08-26,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
204,3.51056507079681,0.3997705862804115,CA,2023-08-27,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0
205,4.83490953213339,0.4065742756009175,CA,2023-08-28,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
206,7.4331105300041,0.4015318400583715,CA,2023-08-29,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
207,15.6365555645302,0.4111174306069975,CA,2023-08-30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
208,5.01531900727346,0.394114527094803,CA,2023-08-31,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
209,3.54301769439316,0.38611800202656,CA,2023-09-01,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1
210,1.50845978506873,0.4179192945000495,CA,2023-09-02,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1
211,0.574080097904847,0.357373855027844,CO,2023-07-23,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
212,NA,NA,CO,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,0.832774881081534,0.39770291759684,CO,2023-07-25,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
214,0.704874671450436,0.489356707584162,CO,2023-07-26,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
215,1.3292595599909,0.419375568253298,CO,2023-07-27,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1
216,0.745556522299415,0.408683900561379,CO,2023-07-28,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
217,NA,NA,CO,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
