...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,recombinant_50_CI,X23B_50_CI,X23E_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,recombinant_95_CI,X23B_95_CI,X23E_95_CI,other_95_CI
25,NA,NA,AK,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2023-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1.85760913955523,0.734263352865285,AK,2023-06-06,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
39,NA,NA,AK,2023-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.901427403712265,0.728991712293055,AK,2023-06-08,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
41,NA,NA,AK,2023-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.738437026467227,0.3910780250313805,AL,2023-05-03,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
47,NA,NA,AL,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2023-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2023-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,0.811219877782145,0.397112956211226,AL,2023-05-19,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
63,NA,NA,AL,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.0900558750303431,0.0466234699536985,AL,2023-05-23,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
67,NA,NA,AL,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2023-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.317613920089636,0.061146757796153,AL,2023-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,NA,NA,AL,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.906577912924255,0.69283375692066,AL,2023-06-07,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
82,0.143292403068822,0.081394425949597,AL,2023-06-08,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
83,NA,NA,AL,2023-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.0446460874219012,0.00784215864145115,AR,2023-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,NA,NA,AR,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,1.26126418770215,0.847314317486825,AR,2023-05-02,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0
88,0.00488749377770714,0.00785884001438355,AR,2023-05-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,NA,NA,AR,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1.28466642402716,0.868778938391205,AR,2023-05-08,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
94,0.0198455182719846,0.0081874793370102,AR,2023-05-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,2.45800874520039,0.5944444830035,AR,2023-05-10,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
96,NA,NA,AR,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,0.0558400495462326,0.0110963859030931,AR,2023-05-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,NA,NA,AR,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.0100644770644936,0.01237537646300205,AR,2023-05-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,NA,NA,AR,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1.21534123677483,0.823031004703925,AR,2023-05-29,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
115,1.22173703175397,0.81898386489697,AR,2023-05-30,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
116,0.0130396005547067,0.01544833490684805,AR,2023-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,NA,NA,AR,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,0.0193756449974599,0.0230560488924093,AR,2023-06-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,0.0231685091967109,0.02462806717573255,AR,2023-06-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,0.0235482255377513,0.0263638769647167,AR,2023-06-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,NA,NA,AR,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.93729581651123,0.2133150357163025,AZ,2023-04-30,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0
128,1.34341185124806,0.088899148941648,AZ,2023-05-01,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0
129,4.64849678173623,0.2145124966085385,AZ,2023-05-02,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0
130,1.73877539857618,0.1428713301062985,AZ,2023-05-03,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1
131,0.98651032124451,0.0728070767737805,AZ,2023-05-04,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
132,1.63831570345858,0.2554051337966475,AZ,2023-05-05,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
133,0.539336769662466,0.01395595316033095,AZ,2023-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,4.6860807532965,0.320036795824483,AZ,2023-05-07,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0
135,8.15217626902401,0.324296565157426,AZ,2023-05-08,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1
136,1.38405686134754,0.0969834900161265,AZ,2023-05-09,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
137,1.48815460511267,0.141915197519536,AZ,2023-05-10,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
138,0.0754532146429367,0.0158415658436526,AZ,2023-05-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,0.818106666508875,0.1346895514402505,AZ,2023-05-12,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
140,NA,NA,AZ,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,1.95171565270726,0.4238462265684345,AZ,2023-05-14,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
142,3.45686024086995,0.2176993729290845,AZ,2023-05-15,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0
143,1.50869050368473,0.1944638906121195,AZ,2023-05-16,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0
144,1.32471285486775,0.182033728140498,AZ,2023-05-17,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1
145,1.68134680772753,0.2875596219219945,AZ,2023-05-18,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0
146,1.08143365374137,0.75727806654567,AZ,2023-05-19,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
147,2.14716038458441,0.753667643810485,AZ,2023-05-20,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
148,1.0244110684543,0.19458447464981601,AZ,2023-05-21,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0
149,1.59458845404431,0.2052667270335345,AZ,2023-05-22,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
150,0.794218006415275,0.1609259416602475,AZ,2023-05-23,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1
151,2.35976938569985,0.2958286501118705,AZ,2023-05-24,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1
152,0.202226461942659,0.02298339825791965,AZ,2023-05-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,1.37141572220348,0.3064920257866165,AZ,2023-05-26,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
154,0.201201241112353,0.0243116380303264,AZ,2023-05-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,3.79101189354995,0.32238132851238,AZ,2023-05-28,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1
156,1.88236996454685,0.3049442207004985,AZ,2023-05-29,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0
157,3.06043449361285,0.4000896713656955,AZ,2023-05-30,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1
158,1.60381299869505,0.2015491921343025,AZ,2023-05-31,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
159,2.86911304578834,0.536057315489055,AZ,2023-06-01,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
160,0.913045759745385,0.2892881666495245,AZ,2023-06-02,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
161,0.970700107001302,0.2202681011513235,AZ,2023-06-03,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
162,0.781523913352059,0.1848034244257205,AZ,2023-06-04,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1
163,0.849928349944194,0.2349896572349555,AZ,2023-06-05,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1
164,2.07896650518437,0.4459775925625915,AZ,2023-06-06,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1
165,1.26833375868594,0.2887494634881915,AZ,2023-06-07,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
166,2.70665804407528,0.4154324714510635,AZ,2023-06-08,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0
167,2.37206329940134,0.452220355813541,AZ,2023-06-09,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1
168,1.48913364030166,0.50341058504233,AZ,2023-06-10,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
169,2.01334166440403,0.186625897629469,CA,2023-04-30,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0
170,10.0861764780963,0.2577793804787375,CA,2023-05-01,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
171,12.1454376705539,0.2884411823637325,CA,2023-05-02,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
172,2.34016356474831,0.191069819935657,CA,2023-05-03,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0
173,3.08462367342802,0.2395902321944765,CA,2023-05-04,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
174,4.3114973862689,0.2046473696413605,CA,2023-05-05,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0
175,1.47108029359539,0.1874497198951275,CA,2023-05-06,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0
176,2.02537358946675,0.2810878395548065,CA,2023-05-07,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1
177,12.3755259657732,0.389656090239783,CA,2023-05-08,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0
178,2.47426692459532,0.187938551725896,CA,2023-05-09,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1
179,7.02700735637058,0.2959289056384965,CA,2023-05-10,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0
180,8.63273537803221,0.2988744665036735,CA,2023-05-11,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
181,1.09423354897712,0.214872499631413,CA,2023-05-12,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1
182,1.83711078521272,0.4408825726774,CA,2023-05-13,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1
183,5.93376876854733,0.605038350148705,CA,2023-05-14,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1
184,7.02740119783698,0.3900397166417765,CA,2023-05-15,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0
185,1.36164196891396,0.2321212421976725,CA,2023-05-16,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1
186,2.3849377600057,0.326080013010841,CA,2023-05-17,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0
187,3.56357471794492,0.3472670732355895,CA,2023-05-18,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1
188,1.09896570584599,0.223098710745077,CA,2023-05-19,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1
189,0.660222345300799,0.055849375815712,CA,2023-05-20,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
190,1.29208861554644,0.4895826355577165,CA,2023-05-21,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1
191,2.26651827960479,0.2958359789585295,CA,2023-05-22,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1
192,1.69495223253457,0.28423437490161,CA,2023-05-23,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1
193,1.43014015991065,0.2724425771585335,CA,2023-05-24,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1
194,1.20583341405757,0.26259812026867,CA,2023-05-25,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0
195,2.23985037773657,0.3329459440730495,CA,2023-05-26,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0
196,1.36866230553642,0.3238836952888245,CA,2023-05-27,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1
197,2.333224397781,0.4668566983380735,CA,2023-05-28,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1
198,2.47586063703723,0.535282970927915,CA,2023-05-29,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
199,1.10356522292725,0.2780892089925045,CA,2023-05-30,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
200,2.29453617084899,0.3238441073798695,CA,2023-05-31,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0
201,1.95949761795026,0.318181332810432,CA,2023-06-01,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1
202,1.88777704975111,0.38401085954346,CA,2023-06-02,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0
203,1.29377370664012,0.2983501252601845,CA,2023-06-03,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
204,3.24581411653189,0.479278780472132,CA,2023-06-04,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0
205,1.14628378790933,0.279241404390275,CA,2023-06-05,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1
206,2.48692746323511,0.417332293713003,CA,2023-06-06,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0
207,3.70169417084276,0.4444328176187625,CA,2023-06-07,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0
208,1.50352215273431,0.368235746024495,CA,2023-06-08,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1
209,4.90258181972158,0.515263903297095,CA,2023-06-09,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0
210,1.34754009173446,0.62912940827319,CA,2023-06-10,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1
211,0.0878630660772834,0.0134593386366669,CO,2023-04-30,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
212,0.401243482390307,0.01406849332384465,CO,2023-05-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,0.50280407584965,0.170956486683238,CO,2023-05-02,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
214,0.0286469462580518,0.0153864828306036,CO,2023-05-03,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
215,0.212105444432693,0.0160993225858482,CO,2023-05-04,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
