...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,other_95_CI
21,0.388071670705924,0.31879033239192,AK,2023-07-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0.385580957781679,0.317742001712983,AK,2023-07-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,0.84667792174428,0.60791500828827,AK,2023-07-03,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1
24,NA,NA,AK,2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,AK,2023-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2023-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2023-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.800517920413443,0.568768980581075,AK,2023-07-16,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1
37,NA,NA,AK,2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2023-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2023-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2023-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,AL,2023-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2023-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,0.11253911294914,0.0874771290014145,AL,2023-06-21,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
54,NA,NA,AL,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2023-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1.00874941224015,0.71036623758186,AL,2023-06-26,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
59,0.977572932837659,0.69492772693907,AL,2023-06-27,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
60,0.809303354374535,0.53284489125992,AL,2023-06-28,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,NA,NA,AL,2023-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,0.121659319639092,0.089966379708824,AL,2023-07-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,NA,NA,AL,2023-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1.30017994121444,0.4950670422287895,AL,2023-07-05,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1
68,0.889216136289263,0.643977458850105,AL,2023-07-06,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
69,0.773623425013341,0.530135369822445,AL,2023-07-07,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
70,NA,NA,AL,2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,0.968101831470395,0.691142338092635,AL,2023-07-09,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
72,NA,NA,AL,2023-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.132406564891325,0.0922132018215055,AL,2023-07-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,0.754629037799767,0.52922612716116,AL,2023-07-13,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
76,0.948097653345775,0.68854386249726,AL,2023-07-14,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
77,NA,NA,AL,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,0.137208597751554,0.093612074237784,AL,2023-07-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,0.947773289323586,0.686486976353655,AL,2023-07-17,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
80,NA,NA,AL,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.748548329600804,0.52852490899294,AL,2023-07-19,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1
82,NA,NA,AL,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,0.753200031558205,0.52821244219976,AL,2023-07-22,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,NA,NA,AR,2023-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,0.277500443225203,0.05655154904379,AR,2023-06-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,0.792372856307801,0.59777876028716,AR,2023-06-13,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
88,0.802881735869999,0.59117840731149,AR,2023-06-14,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
89,NA,NA,AR,2023-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,0.774588611639362,0.57795102722629,AR,2023-06-16,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
91,NA,NA,AR,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.127020688113781,0.072698203494411,AR,2023-06-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,NA,NA,AR,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2023-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,0.133709211154237,0.0805957583441465,AR,2023-06-22,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
97,0.139130004874597,0.0833682236959845,AR,2023-06-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,NA,NA,AR,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1.3739685129504,0.0921282643636845,AR,2023-06-26,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,0.671978267712703,0.505160767527885,AR,2023-06-27,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,NA,NA,AR,2023-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2023-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2023-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2023-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2023-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2023-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,2.16594533166745,0.640473226967145,AR,2023-07-10,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1
115,NA,NA,AR,2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,0.244373034590381,0.157060494926916,AR,2023-07-13,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
118,NA,NA,AR,2023-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.272459216940454,0.1770728915423595,AR,2023-07-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,NA,NA,AR,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,0.859061139856033,0.4092024344104835,AR,2023-07-19,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,NA,NA,AR,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0.461953623673369,0.355038444160283,AR,2023-07-21,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
126,NA,NA,AR,2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.69952266136992,0.210316708195499,AZ,2023-06-11,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
128,1.83492876594424,0.3694819052043535,AZ,2023-06-12,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1
129,3.01175514070279,0.4835732992337615,AZ,2023-06-13,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1
130,2.4620314653489,0.301070124635211,AZ,2023-06-14,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1
131,1.49566963450746,0.69256664738219,AZ,2023-06-15,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1
132,0.661077777868164,0.2325900544219695,AZ,2023-06-16,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
133,0.613556267695237,0.3477183318785955,AZ,2023-06-17,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
134,8.03750974237713,0.504543230707125,AZ,2023-06-18,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1
135,5.73659971974008,0.428569880475541,AZ,2023-06-19,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0
136,4.64104325036886,0.51056211351738,AZ,2023-06-20,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1
137,2.18145955475732,0.3717040209252515,AZ,2023-06-21,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1
138,2.27644499201932,0.4211320943144225,AZ,2023-06-22,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
139,0.188862960230698,0.134268109186463,AZ,2023-06-23,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
140,1.49530925417871,0.4561176439681465,AZ,2023-06-24,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1
141,1.8270608476311,0.400791786360082,AZ,2023-06-25,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
142,2.30222232110845,0.369985726197219,AZ,2023-06-26,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1
143,2.49185927941561,0.3270820329122825,AZ,2023-06-27,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
144,1.46227609937802,0.3305673745137515,AZ,2023-06-28,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1
145,2.54690294529349,0.383506112545571,AZ,2023-06-29,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
146,1.12815206471123,0.3781660439963905,AZ,2023-06-30,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
147,0.965571052296202,0.2573223349106305,AZ,2023-07-01,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
148,2.71024562791236,0.374927561033297,AZ,2023-07-02,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1
149,2.66802774642871,0.309383075833322,AZ,2023-07-03,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0
150,2.28680483128968,0.32298607773875,AZ,2023-07-04,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0
151,1.7512862032486,0.4108984301406345,AZ,2023-07-05,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
152,1.34982972882104,0.437020814718132,AZ,2023-07-06,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1
153,0.346564474398767,0.2520531540803285,AZ,2023-07-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154,2.05749919076586,0.4036049607165765,AZ,2023-07-08,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
155,4.01394670847203,0.4012532499284385,AZ,2023-07-09,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0
156,2.67558364035822,0.3916615271134715,AZ,2023-07-10,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0
157,3.67064461161504,0.397873780032554,AZ,2023-07-11,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0
158,2.83172561919688,0.387190339493745,AZ,2023-07-12,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1
159,3.37502458651318,0.3845169985958695,AZ,2023-07-13,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0
160,0.946512779965253,0.3845892696966035,AZ,2023-07-14,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
161,2.45812017760312,0.458482739819081,AZ,2023-07-15,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1
162,1.98747634615493,0.362770044948834,AZ,2023-07-16,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
163,5.81383619221793,0.411352841022896,AZ,2023-07-17,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0
164,3.33862567241232,0.4176169504174775,AZ,2023-07-18,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1
165,3.70015897419422,0.4095269018325855,AZ,2023-07-19,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1
166,0.919336649198335,0.38063425936379,AZ,2023-07-20,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0
167,1.29416146556607,0.3188513042797505,AZ,2023-07-21,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1
168,1.89112455294924,0.429910375181455,AZ,2023-07-22,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1
169,0.947890022425841,0.3585156932000205,CA,2023-06-11,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
170,1.48010130379928,0.368430155737417,CA,2023-06-12,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1
171,1.49834564009189,0.3225226069309365,CA,2023-06-13,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1
172,1.98021059260633,0.3817829594745015,CA,2023-06-14,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
173,1.13172318979516,0.3477116733794535,CA,2023-06-15,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0
174,1.3707076320405,0.386509944262281,CA,2023-06-16,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0
175,1.68925240969003,0.54727666367297,CA,2023-06-17,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1
176,0.651565268700271,0.459246736050298,CA,2023-06-18,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
177,1.53409218562487,0.3222247256166345,CA,2023-06-19,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1
178,2.96571641701881,0.401768607171053,CA,2023-06-20,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0
179,3.73355193283377,0.4625967617834805,CA,2023-06-21,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1
180,3.48148087739439,0.446349213074965,CA,2023-06-22,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1
181,3.57607294762034,0.409797750760633,CA,2023-06-23,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1
182,1.41875554397499,0.408180634465366,CA,2023-06-24,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1
183,0.853363054764007,0.3239621960955755,CA,2023-06-25,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
184,2.96901344542575,0.4222096142146085,CA,2023-06-26,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0
185,0.95693933248951,0.339802395198721,CA,2023-06-27,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
186,2.38109180017283,0.4085530666790865,CA,2023-06-28,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0
187,3.81879891093299,0.4295286170955855,CA,2023-06-29,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1
188,1.58085995121153,0.3830769752607475,CA,2023-06-30,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
189,1.17853236440314,0.400815148588781,CA,2023-07-01,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1
190,2.12656241280151,0.4326949869114905,CA,2023-07-02,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1
191,2.92703834353869,0.412367457035079,CA,2023-07-03,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
192,1.27677945631282,0.3091519058702135,CA,2023-07-04,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
193,3.78501177669943,0.3871779908304055,CA,2023-07-05,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1
194,4.29278578380853,0.4173463223499185,CA,2023-07-06,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
195,1.54673597853973,0.350728149424635,CA,2023-07-07,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
196,2.2182335436467,0.3663670027733245,CA,2023-07-08,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1
197,0.693447625106611,0.396896049008263,CA,2023-07-09,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1
198,2.67395377096578,0.3979054463620795,CA,2023-07-10,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0
199,1.59824873042166,0.408342327888949,CA,2023-07-11,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0
200,1.71022827658639,0.4025614514952165,CA,2023-07-12,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1
